Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Other Assets,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Raw Materials,Capital Goods,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Unquoted Book Value,Deferred Tax Liabilities [Net],Equity Share Application Money,Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Intangible Assets Under Development,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,"Stores, Spares And Loose Tools",Trade/Other Goods
2004-03-31,11.45,11.45,150.69,150.69,162.14,124.99,0.0,0.0,129.81,29.02,110.22,72.79,19.18,231.21,523.85,90.74,0.0,1.23,0.0,91.96,0.49,0.52,0.0,0.27,93.25,0.0,101.9,84.33,65.68,178.69,0.0,430.6,523.85,3.78,0.0,0.9,0.14,0.0,0.0,0.0,0.0,0.49,0.0,4.82,0.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,15.9,15.9,308.74,308.74,324.64,226.51,0.0,0.0,233.7,38.3,182.93,95.19,30.54,346.96,906.15,108.87,0.0,0.94,0.0,109.81,46.25,0.55,0.0,3.37,159.98,0.0,152.34,191.6,137.22,261.46,3.55,746.17,906.15,6.02,0.0,4.12,0.09,0.0,0.0,0.0,0.0,46.25,0.0,7.19,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,20.66,20.66,921.23,921.23,941.89,342.55,0.0,0.0,350.89,120.33,251.28,139.73,45.74,557.08,1853.11,184.94,0.0,8.76,0.0,193.7,87.71,1.75,0.0,2.18,285.33,0.0,389.26,301.66,280.91,542.69,53.27,1567.78,1853.11,63.58,0.0,7.53,13.71,0.0,0.0,0.0,0.09,87.61,0.0,8.34,3.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,41.7,41.7,991.43,991.43,1033.13,645.5,0.0,0.0,663.04,494.82,421.86,259.82,124.42,1300.92,3002.99,404.32,0.0,18.57,0.0,422.89,476.76,6.01,0.0,0.99,906.65,0.0,404.05,581.68,243.4,854.71,12.49,2096.34,3002.99,299.64,0.0,25.14,0.11,0.0,0.0,20.67,0.09,476.66,0.0,17.54,5.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,45.77,45.77,1520.92,1520.92,1566.69,157.51,0.0,0.0,179.04,736.31,602.53,953.88,207.82,2500.54,4251.96,518.37,1.32,14.26,0.0,533.95,564.8,4.82,0.0,0.0,1103.57,0.0,549.27,867.74,232.98,1363.52,134.87,3148.39,4251.96,527.85,0.0,6.54,0.56,0.0,0.04,20.67,0.0,564.8,0.0,21.53,5.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,45.77,45.77,1639.78,1639.78,1685.55,259.36,0.0,0.0,285.49,984.52,635.99,918.16,86.69,2625.36,4596.4,457.75,1.47,28.12,0.0,487.33,740.25,7.35,0.0,0.0,1234.93,0.0,749.55,1026.03,134.51,1415.38,36.0,3361.47,4596.4,1770.25,37.87,12.48,0.24,0.0,0.0,20.67,0.0,740.25,0.0,26.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,51.32,51.32,2194.34,2194.34,2245.66,400.9,0.0,0.0,436.57,1129.28,905.78,843.88,95.68,2974.62,5656.85,552.3,1.52,43.42,0.0,597.23,941.17,10.18,0.0,0.0,1548.58,0.0,753.95,1299.46,199.68,1827.82,27.38,4108.27,5656.85,1779.37,22.44,12.3,0.23,6.41,0.0,20.67,0.0,941.17,0.0,35.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,51.32,51.32,2327.36,2327.36,2378.68,464.4,76.76,17.62,589.54,1922.32,903.5,1020.14,53.62,3899.59,6867.81,673.71,0.83,45.69,0.0,720.22,1200.8,0.0,99.58,255.27,2275.87,0.0,896.03,1453.6,121.4,1654.56,466.35,4591.94,6867.81,2930.3,0.69,15.75,0.5,0.12,0.0,20.67,3.02,1200.8,0.0,30.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,51.32,51.32,2359.75,2359.75,2411.06,322.69,39.34,18.19,405.69,1733.06,1242.42,2230.68,30.26,5236.41,8053.16,718.53,7.33,35.15,0.0,761.01,1240.19,0.0,360.28,133.89,2495.37,0.0,1233.53,1307.23,64.63,2176.87,775.54,5557.79,8053.16,2087.55,4.18,6.65,0.34,0.13,0.0,20.67,1.5,1240.19,0.0,25.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,51.32,51.32,2416.72,2416.72,2468.03,171.62,54.34,17.65,266.73,1884.26,1399.0,2069.67,39.68,5392.61,8127.37,712.26,6.28,6.12,0.0,724.66,1253.62,0.0,320.53,150.28,2449.09,0.0,1426.35,1142.95,80.0,2112.65,916.32,5678.28,8127.37,2317.97,8.92,19.17,1.53,0.05,0.0,20.67,0.77,1253.62,0.0,23.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
