Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Increase/Decrease in Stocks,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-12-31,1183.04,1.0,1184.04,441.63,-25.19,58.78,23.45,623.05,62.32,48.43,110.74,98.92,11.82,0.0,11.82,1.0,10.82,10.82,51.32,0.42,0.42,20.43,79.63,2.28,43.73,8.91
2013-03-31,1678.27,62.95,1741.22,644.53,-72.76,63.76,22.96,948.79,133.93,28.88,162.81,113.1,49.71,0.0,49.71,22.53,27.18,27.18,51.32,1.06,1.06,20.46,79.73,2.07,39.9,8.1
2013-06-30,1379.22,0.0,1379.22,529.23,-31.72,58.0,22.43,715.39,85.89,28.54,114.43,97.18,17.25,0.0,17.25,6.72,10.53,10.53,51.32,0.41,0.41,20.46,79.73,1.56,30.1,6.09
2013-09-30,1329.17,0.0,1329.17,645.3,-102.95,61.23,22.42,625.41,77.75,35.4,113.14,107.39,5.75,0.0,5.75,0.58,5.17,5.17,51.32,0.2,0.2,20.42,79.58,1.38,26.42,5.38
2013-12-31,1488.59,0.08,1488.68,769.18,-130.75,61.0,22.34,697.64,69.27,35.39,104.66,117.92,-13.27,0.0,-13.27,-5.99,-7.27,-7.27,51.32,-0.28,-0.28,20.42,79.58,1.88,35.92,7.32
2014-03-31,1913.23,0.0,1913.23,924.57,6.06,60.16,23.32,816.69,82.44,54.21,136.64,143.5,-6.85,0.0,-6.85,-38.94,32.08,32.08,51.32,1.25,1.25,20.42,79.58,2.13,40.75,8.31
2014-06-30,1489.58,0.0,1489.58,659.85,-25.08,60.55,28.43,685.28,80.55,45.66,126.21,137.68,-11.47,0.0,-11.47,-8.44,-3.03,-3.03,51.32,-0.12,-0.12,20.81,81.11,2.7,55.64,10.5
2014-09-30,2245.74,0.02,2245.76,1342.05,23.39,66.25,28.2,632.6,153.27,38.67,191.94,158.15,33.79,0.0,33.79,11.66,22.12,22.12,51.32,0.86,0.86,20.42,79.58,3.94,75.15,15.34
2014-12-31,2351.3,0.18,2351.48,1440.07,13.18,68.39,27.71,655.81,146.32,55.66,201.98,143.76,58.22,0.0,58.22,16.19,42.02,42.02,111.19,0.86,0.86,43.74,78.69,8.17,68.94,14.68
2015-03-31,2205.22,4.92,2210.13,1113.89,-114.41,69.5,27.5,956.26,157.39,55.08,212.46,133.97,78.5,0.0,78.5,27.82,50.68,50.68,111.19,0.91,0.91,44.11,79.35,6.8,59.25,12.23
