Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Short Term Loans And Advances,Raw Materials,Capital Goods,Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,"Stores, Spares And Loose Tools",Trade/Other Goods
2004-03-31,38.26,38.26,2008.76,2008.76,2047.02,11.61,64.33,0.0,0.0,75.94,46.61,284.09,7.3,58.13,396.14,2519.09,427.75,30.35,105.25,0.0,563.35,612.05,22.07,0.0,0.0,1197.47,0.0,258.01,444.05,408.08,12.77,1321.63,2519.09,208.33,163.1,0.38,981.55,3.89,17.49,254.94,419.48,0.0,0.0,198.71,185.13,33.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,38.26,38.26,2035.82,2035.82,2074.08,10.6,73.85,0.0,0.0,84.46,262.64,351.37,26.28,183.18,823.46,2982.0,532.19,30.35,60.13,0.0,622.67,358.46,52.7,0.0,0.0,1033.82,0.0,303.81,417.64,891.72,8.05,1948.18,2982.0,189.19,195.81,0.0,913.9,5.83,17.49,31.88,413.63,0.0,0.0,326.96,189.94,38.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,38.35,38.35,2223.79,2223.79,2262.14,9.61,70.98,0.0,0.0,80.6,914.26,523.79,29.47,174.7,1642.23,3984.96,506.06,55.75,112.92,0.0,674.73,911.36,17.9,0.0,0.0,1603.99,0.0,443.1,581.22,650.94,0.0,2380.97,3984.96,2409.27,190.52,0.0,1196.66,13.35,17.49,1.16,911.05,0.0,0.0,705.71,233.11,41.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,83.96,83.96,4289.4,4289.4,4373.36,8.79,74.91,0.0,0.0,83.71,321.11,598.49,58.55,522.97,1501.13,5958.19,627.54,54.5,280.61,0.0,962.65,966.99,17.17,0.0,0.0,1946.81,0.0,487.58,1055.7,1456.71,0.0,4011.38,5958.19,1896.92,301.24,0.0,2848.33,244.19,55.87,1.2,966.68,0.0,0.0,1011.38,380.33,68.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,84.09,84.09,4727.72,4727.72,4811.8,9.73,105.5,0.0,0.0,115.23,452.58,613.28,67.58,601.38,1734.81,6661.85,932.91,54.5,245.71,0.0,1233.13,2080.71,18.64,0.0,0.0,3332.48,0.0,640.93,897.71,537.34,0.0,3329.36,6661.85,1892.55,335.36,0.0,2259.91,106.83,55.87,1.92,2080.41,0.0,0.0,1253.38,658.48,77.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,84.2,84.2,5174.9,5174.9,5259.1,8.6,113.1,0.0,0.0,121.7,631.7,780.0,270.2,294.8,1976.7,7357.5,1145.6,65.2,411.2,0.0,1622.0,1865.1,22.7,0.0,0.0,3509.8,0.0,735.1,1419.7,384.4,0.0,3847.7,7357.5,1934.8,491.6,0.0,2892.5,230.8,55.87,53.0,1864.8,0.0,0.0,1308.5,553.8,135.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,84.4,84.4,5830.2,5830.2,5914.6,6.3,96.3,0.0,0.0,102.6,556.9,1194.3,253.2,339.4,2343.8,8361.0,1250.4,65.2,745.4,0.0,2061.0,2652.7,21.3,0.0,0.0,4735.0,0.0,897.4,1060.5,368.0,0.0,3626.0,8361.0,2016.1,424.3,0.0,3013.8,147.6,55.87,360.1,2652.4,0.0,0.0,1300.1,486.4,110.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,84.6,84.6,5935.6,5935.6,6020.2,513.0,100.8,6.0,19.7,639.5,931.1,806.9,588.9,276.8,2603.7,9263.4,1689.3,1.7,546.0,0.0,2237.0,2462.0,0.0,911.7,0.0,5610.7,0.0,1063.2,1770.5,66.2,175.0,3652.7,9263.4,2488.2,510.3,0.0,3671.8,75.9,55.87,3.3,2614.8,0.0,0.0,577.8,533.7,277.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,84.8,84.8,6633.0,6633.0,6717.8,513.0,20.0,6.3,21.2,560.5,1020.4,733.4,984.4,324.1,3062.3,10340.6,1896.7,0.1,617.6,0.0,2514.4,2270.7,0.0,631.8,0.0,5416.9,207.0,1326.7,1943.5,849.0,67.7,4923.7,10340.6,2503.9,609.3,0.0,4840.5,96.2,55.87,2.5,2616.0,208.0,0.0,529.8,691.4,228.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,84.9,84.9,7698.5,7698.5,7783.4,6.3,93.7,2.8,29.8,132.6,1582.8,767.8,1301.1,421.4,4073.1,11989.1,2335.5,51.5,423.2,0.0,2810.2,2182.6,0.0,350.1,20.9,5363.8,196.6,1526.5,2963.9,919.1,130.7,6625.3,11989.1,2097.3,863.8,0.0,6100.4,328.6,55.87,2.5,2494.7,201.0,0.0,888.5,883.7,265.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
