Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,Admin. And Selling Expenses,R & D Expenses,Provisions And Contingencies,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-12-31,2137.25,21.19,2158.44,628.36,108.92,-68.79,286.55,79.07,203.73,158.08,0.0,302.39,460.13,27.86,487.99,11.54,476.45,476.45,129.81,346.64,346.64,84.92,20.41,20.31,9.81,57.78,4.34,100.0,25.56
2013-03-31,2233.3,129.18,2362.48,633.93,97.07,73.3,303.43,84.63,173.18,185.05,0.0,327.08,484.81,88.79,573.6,17.6,556.0,556.0,177.85,378.15,378.15,84.92,22.27,22.16,9.78,57.59,4.34,100.0,25.56
2013-06-30,1791.29,30.33,1821.62,561.19,92.24,-79.19,280.67,89.09,194.54,185.16,0.0,433.95,63.97,33.31,97.28,13.92,83.36,83.36,18.5,64.86,64.86,85.03,3.82,3.8,9.75,57.32,4.34,100.0,25.53
2013-09-30,2691.82,15.72,2707.54,548.96,123.4,-22.14,297.58,94.3,201.98,216.67,0.0,341.23,905.56,33.36,938.92,24.16,914.76,914.76,141.38,773.38,773.38,85.05,45.47,45.25,9.8,57.6,4.34,100.0,25.53
2013-12-31,2568.49,15.28,2583.77,509.48,120.17,-0.59,312.38,98.16,224.86,205.38,0.0,296.74,817.19,63.19,880.38,21.25,859.13,859.13,235.96,623.17,623.17,85.05,36.63,36.47,9.76,57.37,4.34,100.0,25.53
2014-03-31,2204.28,19.88,2224.16,628.39,133.23,-68.56,294.31,98.95,277.6,0.0,0.0,327.97,532.27,83.85,616.12,18.98,597.14,597.14,125.71,471.43,471.43,85.05,27.71,27.59,9.6,56.47,4.34,100.0,25.52
2014-06-30,2668.4,22.08,2690.48,584.25,102.69,8.66,364.17,105.48,303.28,0.0,0.0,517.05,704.9,91.88,796.78,15.1,781.68,781.68,178.93,602.75,602.75,85.17,35.42,35.26,9.55,56.05,4.34,100.0,25.49
2014-09-30,2459.81,21.03,2480.84,631.1,140.67,-97.2,373.27,120.59,275.75,0.0,0.0,560.2,476.46,54.78,531.24,16.02,515.22,515.22,81.63,433.59,433.59,85.18,25.45,25.34,9.79,57.47,4.34,100.0,25.49
2014-12-31,2127.96,22.94,2150.9,635.27,151.49,-70.49,369.09,127.39,261.09,0.0,0.0,650.79,26.27,62.74,89.01,13.91,75.1,75.1,3.51,71.59,71.59,85.18,4.2,4.18,9.73,57.11,4.34,100.0,25.49
2015-03-31,2671.28,17.44,2688.72,472.01,131.21,130.07,384.33,136.77,223.38,0.0,0.0,591.62,619.33,87.26,706.59,18.77,687.82,687.82,116.4,571.42,571.42,85.19,33.54,33.4,9.82,57.63,4.34,100.0,25.48
2015-06-30,2512.9,13.0,2525.9,501.2,154.3,-38.1,406.6,142.3,262.3,0.0,0.0,575.5,521.8,110.5,632.3,21.3,611.0,611.0,117.6,493.4,493.4,85.3,28.95,28.85,9.8,57.48,4.35,100.0,25.48
2015-09-30,2894.3,23.0,2917.3,529.2,148.0,-18.5,424.1,159.1,251.9,0.0,0.0,642.2,781.3,62.7,844.0,14.6,829.4,829.4,146.8,682.6,682.6,85.3,40.02,39.9,0.0,0.0,0.0,0.0,0.0
2015-12-31,2439.2,10.5,2449.7,509.8,181.4,-18.3,430.4,166.9,257.5,0.0,0.0,664.1,257.9,56.8,314.7,13.5,301.2,301.2,64.2,237.0,237.0,85.3,13.89,13.86,0.0,0.0,0.0,0.0,0.0
2016-03-31,2367.9,10.6,2378.5,511.8,126.7,46.1,432.2,181.1,155.8,0.0,0.0,1102.0,-177.2,127.0,-50.2,14.6,-64.8,-64.8,-26.2,-38.6,-38.6,85.3,-2.26,-2.26,0.0,0.0,0.0,0.0,0.0
2016-06-30,2132.6,8.9,2141.5,471.4,159.4,-125.1,468.4,172.5,252.1,0.0,0.0,679.5,63.3,391.8,455.1,12.6,442.5,442.5,33.4,409.1,409.1,82.8,24.13,24.07,0.0,0.0,0.0,0.0,0.0
2016-09-30,2610.8,16.7,2627.5,490.4,181.6,-8.3,480.2,189.3,263.6,0.0,0.0,673.1,357.6,63.9,421.5,12.3,409.2,409.2,96.0,313.2,313.2,82.9,18.91,18.86,0.0,0.0,0.0,0.0,0.0
2016-12-31,2559.1,9.4,2568.5,450.6,161.9,-33.8,482.4,183.7,244.0,0.0,0.0,622.8,456.9,89.0,545.9,16.5,529.4,529.4,90.6,438.8,438.8,82.9,26.49,26.44,0.0,0.0,0.0,0.0,0.0
2017-03-31,2303.4,56.7,2360.1,383.0,168.6,169.1,372.3,189.6,238.8,0.0,0.0,719.0,119.7,59.5,179.2,15.8,163.4,163.4,-59.6,223.0,223.0,82.9,13.46,13.44,0.0,0.0,0.0,0.0,0.0
2017-06-30,2078.5,11.2,2089.7,493.1,118.8,-39.2,450.5,191.0,278.3,0.0,0.0,639.8,-42.6,48.8,6.2,16.4,-10.2,-10.2,-2.9,-7.3,-7.3,82.9,-0.44,-0.44,0.0,0.0,0.0,0.0,0.0
2017-09-30,2246.2,8.1,2254.3,447.1,169.6,45.0,452.5,194.8,247.5,0.0,0.0,579.0,118.8,40.4,159.2,19.0,140.2,140.2,39.5,100.7,100.7,82.9,6.07,6.06,0.0,0.0,0.0,0.0,0.0
2017-12-31,2501.3,21.7,2523.0,496.8,168.6,-18.5,476.7,198.3,274.9,0.0,0.0,589.0,337.2,47.7,384.9,13.3,371.6,371.6,74.7,296.9,296.9,82.9,17.9,17.87,0.0,0.0,0.0,0.0,0.0
2018-03-31,2476.6,15.7,2492.3,574.0,214.6,-38.9,463.3,190.0,0.0,0.0,0.0,952.9,136.4,73.1,209.5,14.0,195.5,195.5,18.8,176.7,176.7,83.0,10.65,10.63,0.0,0.0,0.0,0.0,0.0
2018-06-30,2582.1,35.5,2617.6,553.9,181.1,-47.9,467.0,192.1,0.0,0.0,0.0,888.7,382.7,34.9,417.6,16.5,401.1,401.1,72.2,328.9,328.9,83.0,19.82,19.8,0.0,0.0,0.0,0.0,0.0
2018-09-30,2572.5,58.5,2631.0,479.9,193.5,32.7,503.0,190.8,0.0,0.0,0.0,857.3,373.8,74.8,448.6,15.8,432.8,432.8,86.6,346.2,346.2,83.0,20.86,20.83,0.0,0.0,0.0,0.0,0.0
2018-12-31,2703.7,28.0,2731.7,546.1,257.5,-25.1,471.9,193.5,0.0,0.0,0.0,794.4,493.4,92.8,586.2,15.8,570.4,570.4,171.0,399.4,399.4,83.0,24.08,24.05,0.0,0.0,0.0,0.0,0.0
2019-03-31,2608.4,36.8,2645.2,523.3,236.5,106.3,490.0,204.2,0.0,0.0,0.0,852.5,232.4,72.7,305.1,8.7,296.4,296.4,93.6,202.8,202.8,83.0,12.22,12.21,0.0,0.0,0.0,0.0,0.0
2019-06-30,2482.7,26.0,2508.7,583.9,247.9,-67.5,499.6,197.0,0.0,0.0,0.0,814.1,233.7,471.4,705.1,12.1,693.0,693.0,144.9,548.1,548.1,83.1,33.06,33.01,0.0,0.0,0.0,0.0,0.0
2019-09-30,3446.0,0.0,3446.0,645.3,297.1,0.5,502.8,204.1,0.0,0.0,0.0,839.5,956.7,76.7,1033.4,12.2,1021.2,1021.2,-343.9,1365.1,1365.1,83.1,82.36,82.24,0.0,0.0,0.0,0.0,0.0
2019-12-31,3044.0,0.0,3044.0,673.0,346.1,-100.1,511.2,195.8,0.0,0.0,0.0,858.1,559.9,69.3,629.2,11.7,617.5,617.5,95.8,521.7,521.7,83.1,31.47,31.42,0.0,0.0,0.0,0.0,0.0
2020-03-31,2837.9,13.8,2851.7,654.3,226.1,67.2,516.6,192.3,0.0,0.0,0.0,866.7,328.5,127.4,455.9,11.8,444.1,444.1,-58.7,502.8,502.8,83.1,30.34,30.28,0.0,0.0,0.0,0.0,0.0
2020-06-30,3236.8,7.6,3244.4,788.2,300.3,-192.9,545.0,197.7,875.1,0.0,0.0,0.0,731.0,644.7,1375.7,14.0,1361.7,1361.7,411.5,950.2,950.2,83.1,57.31,57.18,0.0,0.0,0.0,0.0,0.0
2020-09-30,3333.6,12.2,3345.8,816.5,304.3,-135.8,608.0,214.2,936.2,0.0,0.0,0.0,602.4,26.6,629.0,9.3,619.7,619.7,138.7,481.0,481.0,83.1,29.0,28.92,0.0,0.0,0.0,0.0,0.0
2020-12-31,3408.2,0.0,3408.2,845.3,321.1,-87.7,571.5,212.4,0.0,0.0,0.0,984.0,561.6,62.8,624.4,6.5,617.9,617.9,174.2,443.7,443.7,83.1,26.74,26.66,0.0,0.0,0.0,0.0,0.0
2021-03-31,3350.7,0.0,3350.7,816.3,326.6,20.8,545.6,210.7,1038.5,0.0,0.0,0.0,392.2,81.6,473.8,16.9,456.9,456.9,145.4,311.5,311.5,83.2,18.78,18.73,0.0,0.0,0.0,0.0,0.0
2021-06-30,3433.5,0.0,3433.5,870.7,623.5,-302.5,586.5,197.1,1093.4,0.0,0.0,0.0,364.8,186.2,551.0,6.5,544.5,544.5,131.1,413.4,413.4,83.2,24.94,24.87,0.0,0.0,0.0,0.0,0.0
2021-09-30,3823.4,0.0,3823.4,673.2,656.2,25.2,635.2,206.6,1085.3,0.0,0.0,0.0,541.7,118.1,659.8,11.1,648.7,648.7,199.7,449.0,449.0,83.2,27.07,27.0,0.0,0.0,0.0,0.0,0.0
2021-12-31,3479.6,0.0,3479.6,507.8,753.8,-56.6,604.0,205.4,1056.6,0.0,0.0,0.0,408.6,63.0,471.6,7.7,463.9,463.9,122.8,341.1,341.1,83.2,20.55,20.51,0.0,0.0,0.0,0.0,0.0
2022-03-31,3631.9,36.8,3668.7,1014.9,335.4,-55.7,608.9,205.2,1085.5,0.0,9.8,0.0,464.7,114.7,579.4,12.7,566.7,566.7,147.0,419.7,419.7,83.2,25.29,25.24,0.0,0.0,0.0,0.0,0.0
2022-06-30,3615.6,15.0,3630.6,804.7,483.6,17.2,649.0,221.5,1096.6,0.0,0.0,0.0,358.0,403.4,761.4,9.8,751.6,751.6,252.1,499.5,499.5,83.2,30.1,30.03,0.0,0.0,0.0,0.0,0.0
2022-09-30,4866.1,14.2,4880.3,636.7,439.1,133.6,710.1,226.2,1158.0,0.0,0.0,0.0,1576.6,118.0,1694.6,1.7,1692.9,1692.9,576.6,1116.3,1116.3,83.2,67.25,67.1,0.0,0.0,0.0,0.0,0.0
2022-12-31,3897.6,0.0,3897.6,865.9,487.4,-128.1,708.4,238.8,1287.9,0.0,1.0,0.0,436.3,51.4,487.7,2.8,484.9,484.9,160.3,324.6,324.6,83.3,19.54,19.5,0.0,0.0,0.0,0.0,0.0
2023-03-31,4249.1,304.9,4554.0,854.1,369.2,106.8,765.1,236.7,1393.6,0.0,4.1,0.0,824.4,114.8,939.2,2.6,936.6,936.6,264.2,672.4,672.4,83.3,40.49,40.41,0.0,0.0,0.0,0.0,0.0
2023-06-30,5437.3,0.0,5437.3,813.9,384.2,-16.3,740.2,237.2,0.0,0.0,0.0,1287.6,1990.5,233.6,2224.1,4.5,2219.6,2219.6,580.2,1639.4,1639.4,83.3,98.66,98.45,0.0,0.0,0.0,0.0,0.0
2023-09-30,4838.7,0.0,4838.7,751.2,499.2,-105.4,783.7,245.8,0.0,0.0,0.0,1280.9,1383.3,223.1,1606.4,5.8,1600.6,1600.6,408.0,1192.6,1192.6,83.4,71.68,71.54,0.0,0.0,0.0,0.0,0.0
2023-12-31,4103.0,0.0,4103.0,818.7,556.9,-65.1,782.3,246.4,0.0,0.0,0.0,1353.9,409.9,227.6,637.5,5.6,631.9,631.9,156.7,475.2,475.2,83.4,28.55,28.5,0.0,0.0,0.0,0.0,0.0
2024-03-31,5081.8,23.0,5104.8,907.7,546.3,-52.0,779.5,246.2,0.0,0.0,26.0,1518.7,1132.4,212.7,1345.1,5.9,1339.2,1339.2,304.4,1034.8,1034.8,83.4,62.14,62.04,0.0,0.0,0.0,0.0,0.0
2024-06-30,5841.2,0.0,5841.2,911.1,740.3,-126.1,855.9,249.8,0.0,0.0,0.0,1507.0,1703.2,217.8,1921.0,7.1,1913.9,1913.9,496.7,1417.2,1417.2,83.4,85.1,84.97,0.0,0.0,0.0,0.0,0.0
2024-09-30,6696.3,0.0,6696.3,934.3,656.5,-93.0,840.1,260.0,0.0,0.0,0.0,1636.8,2461.6,207.6,2669.2,28.4,2640.8,2640.8,758.7,1882.1,1882.1,83.4,112.84,112.84,0.0,0.0,0.0,0.0,0.0
2024-12-31,5015.0,0.0,5015.0,1011.7,508.4,-37.0,794.4,265.1,0.0,0.0,0.0,1545.1,927.3,235.4,1162.7,43.3,1119.4,1119.4,270.0,849.4,849.4,83.4,10.2,10.18,0.0,0.0,0.0,0.0,0.0
2025-03-31,5546.3,16.6,5562.9,942.6,534.7,82.2,797.1,264.5,0.0,0.0,103.6,1659.7,1178.5,414.4,1592.9,31.1,1561.8,1561.8,361.1,1200.7,1200.7,83.4,14.41,14.39,0.0,0.0,0.0,0.0,0.0
