Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Raw Materials,"Stores, Spares And Loose Tools",Capital Goods,Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Trade/Other Goods
2004-03-31,21.16,21.16,286.03,286.03,307.19,0.0,42.38,0.0,0.0,42.38,0.0,68.39,1.34,23.63,93.36,442.93,202.41,0.26,6.98,0.0,209.65,54.72,0.84,0.0,0.0,265.21,0.0,94.64,43.0,9.79,30.25,0.04,177.72,442.93,23.67,19.88,0.0,44.94,0.0,14.34,21.19,54.72,0.0,0.0,85.18,0.0,8.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,21.16,21.16,319.66,319.66,340.81,191.25,46.61,0.0,0.0,237.86,19.67,110.2,3.76,25.63,159.26,737.94,214.07,4.54,77.06,0.0,295.67,185.59,1.79,0.0,0.0,483.04,0.0,145.11,59.8,8.3,41.64,0.04,254.89,737.94,62.71,33.72,0.0,80.88,19.02,14.34,147.05,185.59,0.0,0.0,93.95,0.0,26.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,42.31,42.31,340.21,340.21,382.52,244.09,57.57,0.0,0.0,301.66,0.0,122.62,6.38,31.9,160.9,845.08,344.5,7.07,33.93,0.0,385.5,73.77,2.08,0.0,0.0,461.36,0.0,163.36,111.1,60.96,47.89,0.41,383.72,845.08,40.82,45.56,0.0,134.42,3.82,35.49,0.0,73.77,0.0,0.0,114.77,0.0,11.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,42.31,42.31,422.07,422.07,464.38,260.9,69.48,0.0,0.0,330.38,18.08,133.95,7.48,15.42,174.93,969.69,395.73,7.39,39.78,0.0,442.9,94.97,6.18,0.0,0.0,544.05,0.0,185.89,165.61,10.25,63.89,0.01,425.64,969.69,31.86,65.18,0.0,164.56,9.11,35.49,0.0,94.97,0.0,0.0,109.44,0.0,10.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,42.31,42.31,542.94,542.94,585.25,303.17,76.18,0.0,0.0,379.36,38.43,166.56,23.17,49.9,278.06,1242.67,440.03,7.48,78.6,0.0,526.11,158.05,6.71,0.0,0.0,690.87,0.0,166.53,198.48,97.67,89.11,0.01,551.8,1242.67,44.03,59.17,0.0,222.18,10.57,35.49,0.0,158.05,0.0,0.0,143.22,0.0,15.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,42.31,42.31,690.37,690.37,732.68,407.06,78.72,0.0,0.0,485.78,75.0,221.8,52.65,57.54,406.99,1625.46,477.02,10.21,45.73,0.0,532.96,244.96,10.39,0.0,0.0,788.3,0.0,191.84,240.81,183.31,221.08,0.11,837.15,1625.46,35.8,77.94,0.0,330.17,19.06,35.49,0.0,244.96,0.0,0.0,151.07,0.0,9.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,42.31,42.31,838.54,838.54,880.85,396.91,75.26,0.0,0.0,472.17,125.49,261.66,38.26,82.55,507.97,1860.98,512.64,12.99,105.38,0.0,631.01,231.48,13.19,0.0,0.0,875.67,0.0,227.88,259.78,346.79,150.86,0.0,985.31,1860.98,72.91,72.58,0.0,442.0,22.24,35.49,0.0,231.48,0.0,0.0,173.38,0.0,22.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,42.31,42.31,1050.74,1050.74,1093.05,293.04,61.71,0.32,20.72,375.78,99.57,298.95,269.99,84.41,752.91,2221.74,581.09,6.52,44.37,0.0,631.98,304.53,0.0,37.14,46.34,1019.99,125.99,342.83,340.01,265.33,38.79,88.8,1201.75,2221.74,52.47,93.17,0.1,578.18,29.88,35.49,0.0,304.53,0.0,125.99,192.39,6.36,29.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,42.31,42.31,1262.18,1262.18,1304.49,322.06,63.17,0.45,59.65,445.32,138.12,373.4,257.38,59.67,828.57,2578.38,628.59,7.71,26.87,0.0,663.17,391.3,0.0,53.67,46.25,1154.39,86.52,393.12,409.61,366.69,62.96,105.08,1423.99,2578.38,54.24,133.92,0.0,758.54,56.48,35.49,0.0,391.3,0.0,86.52,194.55,5.72,20.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,42.31,42.31,1608.78,1608.78,1651.09,454.54,56.89,9.76,71.01,592.2,124.62,449.69,329.87,207.84,1112.02,3355.31,784.99,6.39,276.31,0.0,1067.69,147.5,0.0,53.36,23.9,1292.45,42.76,697.09,831.27,277.76,68.32,145.66,2062.86,3355.31,338.52,230.13,0.0,1211.43,111.39,35.49,0.0,147.5,0.0,42.76,214.18,7.12,22.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
