Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-12-31,633.04,25.46,658.5,211.55,20.09,13.55,91.83,19.04,192.12,110.32,0.49,110.81,7.36,103.45,0.0,103.45,19.61,83.84,83.84,42.31,0.0,9.91,9.91,2.41,28.49,6.05,100.0,71.51
2013-03-31,703.0,67.0,770.0,224.0,23.0,-24.0,98.0,20.0,200.0,229.0,15.0,244.0,10.0,234.0,-37.0,197.0,44.0,153.0,153.0,42.31,0.0,18.08,18.08,2.41,28.49,6.05,100.0,71.51
2013-06-30,818.0,67.0,885.0,212.0,20.0,39.0,104.0,19.0,223.0,268.0,14.0,282.0,8.0,274.0,0.0,274.0,60.0,214.0,214.0,42.31,0.0,25.28,25.28,2.41,28.49,6.05,100.0,71.51
2013-09-30,757.0,36.0,793.0,214.0,22.0,16.0,108.0,20.0,171.0,242.0,3.0,245.0,15.0,230.0,0.0,230.0,48.0,182.0,182.0,85.0,0.0,10.78,10.78,4.82,28.49,12.1,100.0,71.51
2013-12-31,709.0,24.0,733.0,228.0,25.0,-20.0,105.0,20.0,223.0,152.0,10.0,162.0,16.0,146.0,0.0,146.0,32.0,114.0,114.0,85.0,0.0,6.74,6.74,4.82,28.49,12.1,100.0,71.51
2014-03-31,937.0,17.0,954.0,222.0,26.0,-4.0,102.0,20.0,270.0,318.0,9.0,327.0,19.0,308.0,0.0,308.0,56.0,252.0,252.0,85.0,0.0,14.89,14.89,4.82,28.49,12.1,100.0,71.51
2014-06-30,896.0,21.0,917.0,200.0,43.0,-22.0,113.0,19.0,209.0,355.0,56.0,411.0,24.0,387.0,0.0,387.0,82.0,305.0,305.0,85.0,0.0,18.01,18.01,4.82,28.49,12.1,100.0,71.51
2014-09-30,840.0,16.0,856.0,267.0,49.0,-12.0,124.0,53.0,257.0,118.0,76.0,194.0,52.0,142.0,0.0,142.0,30.0,112.0,112.0,85.0,0.0,6.65,6.65,4.82,28.49,12.1,100.0,71.51
2014-12-31,796.0,10.0,806.0,253.0,48.0,-30.0,125.0,53.0,257.0,100.0,72.0,172.0,50.0,122.0,0.0,122.0,19.0,103.0,103.0,85.0,0.0,6.05,6.05,4.82,28.49,12.1,100.0,71.51
2015-03-31,878.0,19.0,897.0,248.0,61.0,-22.0,145.0,55.0,319.0,91.0,101.0,192.0,47.0,145.0,0.0,145.0,42.0,103.0,103.0,85.0,0.0,6.12,6.12,4.87,28.75,12.06,100.0,71.25
2015-06-30,1810.0,57.0,1867.0,264.0,47.0,-12.0,136.0,52.0,254.0,1126.0,76.0,1202.0,53.0,1149.0,0.0,1149.0,310.0,839.0,839.0,85.0,0.0,49.59,49.59,4.87,28.75,12.06,100.0,71.25
2015-09-30,1533.0,33.0,1566.0,252.0,44.0,-27.0,136.0,53.0,232.0,876.0,101.0,977.0,48.0,929.0,0.0,929.0,246.0,683.0,683.0,85.0,0.0,40.33,40.33,0.0,0.0,0.0,0.0,0.0
2015-12-31,990.0,25.0,1015.0,283.0,52.0,-32.0,143.0,53.0,255.0,261.0,79.0,340.0,41.0,299.0,-193.0,106.0,10.0,96.0,96.0,85.0,0.0,5.66,5.66,0.0,0.0,0.0,0.0,0.0
