Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Power & Fuel,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Extra Ordinary Items,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-12-31,2447.92,101.19,2549.11,1574.97,142.85,128.11,262.78,440.4,31.82,472.22,178.84,293.38,0.0,293.38,77.0,216.38,0.0,216.38,237.33,0.71,0.71,154.31,67.19,70.15,93.09,29.56
2013-03-31,2034.38,179.89,2214.27,968.85,134.52,-74.42,531.58,653.74,120.38,774.12,196.54,577.58,0.0,577.58,377.55,200.03,0.0,200.03,237.33,0.66,0.66,152.61,64.31,71.85,93.24,30.28
2013-06-30,2484.89,122.62,2607.51,1391.38,144.85,136.04,329.26,605.98,179.88,785.86,236.27,549.59,0.0,549.59,192.59,357.0,0.0,357.0,237.33,1.32,1.32,152.61,66.45,73.52,95.41,30.98
2013-09-30,2074.87,124.65,2199.52,1184.05,112.44,139.64,300.69,462.7,46.31,509.01,162.0,347.01,0.0,347.01,85.24,261.77,0.0,261.77,237.33,0.91,0.91,152.7,66.46,73.52,95.41,30.98
2013-12-31,1892.92,185.0,2077.92,822.04,136.38,148.35,407.74,563.41,-9.33,554.08,214.34,339.74,0.0,339.74,88.61,251.13,0.0,251.13,237.33,0.98,0.98,152.7,66.46,73.52,95.41,30.98
2014-03-31,1602.23,209.86,1812.09,743.41,151.28,163.11,420.13,334.16,175.36,509.52,254.7,254.82,0.0,254.82,170.64,84.18,0.0,84.18,237.33,0.29,0.29,159.81,67.34,73.52,95.41,30.98
2014-06-30,2169.62,158.83,2328.45,1262.35,156.21,141.6,361.43,406.86,221.32,628.18,252.12,376.06,0.0,376.06,120.1,255.96,0.0,255.96,270.48,0.86,0.86,180.66,66.8,83.41,93.34,30.84
2014-09-30,1896.76,137.89,2034.65,934.08,168.26,145.81,395.33,391.17,215.99,607.16,255.92,351.24,0.0,351.24,44.91,306.33,0.0,306.33,270.48,1.02,1.02,180.66,66.8,84.81,94.9,31.36
2014-12-31,1908.75,200.29,2109.04,1056.59,159.76,129.37,403.12,360.2,292.76,652.96,273.01,379.95,0.0,379.95,145.32,234.63,0.0,234.63,270.48,0.75,0.75,180.66,66.8,84.81,94.9,31.36
2015-03-31,1865.22,299.7,2164.92,834.23,202.29,158.51,541.37,428.52,246.29,674.81,266.41,408.4,0.0,408.4,195.03,213.37,0.0,213.37,270.48,0.67,0.67,180.7,66.92,84.77,94.9,31.34
2015-06-30,1771.33,403.99,2175.32,903.19,160.76,148.9,452.87,509.6,305.91,815.51,340.48,475.03,16.59,491.62,157.85,333.77,0.0,333.77,270.48,1.13,1.13,0.0,0.0,0.0,0.0,0.0
2015-09-30,1814.33,448.77,2263.1,901.5,171.62,150.35,351.72,687.91,262.4,950.31,273.74,676.57,-198.0,478.57,122.41,356.16,0.0,356.16,270.48,1.21,1.21,0.0,0.0,0.0,0.0,0.0
2015-12-31,1769.05,472.87,2241.92,830.35,160.3,151.35,349.38,750.54,106.8,857.34,253.34,604.0,-202.0,402.0,108.19,293.81,0.0,293.81,270.48,0.98,0.98,0.0,0.0,0.0,0.0,0.0
2016-03-31,2016.6,0.0,2016.6,700.44,155.79,153.86,598.01,408.5,230.16,638.66,278.56,360.1,2.0,362.1,-9.15,371.25,0.0,371.25,270.48,1.27,1.27,0.0,0.0,0.0,0.0,0.0
2016-06-30,1501.37,372.45,1873.82,759.11,162.94,155.04,305.5,491.23,107.54,598.77,264.25,334.52,-120.0,214.52,67.61,146.91,0.0,146.91,270.48,0.44,0.44,0.0,0.0,0.0,0.0,0.0
2016-09-30,1330.84,389.53,1720.37,661.75,162.23,157.87,348.84,389.68,479.99,869.67,320.21,549.46,73.0,622.46,175.12,447.34,0.0,447.34,270.48,1.55,1.55,0.0,0.0,0.0,0.0,0.0
2016-12-31,1624.09,0.0,1624.09,722.4,135.35,153.61,309.09,303.64,194.86,498.5,362.98,135.52,51.0,186.52,-118.95,305.47,-2.85,302.62,270.5,1.01,1.01,0.0,0.0,0.0,0.0,0.0
2017-03-31,1890.49,0.0,1890.49,666.09,190.78,159.98,572.17,301.47,155.16,456.63,362.41,94.22,-591.45,-497.23,96.19,-593.42,0.0,-593.42,270.5,-2.3,-2.3,0.0,0.0,0.0,0.0,0.0
