Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Other Assets,Fixed Assets,Non-Current Investments,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Unquoted Book Value,Current Investments Unquoted Book Value,Long Term Borrowings,Long Term Loans And Advances,Short Term Loans And Advances,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods,Deferred Tax Assets [Net],Equity Share Application Money,Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale
2004-03-31,2.69,2.69,18.63,18.63,21.32,7.44,0.0,0.0,15.26,5.78,14.01,2.47,0.78,23.04,59.62,29.94,0.0,0.18,0.0,0.0,30.12,0.0,0.17,30.34,0.0,12.0,12.52,2.15,0.0,29.28,59.62,3.9,0.34,0.0,2.83,0.0,0.0,0.0,0.0,7.82,0.0,2.61,1.04,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,2.69,2.69,20.23,20.23,22.92,7.23,0.0,0.0,13.45,7.24,16.28,2.82,2.11,28.45,64.82,29.69,0.0,0.89,0.0,0.0,30.58,0.01,0.12,30.76,0.0,13.39,12.58,2.62,0.0,34.06,64.82,6.51,0.84,0.0,2.49,0.0,0.0,0.01,0.0,6.22,0.0,5.46,4.41,0.0,0.0,0.84,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,2.69,2.69,25.58,25.58,28.26,8.31,0.0,0.0,19.82,8.57,17.0,3.34,4.14,33.05,81.14,40.59,0.0,0.31,0.0,0.0,40.89,0.0,0.07,41.0,0.0,17.21,13.59,2.61,0.0,40.14,81.14,2.16,1.85,0.0,2.43,0.0,0.0,0.0,0.0,11.51,0.0,6.73,6.93,0.0,0.0,1.78,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,3.04,3.04,44.12,44.12,47.16,9.16,0.0,0.0,28.7,10.0,26.88,4.15,4.99,46.02,122.43,49.45,0.0,10.01,0.0,0.0,59.46,0.0,0.13,59.65,0.0,20.34,22.36,10.69,0.0,62.78,122.43,3.32,1.19,0.0,2.56,0.0,0.0,0.0,0.0,19.54,0.0,9.38,8.77,0.0,0.0,4.32,0.06,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,3.09,3.09,55.31,55.31,58.4,12.29,0.0,0.0,35.45,15.93,26.77,4.42,6.47,53.58,147.85,75.55,0.0,0.89,0.0,0.0,76.45,0.0,0.11,76.57,0.0,26.6,25.7,10.73,0.0,71.28,147.85,0.83,1.18,0.06,2.79,0.0,0.0,0.0,0.0,23.17,0.0,8.24,12.96,0.0,0.0,0.87,0.02,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,3.11,3.11,67.51,67.51,70.62,13.7,0.0,0.0,39.27,11.03,28.01,4.67,10.86,54.58,164.47,74.31,0.0,0.21,0.0,0.0,74.53,0.0,0.09,74.65,0.0,26.85,30.69,21.64,0.0,89.82,164.47,0.53,2.57,0.0,4.22,0.0,0.0,0.0,0.0,25.57,0.0,10.64,13.29,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,3.14,3.14,85.37,85.37,88.51,13.24,0.0,0.0,30.0,10.46,40.11,5.15,16.97,72.69,191.2,68.6,0.0,2.16,0.0,0.0,70.76,0.0,0.06,70.87,0.0,36.36,33.14,34.05,0.0,120.34,191.2,0.47,1.1,0.0,3.66,0.0,0.0,0.0,0.0,16.76,0.0,16.78,20.79,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,6.33,6.33,105.23,105.23,111.56,13.85,4.66,14.39,42.28,22.6,13.46,40.48,8.34,84.88,238.72,78.33,0.0,6.12,0.0,0.0,84.45,0.0,0.0,99.38,7.77,50.03,38.79,36.2,0.73,139.34,238.72,4.15,0.74,0.0,2.96,0.0,3.16,0.0,7.77,9.37,14.93,5.82,0.48,0.32,25.32,0.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,6.33,6.33,132.85,132.85,139.18,13.62,5.55,16.68,47.47,29.6,18.96,48.99,10.41,107.95,294.6,90.26,0.0,10.95,0.0,0.0,101.21,0.0,0.0,116.37,1.09,91.75,45.45,31.3,0.69,178.22,294.6,16.29,0.95,0.0,3.92,0.0,3.16,0.0,1.09,11.62,15.17,7.93,1.13,1.02,43.64,0.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,6.33,6.33,173.18,173.18,179.5,16.22,7.06,19.75,57.92,40.05,27.61,61.08,13.5,142.23,379.66,125.05,0.0,4.33,0.0,0.0,129.39,0.0,0.0,150.73,1.38,94.02,83.13,40.35,0.68,228.93,379.66,12.68,1.3,0.0,5.33,0.0,3.16,0.0,1.38,14.89,21.35,9.36,7.01,0.47,75.96,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
