Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Power & Fuel,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-12-31,128.02,0.0,128.02,11.34,42.15,0.62,5.84,14.71,2.56,32.82,17.97,2.0,19.97,2.01,17.96,0.0,17.96,5.96,12.0,12.0,6.33,9.48,9.48,0.56,44.6,0.7,100.0,55.4
2013-03-31,157.95,0.0,157.95,11.06,53.26,14.59,6.9,16.16,2.69,35.25,18.05,3.75,21.8,2.2,19.6,0.0,19.6,5.67,13.93,13.93,6.33,11.01,11.01,0.56,44.5,0.7,100.0,55.5
2013-06-30,126.59,0.0,126.59,13.88,42.39,-1.25,5.78,16.65,2.81,29.23,17.1,1.39,18.49,1.43,17.07,0.0,17.07,5.89,11.18,11.18,6.33,8.84,8.84,0.56,44.44,0.7,100.0,55.56
2013-09-30,158.76,0.0,158.76,15.1,58.91,2.87,7.66,18.05,3.09,36.93,16.16,1.68,17.84,1.61,16.23,0.0,16.23,5.6,10.62,10.62,6.33,8.4,8.4,0.56,44.25,0.71,100.0,55.75
2013-12-31,160.15,0.0,160.15,17.54,66.07,-13.09,8.88,19.48,3.45,40.67,17.15,1.15,18.3,1.71,16.59,0.0,16.59,5.83,10.76,10.76,6.33,8.5,8.5,0.56,44.18,0.71,100.0,55.82
2014-03-31,218.19,0.0,218.19,18.4,84.6,0.09,9.06,20.18,2.89,50.7,32.28,1.92,34.2,1.69,32.51,0.0,32.51,13.18,19.34,19.34,6.33,15.28,15.28,0.56,43.91,0.71,100.0,56.09
2014-06-30,162.33,0.0,162.33,16.85,61.11,-10.04,7.1,22.79,3.35,40.38,20.8,1.38,22.17,1.39,20.78,0.0,20.78,7.15,13.63,13.63,6.33,10.77,10.77,0.55,43.83,0.71,100.0,56.17
2014-09-30,199.6,0.0,199.6,17.36,83.46,-6.69,7.37,23.92,3.44,46.55,24.19,1.5,25.69,1.7,23.99,0.0,23.99,8.24,15.75,15.75,6.33,12.45,12.45,0.55,43.83,0.71,100.0,56.17
2014-12-31,209.29,0.0,209.29,19.11,97.36,-19.99,9.53,24.35,4.19,49.27,25.47,1.49,26.96,2.18,24.78,0.0,24.78,8.62,16.16,16.16,6.33,12.77,12.77,0.55,43.81,0.71,100.0,56.19
2015-03-31,250.44,0.0,250.44,17.55,90.23,17.98,10.16,20.68,4.48,57.76,31.61,2.22,33.83,2.45,31.37,0.0,31.37,9.26,22.12,22.12,6.5,17.33,17.33,0.59,45.32,0.71,100.0,54.68
2015-06-30,194.26,0.0,194.26,15.83,67.52,4.36,6.24,25.86,3.68,46.22,24.56,1.19,25.75,1.76,24.0,0.0,24.0,8.33,15.67,15.67,6.5,12.05,12.05,0.59,45.32,0.71,100.0,54.68
2015-09-30,225.3,0.0,225.3,20.25,89.23,-1.82,7.57,27.57,3.95,53.35,25.21,3.55,28.76,1.19,27.57,0.0,27.57,9.69,17.88,17.88,6.5,13.75,13.75,0.59,45.26,0.71,100.0,54.74
2015-12-31,233.53,0.0,233.53,19.64,101.67,-13.97,8.32,27.95,4.45,54.18,31.31,1.62,32.93,1.1,31.83,0.0,31.83,11.72,20.11,20.11,6.5,15.46,15.46,0.0,0.0,0.0,0.0,0.0
2016-03-31,280.59,0.0,280.59,20.49,112.83,4.72,9.14,29.63,4.24,55.66,43.88,3.61,47.49,1.42,46.07,0.0,46.07,16.26,29.81,29.81,6.5,22.92,22.92,0.0,0.0,0.0,0.0,0.0
2016-06-30,213.56,0.0,213.56,19.79,77.01,-3.29,3.59,29.33,3.98,50.92,32.24,1.27,33.51,0.75,32.76,0.0,32.76,11.36,21.4,21.4,6.5,16.45,16.45,0.0,0.0,0.0,0.0,0.0
