Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,Admin. And Selling Expenses,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-12-31,6433.69,221.14,6654.83,2551.9,783.79,83.4,342.71,59.28,822.16,982.08,1029.51,133.71,1163.22,7.53,1155.69,-7.28,1148.41,277.05,871.36,871.36,216.2,0.0,4.03,4.03,102.71,47.51,113.48,100.0,52.49
2013-03-31,6367.14,98.67,6465.81,2529.06,828.36,75.14,312.28,61.42,821.13,928.07,910.35,105.83,1016.18,6.01,1010.17,9.41,1019.58,232.38,787.2,787.2,216.25,0.0,3.64,3.64,102.76,47.52,113.48,100.0,52.48
2013-06-30,6687.49,121.55,6809.04,2625.23,749.82,107.75,341.68,66.44,889.78,1009.18,1019.16,176.75,1195.91,6.22,1189.69,106.25,1295.94,276.69,1019.25,1019.25,216.25,0.0,4.71,4.71,102.76,47.52,113.48,100.0,52.48
2013-09-30,6747.2,145.44,6892.64,2923.03,812.27,-265.38,368.3,63.92,954.02,1015.09,1021.39,150.99,1172.38,6.28,1166.1,33.43,1199.53,285.73,913.8,913.8,216.26,0.0,4.23,4.22,70.82,32.75,145.44,100.0,67.25
2013-12-31,7037.78,185.57,7223.35,2701.51,837.44,121.12,347.72,64.42,929.46,1059.3,1162.38,142.66,1305.04,18.2,1286.84,22.97,1309.81,247.5,1062.31,1062.31,216.26,0.0,4.91,4.91,70.82,32.75,145.44,100.0,67.25
2014-03-31,6682.23,411.87,7094.1,2910.04,950.66,-129.87,378.25,65.77,840.34,1067.13,1011.78,150.63,1162.41,5.33,1157.08,66.03,1223.11,350.98,872.13,872.13,216.27,0.0,4.03,4.03,70.83,32.75,145.44,100.0,67.25
2014-06-30,7278.23,438.11,7716.34,3102.82,901.46,-14.65,335.67,66.72,944.88,1129.62,1249.82,202.11,1451.93,6.25,1445.68,39.64,1485.32,428.47,1056.85,1056.85,216.31,0.0,4.89,4.88,70.87,32.76,145.44,100.0,67.24
2014-09-30,7465.54,173.79,7639.33,2974.68,933.39,50.91,413.01,76.37,925.05,1100.27,1165.65,197.8,1363.45,6.33,1357.12,48.68,1405.8,417.64,988.16,988.16,216.32,0.0,4.57,4.57,70.87,32.76,145.44,100.0,67.24
2014-12-31,7579.18,195.14,7774.32,2860.63,949.12,38.24,441.79,73.08,977.12,1175.92,1258.42,120.07,1378.49,4.24,1374.25,396.58,1770.83,518.66,1252.17,1252.17,216.32,0.0,5.79,5.79,70.88,32.77,145.44,100.0,67.23
2015-03-31,7555.0,120.63,7675.63,2929.18,913.99,-16.22,388.42,70.52,1027.89,1114.19,1247.66,98.41,1346.07,0.0,1346.07,179.4,1525.47,507.39,1018.08,1018.08,216.35,0.0,4.71,4.7,70.91,32.77,145.44,100.0,67.23
