Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,"Stores, Spares And Loose Tools",Capital Goods,Expenditure In Foreign Currency,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Deferred Tax Liabilities [Net],Short Term Borrowings,Raw Materials,Long Term Borrowings,Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Trade/Other Goods
2004-03-31,64.99,64.99,1312.25,1312.25,1377.24,0.0,0.0,133.31,120.85,65.47,94.48,280.8,1791.35,937.43,6.46,134.67,0.0,1078.56,3.45,3.84,0.0,0.0,1085.85,0.0,2.95,5.78,598.98,97.79,0.0,705.5,1791.35,679.5,0.0,17.09,0.68,0.26,0.0,0.0,3.45,121.32,0.0,0.17,11.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,64.99,64.99,1633.77,1633.77,1698.76,0.0,0.0,145.65,113.56,82.15,67.07,262.78,2107.19,1209.62,6.61,176.39,0.0,1392.62,84.0,4.16,0.0,0.0,1480.78,0.0,3.38,5.73,549.85,67.45,0.0,626.41,2107.19,695.81,0.0,15.31,0.75,0.66,0.0,0.0,84.0,135.05,0.0,0.19,10.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,64.99,64.99,2026.18,2026.18,2091.17,0.0,0.0,147.85,131.77,164.37,64.09,360.23,2599.25,1326.69,61.96,188.79,0.0,1577.44,129.38,4.01,0.0,0.0,1710.83,0.0,4.73,8.52,676.34,198.83,0.0,888.42,2599.25,717.39,0.0,31.57,1.18,0.0,0.0,0.0,129.38,147.85,0.0,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,64.99,64.99,2564.84,2564.84,2629.83,0.0,0.0,167.17,142.73,223.7,90.48,456.91,3253.91,1463.97,64.76,225.62,0.0,1754.35,131.7,5.86,0.0,0.0,1891.91,0.0,4.61,9.9,1062.59,284.9,0.0,1362.0,3253.91,989.87,0.0,32.89,0.31,0.0,0.0,0.0,131.7,167.17,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,64.99,64.99,3118.93,3118.93,3183.92,0.0,0.0,184.68,163.32,251.05,122.73,537.1,3905.7,1599.94,65.21,172.08,0.0,1837.23,155.36,11.0,0.0,0.0,2003.59,0.0,4.81,13.73,1521.5,362.07,0.0,1902.11,3905.7,1016.27,0.0,45.46,0.38,0.0,0.0,0.0,155.36,184.68,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,129.98,129.98,3632.23,3632.23,3762.21,0.0,0.0,204.06,246.57,233.61,139.54,619.72,4585.99,1858.25,67.34,269.07,0.0,2194.66,203.08,10.3,0.0,0.0,2408.04,0.0,5.08,15.72,1763.51,393.64,0.0,2177.95,4585.99,1016.29,0.0,97.39,0.6,0.0,64.99,0.0,203.08,204.06,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,129.98,129.98,4206.42,4206.42,4336.4,0.0,0.0,224.22,293.16,190.41,144.97,628.54,5189.16,2071.68,68.8,222.44,0.0,2362.92,240.54,13.32,0.0,0.0,2616.78,0.0,6.99,17.64,1989.51,558.24,0.0,2572.38,5189.16,1308.84,0.0,56.61,0.24,0.0,64.99,0.0,240.54,224.22,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,129.98,129.98,4847.83,4847.83,4977.81,51.32,17.94,297.82,116.36,229.29,136.13,481.78,5757.41,2282.1,44.92,106.9,0.41,2434.33,243.96,0.0,242.73,4.25,2925.27,0.0,6.26,17.27,2295.68,443.7,69.23,2832.14,5757.41,1975.79,26.12,4935.34,14.38,0.0,64.99,0.0,243.96,228.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,129.98,129.98,5476.45,5476.45,5606.43,21.64,22.81,288.23,131.89,317.06,153.97,602.92,6497.58,2351.69,42.01,115.12,0.05,2508.87,293.1,0.0,381.87,7.92,3191.76,0.0,8.17,19.59,2761.5,408.55,108.01,3305.82,6497.58,2322.84,76.61,7535.98,33.85,0.0,64.99,0.0,243.1,243.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,129.98,129.98,6151.15,6151.15,6281.13,12.55,27.55,314.35,166.04,318.24,170.91,655.19,7250.67,2672.87,47.24,188.22,0.05,2908.38,482.16,0.0,363.89,12.0,3766.43,0.0,12.13,25.74,2916.16,416.45,113.76,3484.24,7250.67,2451.38,81.7,8093.97,16.14,0.0,64.99,50.35,382.16,274.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-03-31,194.97,194.97,6790.34,6790.34,6985.31,16.62,27.76,349.4,169.04,432.31,132.72,734.07,8068.78,2962.55,46.83,231.39,0.0,3240.77,864.03,0.0,612.8,19.29,4736.89,0.0,14.91,32.98,2564.09,581.4,138.51,3331.89,8068.78,4969.12,38.89,10001.04,51.13,0.0,129.98,0.0,382.72,305.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,194.97,194.97,7440.72,7440.72,7635.69,23.81,33.15,263.7,201.51,442.46,146.55,790.52,8689.91,3200.11,41.74,300.61,0.0,3542.46,1154.75,0.0,549.85,15.18,5262.24,0.0,16.82,36.57,2587.93,641.92,144.43,3427.67,8689.91,3018.08,103.73,1889.91,18.35,0.0,129.98,481.25,673.44,206.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,194.97,194.97,8150.69,8150.69,8345.66,46.73,37.17,410.27,186.76,473.47,13.52,673.75,9429.68,2785.55,14.44,513.25,0.0,3313.24,1357.58,0.0,155.61,3301.41,8127.84,0.0,17.7,49.26,799.85,52.7,382.33,1301.84,9429.68,3418.99,0.62,97.11,0.47,0.0,129.98,706.55,682.73,326.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,194.97,194.97,8651.23,8651.23,8846.2,37.27,50.2,327.64,241.52,506.87,18.38,766.77,9940.61,3359.39,10.43,507.1,0.0,3876.92,1373.72,0.0,37.73,2032.25,7320.62,0.0,22.54,42.48,1683.45,164.8,706.72,2619.99,9940.61,1513.49,7.08,79.24,0.27,0.0,129.98,741.7,698.86,240.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,243.72,243.72,9129.99,9129.99,9373.71,33.4,45.78,252.39,254.24,800.99,24.6,1079.83,10705.93,3638.41,9.98,671.04,0.0,4319.43,1389.02,0.0,46.99,1739.15,7494.59,0.0,27.41,60.4,1981.7,159.84,981.99,3211.34,10705.93,2474.38,6.11,44.72,1.27,0.0,178.73,748.17,714.16,173.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,304.65,304.65,10063.22,10063.22,10367.87,30.32,53.88,245.75,350.42,924.06,18.05,1993.18,12606.8,4187.94,6.75,624.67,0.0,4819.36,1402.9,0.0,55.26,1598.17,7875.69,0.0,23.25,88.36,170.42,67.38,4381.7,4731.11,12606.8,2297.98,2.35,232.51,1.45,0.0,239.66,754.49,728.04,161.55,700.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,304.65,304.65,9760.09,9760.09,10064.74,323.63,37.84,361.47,155.29,953.93,31.35,1140.57,11566.78,4965.61,3.76,937.51,0.0,5906.88,1444.08,14.54,68.99,1238.26,8672.75,0.0,26.08,159.13,2168.59,12.49,527.74,2894.03,11566.78,2658.69,3.54,131.93,2.81,0.0,239.66,763.36,769.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,304.65,304.65,9899.09,9899.09,10203.74,557.16,137.49,694.65,270.88,992.86,32.42,1296.16,12194.55,5294.32,7.43,919.83,0.0,6221.58,1445.17,54.28,71.1,1216.93,9009.06,50.0,23.94,155.48,2473.21,14.86,468.0,3185.49,12194.55,1974.5,0.51,201.38,0.0,0.0,239.66,765.19,820.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,304.65,304.65,10472.65,10472.65,10777.3,551.23,86.58,637.81,423.63,891.59,71.35,1386.57,12801.68,5384.3,6.48,737.51,10.73,6139.02,1435.56,90.56,46.92,1458.61,9170.67,0.0,30.68,176.14,2887.85,11.6,524.74,3631.01,12801.68,2078.93,0.0,0.5,0.0,0.0,239.66,689.49,822.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,304.65,304.65,10940.33,10940.33,11244.98,641.25,74.66,715.91,377.02,873.72,68.97,1319.71,13280.6,5321.3,4.07,812.77,13.7,6151.84,1320.74,79.94,41.29,1633.85,9227.66,121.78,37.18,213.1,3047.88,14.19,618.81,4052.94,13280.6,2041.58,0.0,0.34,0.16,0.0,239.66,567.43,829.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,304.65,304.65,11507.69,11507.69,11812.34,737.15,78.98,816.13,287.53,877.77,71.14,1236.44,13864.91,5717.77,2.59,878.15,14.32,6612.83,1333.57,72.31,45.55,1603.91,9668.17,0.0,49.94,329.45,3238.88,15.46,563.01,4196.74,13864.91,2181.53,0.0,0.0,0.63,0.0,239.66,563.97,841.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
