Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Prior Year Adjustments,Extra Ordinary Items,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-09-30,1054.86,0.0,1054.86,27.87,42.31,769.42,215.25,80.98,296.24,0.0,296.24,0.0,296.24,63.76,232.48,0.0,0.0,232.48,129.98,17.89,17.89,4.8,36.91,8.2,100.0,63.09
2012-12-31,1082.78,0.0,1082.78,29.89,44.18,789.66,219.06,84.05,303.1,0.0,303.1,0.0,303.1,66.52,236.58,0.0,0.0,236.58,129.98,18.2,18.2,4.8,36.91,8.2,100.0,63.09
2013-03-31,1231.39,0.18,1231.57,21.96,45.57,949.99,214.05,89.93,303.98,0.0,303.98,0.0,303.98,79.45,224.54,1.31,0.0,225.84,129.98,17.37,17.37,4.8,36.91,8.2,100.0,63.09
2013-06-30,1194.54,0.0,1194.54,28.07,45.99,895.05,225.43,89.97,315.4,0.0,315.4,0.0,315.4,68.93,246.47,0.0,0.0,246.47,129.98,18.96,18.96,4.8,36.91,8.2,100.0,63.09
2013-09-30,1254.0,0.0,1254.0,28.32,46.57,947.28,231.82,78.47,310.29,0.0,310.29,0.0,310.29,67.61,242.68,0.0,0.0,242.68,194.97,12.45,12.45,7.2,36.91,12.3,100.0,63.09
2013-12-31,1239.25,0.0,1239.25,34.14,46.81,919.48,238.82,88.79,327.61,0.0,327.61,0.0,327.61,76.46,251.16,-1.58,0.0,249.57,194.97,12.8,12.8,7.2,36.91,12.3,100.0,63.09
2014-03-31,1296.63,0.13,1296.76,32.98,49.95,997.37,216.46,114.49,330.95,0.0,330.95,0.0,330.95,84.92,246.03,0.0,0.0,246.03,194.97,12.62,12.62,7.45,38.2,12.05,100.0,61.8
2014-06-30,1269.67,0.0,1269.67,32.28,49.34,938.92,249.13,82.88,332.01,0.0,332.01,0.0,332.01,70.13,261.88,0.0,0.0,261.88,194.97,13.43,13.43,7.45,38.2,12.05,100.0,61.8
2014-09-30,1354.79,0.0,1354.79,47.37,148.6,994.71,164.11,92.04,256.15,0.0,256.15,0.0,256.15,64.27,191.88,0.0,0.0,191.88,194.97,9.84,9.84,7.45,38.2,12.05,100.0,61.8
2014-12-31,1451.79,0.0,1451.79,40.95,93.73,1043.97,273.14,85.22,358.36,0.0,358.36,0.0,358.36,57.28,301.08,0.0,0.0,301.08,194.97,15.44,15.44,7.45,38.2,12.05,100.0,61.8
2015-03-31,1497.45,0.0,1497.45,37.32,81.02,1141.66,237.45,110.6,348.05,0.0,348.05,0.0,348.05,55.22,292.83,0.0,-0.12,292.71,194.97,15.01,15.01,7.45,38.2,12.05,100.0,61.8
2015-06-30,1420.39,0.0,1420.39,36.91,88.31,1098.43,196.74,80.79,277.53,0.0,277.53,0.0,277.53,70.27,207.26,0.0,0.0,207.26,194.97,10.63,10.63,7.45,38.2,12.05,100.0,61.8
2015-09-30,1501.79,0.0,1501.79,38.76,85.18,1152.19,225.66,86.29,311.95,0.06,311.89,0.0,311.89,80.2,231.69,0.0,0.0,231.69,194.97,11.88,11.88,7.45,38.21,12.05,100.0,61.79
2015-12-31,1404.37,0.0,1404.37,40.39,85.21,1087.61,191.16,82.03,273.19,0.15,273.04,0.0,273.04,67.38,205.66,0.0,0.0,205.66,194.97,10.55,10.55,7.45,38.21,12.05,100.0,61.79
2016-03-31,1595.18,0.0,1595.18,40.77,89.06,1088.29,377.06,68.37,445.43,-0.06,445.49,0.0,445.49,139.28,306.21,0.0,0.0,306.21,194.97,12.56,12.56,0.0,0.0,0.0,0.0,0.0
2016-06-30,1339.22,0.0,1339.22,38.02,84.08,1039.31,177.81,69.19,247.0,0.0,247.0,0.0,247.0,68.52,178.48,0.0,0.0,178.48,194.97,9.15,9.15,8.42,43.21,11.07,100.0,56.79
2016-09-30,1378.61,0.0,1378.61,40.47,87.32,1109.34,141.48,76.27,217.75,0.3,217.45,0.0,217.45,59.61,157.84,0.0,0.0,157.84,194.97,8.1,8.1,8.42,43.21,11.07,100.0,56.79
2016-12-31,1330.41,0.0,1330.41,41.39,92.71,1027.84,168.47,84.52,252.99,0.14,252.85,0.0,252.85,66.86,185.99,0.0,0.0,185.99,194.97,9.54,9.54,8.43,43.25,11.07,100.0,56.75
2017-03-31,1557.89,0.0,1557.89,67.01,87.71,995.9,407.27,59.26,466.53,3.22,463.31,0.0,463.31,127.6,335.71,0.0,0.0,335.71,194.97,13.77,13.77,0.0,0.0,0.0,0.0,0.0
2017-06-30,1456.8,0.0,1456.8,44.82,95.27,1085.27,231.44,93.64,325.08,0.02,325.06,0.0,325.06,81.68,243.38,0.0,0.0,243.38,243.72,9.99,9.99,11.02,45.2,13.36,100.0,54.8
