Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Prior Year Adjustments,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-12-31,1028.26,6.46,1034.71,851.93,87.64,-77.04,17.87,8.94,94.09,51.28,1.8,53.08,6.17,46.91,46.91,12.21,34.69,0.0,34.69,27.67,2.51,2.51,4.37,31.55,9.47,100.0,68.45
2013-03-31,793.87,1.95,795.82,588.23,57.9,22.91,18.81,11.43,71.18,25.37,3.89,29.26,5.23,24.03,24.03,4.32,19.7,2.34,22.04,27.67,1.59,1.59,4.37,31.55,9.47,100.0,68.45
2013-06-30,528.32,0.39,528.71,364.39,16.76,31.33,14.87,11.61,76.17,13.59,3.75,17.34,3.69,13.65,13.65,2.75,10.9,0.0,10.9,27.67,0.79,0.79,4.37,31.55,9.47,100.0,68.45
2013-09-30,569.44,0.65,570.09,400.86,36.73,18.38,15.99,11.78,71.89,14.47,2.92,17.39,3.68,13.71,13.71,3.15,10.56,0.0,10.56,27.67,0.76,0.76,4.15,30.03,9.68,100.0,69.97
2013-12-31,1124.44,6.46,1130.9,1024.56,100.15,-200.23,21.8,12.02,112.87,59.72,1.99,61.72,5.75,55.97,55.97,13.84,42.13,0.0,42.13,27.67,3.05,3.05,3.9,28.17,9.94,100.0,71.83
2014-03-31,858.22,3.89,862.11,576.72,36.6,67.51,19.54,12.0,89.99,59.75,1.42,61.17,7.53,53.65,53.65,5.57,48.08,0.0,48.08,27.67,3.48,3.48,3.88,28.04,9.96,100.0,71.96
2014-06-30,582.62,1.9,584.52,336.48,22.49,78.86,19.74,11.52,71.86,43.57,1.78,45.34,4.59,40.76,40.76,11.01,29.75,0.0,29.75,27.67,2.15,2.15,3.88,28.04,9.96,100.0,71.96
2014-09-30,532.43,1.3,533.74,328.16,89.41,-0.28,16.8,13.41,70.62,15.61,1.66,17.27,2.03,15.24,15.24,3.18,12.06,0.0,12.06,27.67,0.87,0.87,3.88,28.04,9.96,100.0,71.96
2014-12-31,796.52,2.08,798.61,610.46,49.57,-16.01,19.35,14.06,90.34,30.82,3.06,33.88,2.78,31.1,31.1,8.8,22.3,0.0,22.3,27.67,1.61,1.61,3.88,28.04,9.96,100.0,71.96
2015-03-31,612.91,1.52,614.44,406.23,54.97,22.56,20.31,21.98,74.67,13.72,2.54,16.26,5.6,10.66,10.66,-7.46,18.12,1.94,20.06,27.67,1.45,1.45,3.88,28.04,9.96,100.0,71.96
2015-06-30,608.47,2.12,610.59,418.75,55.18,-13.58,20.17,15.59,75.2,39.28,1.75,41.02,3.56,37.47,37.47,12.62,24.85,0.0,24.85,27.67,1.8,1.8,3.88,28.04,9.96,100.0,71.96
2015-09-30,690.49,2.57,693.06,417.35,135.24,1.41,18.68,16.36,84.44,19.58,0.58,20.16,2.28,17.88,17.88,1.85,16.03,0.0,16.03,27.67,1.16,1.16,3.88,28.04,9.96,100.0,71.96
2015-12-31,778.53,2.16,780.69,491.18,130.01,11.16,20.38,16.21,80.01,31.74,4.33,36.07,1.54,34.53,34.53,3.49,31.04,0.22,31.26,27.67,2.26,2.26,0.0,0.0,0.0,0.0,0.0
2016-03-31,650.95,1.2,652.15,432.15,76.02,1.58,19.43,16.9,73.88,32.19,3.18,35.37,2.53,32.84,32.84,1.43,31.41,0.05,31.46,27.67,2.27,2.27,0.0,0.0,0.0,0.0,0.0
