Date,(a) Int. /Disc. on Adv/Bills,(b) Income on Investment,(c) Int. on balances With RBI,(d) Others,Other Income,Interest Expended,Employees Cost,Other Expenses,Depreciation,Operating Profit before Provisions and contingencies,Provisions And Contingencies,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,a) % of Share by Govt.,Basic EPS,Diluted EPS,i) Gross NPA,ii) Net NPA,i) % of Gross NPA,ii) % of Net NPA,Return on Assets %
2014-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.58,0.0,-2.58,0.0,0.0,-2.58,0.0,-2.58,-2.58,0.05,0.0,0.0,-516.34,-516.34,0.0,0.0,0.0,0.0,0.0
2015-03-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,-2.58,0.0,-0.63,-0.63,0.0,0.0,0.0,0.0,0.0
2015-06-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,-0.01,0.0,0.0,-0.01,0.0,-0.01,-0.01,1797.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-09-30,0.0,44.2,0.0,0.0,47.61,0.0,0.0,0.59,0.0,91.22,0.0,0.0,91.22,31.58,59.64,59.64,1797.51,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
2015-12-31,1158.38,604.45,2.82,23.44,217.93,1402.79,120.47,94.85,0.0,388.91,12.29,0.0,376.62,134.45,242.17,242.17,3392.62,0.0,7.7,0.71,0.71,1462.26,453.41,3.09,0.98,1.2
2016-03-31,1193.03,585.63,4.48,32.4,137.66,1398.72,136.15,158.5,0.0,259.83,11.89,0.0,247.94,82.88,165.06,165.06,3392.62,0.0,7.7,0.49,0.49,3058.3,1139.04,6.16,2.39,0.83
2016-06-30,1262.23,687.78,8.05,17.39,212.83,1476.57,131.58,117.49,27.77,434.87,23.61,0.0,411.26,146.5,264.76,264.76,3394.85,0.0,7.7,0.78,0.78,3029.87,1110.61,6.09,2.32,1.15
2016-09-30,1267.61,784.62,4.35,26.43,410.13,1587.41,149.74,141.28,32.38,582.32,22.34,0.0,559.98,172.22,387.76,387.76,3395.02,0.0,7.7,1.14,1.14,3219.68,1271.43,5.96,2.44,1.46
2016-12-31,1288.46,910.3,19.5,32.62,335.03,1730.11,197.5,144.73,37.55,476.02,231.76,0.0,244.26,53.0,191.26,191.26,3395.88,0.0,7.7,0.56,0.56,3586.7,1249.67,7.03,2.57,0.68
2017-03-31,1273.52,906.08,21.92,21.86,56.27,1721.3,94.8,166.66,36.65,260.25,4.8,0.0,255.45,79.5,175.95,175.95,3399.01,0.0,7.69,0.52,0.51,1542.1,576.47,2.99,1.14,0.63
