Date,Equity Share Capital,Preference Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Fixed Assets,Non-Current Investments,Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,Other Earnings,Non-Current Investments Unquoted Book Value,Deferred Tax Assets [Net],Raw Materials,"Stores, Spares And Loose Tools",Capital Goods,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Current Investments,Trade/Other Goods
2004-03-31,149.0,0.0,149.0,1462.33,1462.33,1611.33,1957.29,360.75,0.0,0.0,2318.04,408.01,986.76,67.13,373.16,1835.06,5764.43,2579.38,0.31,854.0,0.0,3433.69,11.97,0.0,1.41,3461.46,1203.13,525.28,12.43,562.14,0.0,2302.98,5764.43,382.79,11.37,8.08,0.0,11.97,14.39,5207.74,0.0,99.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,149.0,0.0,149.0,1855.33,1855.33,2004.34,1684.34,566.8,0.0,0.0,2251.14,713.87,1665.13,192.37,631.83,3203.21,7458.68,3373.23,0.31,45.18,0.0,3418.71,11.97,0.0,0.88,3447.54,2416.16,891.17,9.7,694.12,0.0,4011.14,7458.68,223.43,32.74,11.53,0.0,11.97,15.98,9841.94,0.0,15.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,149.0,0.0,149.0,2132.53,2132.53,2281.53,1644.24,590.38,0.0,0.0,2234.62,1103.66,2001.86,216.92,807.18,4129.61,8645.76,3204.96,0.31,70.67,0.0,3275.93,115.53,0.0,2.02,3417.08,3149.1,1183.45,60.63,835.51,0.0,5228.68,8645.76,836.11,25.72,34.58,0.0,115.53,23.59,16112.79,0.0,2.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,149.0,0.0,149.0,2488.74,2488.74,2637.74,1370.27,595.63,0.0,0.0,1965.9,463.86,2157.55,316.87,937.23,3875.51,8479.15,3080.33,0.31,181.43,0.0,3262.07,111.91,0.0,0.0,3396.08,3214.77,1002.26,11.42,854.61,0.0,5083.07,8479.15,647.95,35.14,20.74,0.0,111.91,22.11,17547.46,0.0,3.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,149.0,0.0,149.0,3315.52,3315.52,3464.52,1143.18,618.21,0.0,0.0,1761.39,1307.28,2287.91,317.15,1411.23,5323.57,10549.48,3048.57,0.31,295.98,0.0,3344.86,110.47,0.0,0.0,3466.17,4432.03,1510.69,14.67,1125.92,0.0,7083.31,10549.48,1207.14,48.87,27.65,0.0,110.47,10.85,19885.52,0.0,4.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,149.0,0.0,149.0,2918.23,2918.23,3067.24,904.55,605.5,0.0,0.0,1510.05,643.36,1963.59,272.81,882.63,3762.39,8339.68,2871.53,0.31,718.21,0.0,3590.05,22.81,0.0,0.0,3804.36,2470.28,1013.42,9.63,1041.99,0.0,4535.32,8339.68,1446.69,55.07,39.17,0.0,22.81,191.5,24997.42,0.0,20.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,149.0,0.0,149.0,3313.08,3313.08,3462.09,1116.64,588.14,0.0,0.0,1704.78,2961.25,1183.49,363.5,903.78,5412.02,10578.89,2916.53,12.6,1280.74,0.0,4209.87,23.43,0.0,0.0,4245.48,4378.24,854.31,14.34,1086.51,0.0,6333.4,10578.89,1202.95,26.48,0.0,0.0,23.43,12.18,21076.76,0.0,87.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,149.0,0.0,149.0,3616.92,3616.92,3765.93,559.69,604.47,3.67,14.93,1182.78,3424.21,2475.33,1147.97,260.78,7308.29,12256.99,3418.35,17.45,1127.18,5.6,4568.59,22.5,115.56,0.0,4706.65,5112.98,1983.98,12.12,429.65,11.6,7550.34,12256.99,796.68,52.03,27.63,113.28,22.5,0.0,26207.64,19.19,10.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,149.0,0.0,149.0,3644.13,3644.13,3793.14,834.55,637.94,5.91,25.73,1504.12,2593.21,6026.6,898.22,152.07,9670.11,14967.37,3701.32,15.13,1007.59,4.72,4728.76,23.63,107.8,0.0,4860.19,6359.72,3430.75,38.6,273.84,4.27,10107.17,14967.37,960.39,114.52,0.11,156.67,23.63,0.0,35769.1,10.6,25.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,149.0,0.0,149.0,1877.29,1877.29,2026.3,1142.78,707.09,5.93,27.96,1883.76,4564.34,4708.91,782.59,135.22,10191.05,14101.11,4557.31,10.53,168.7,4.72,4741.26,24.25,85.64,0.0,4851.15,6386.52,2549.73,40.91,271.97,0.84,9249.97,14101.11,960.2,71.19,0.02,0.0,24.27,0.0,37342.69,29.36,6.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-03-31,149.0,0.0,149.0,1573.44,1573.44,1722.45,2000.0,703.4,4.1,36.99,2744.49,3452.2,5215.46,730.83,76.83,9475.32,13942.26,4284.08,7.8,339.4,4.72,4635.99,24.82,93.33,0.0,4754.14,6697.74,2222.82,46.02,220.94,0.59,9188.11,13942.26,2154.85,179.48,0.0,0.0,24.85,0.0,42029.36,19.54,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,149.0,0.0,149.0,1506.07,1506.07,1655.08,1000.0,0.0,4.82,45.61,1050.44,3399.06,3194.04,1562.79,93.22,8249.11,10954.62,4070.36,6.44,776.46,5.97,4859.23,25.42,127.26,0.0,5011.91,3805.09,1828.11,39.91,268.46,1.14,5942.71,10954.62,2881.25,80.42,0.0,0.0,25.45,0.0,40079.11,20.08,2.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,149.0,1000.0,1149.0,2212.43,2212.43,4361.43,1003.34,0.0,30.87,50.98,1085.19,2560.48,2468.64,781.91,74.02,5885.05,10331.67,4114.04,5.44,1673.09,5.97,5798.53,11.94,35.56,139.12,5985.15,3174.83,761.58,38.86,28.03,343.23,4346.53,10331.67,2176.25,76.56,0.0,0.0,0.11,0.0,17273.72,55.09,41.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,149.0,2000.0,2149.0,3164.8,3164.8,5313.81,324.28,24.25,40.38,133.15,522.05,3173.44,1652.16,697.52,136.59,5659.71,11495.57,3877.83,5.0,2756.61,5.97,6645.41,11.94,33.79,144.91,6836.05,3207.13,1040.39,16.93,27.0,368.06,4659.52,11495.57,1473.92,40.23,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,149.0,500.0,649.0,3707.49,3707.49,4356.5,325.9,206.2,6.05,232.62,770.77,2063.0,4443.64,2443.81,87.78,9038.23,14165.49,5888.74,24.79,1409.8,0.0,7323.33,11.94,34.86,107.4,7477.53,4759.22,1569.48,8.7,23.47,327.09,6687.96,14165.49,1843.97,45.95,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,148.91,547.33,696.24,3160.6,3160.6,3856.84,896.18,120.74,1.36,254.68,1272.96,4873.97,3737.51,1474.26,36.16,10121.9,15251.7,6954.28,23.03,1121.49,77.99,8176.79,11.94,45.21,168.12,8402.06,4847.08,1623.74,9.77,22.78,346.27,6849.64,15251.7,1536.71,124.71,0.0,0.0,11.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,148.91,572.51,721.42,1043.37,1043.37,1764.79,2380.26,0.0,20.48,100.63,2501.37,5732.68,1554.67,1073.9,41.52,8402.77,12668.93,7012.51,21.6,1375.51,222.29,8631.91,11.94,51.26,178.04,9806.67,2360.87,123.9,3.73,34.7,339.06,2862.26,12668.93,1367.6,315.52,0.0,0.0,11.97,933.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,148.91,605.76,754.67,1275.66,1275.66,2030.33,2412.19,103.52,21.71,109.47,2646.89,5650.69,1881.98,1781.45,47.06,9361.18,14038.4,7096.56,45.61,1308.63,241.8,8692.6,11.94,54.68,222.4,8981.62,4508.91,199.98,4.83,33.22,309.84,5056.78,14038.4,1015.75,145.03,0.0,0.0,11.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,148.91,500.0,648.91,2641.32,2641.32,3290.23,1891.55,563.09,36.8,111.47,2602.91,6831.15,3240.06,1081.68,353.05,11505.94,17399.08,6924.17,42.46,1209.55,0.0,8176.18,11.94,60.58,283.69,8532.39,7532.62,252.32,12.0,10.97,1058.78,8866.69,17399.08,615.31,71.42,0.0,0.0,11.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,148.91,500.0,648.91,6132.05,6132.05,6780.96,1659.19,764.58,45.16,9.04,2477.97,2076.27,3007.11,975.08,524.6,6583.06,15841.99,7596.08,40.47,331.43,0.0,7967.98,11.95,91.55,102.39,8173.87,5973.59,298.67,8.64,12.86,1374.36,7668.12,15841.99,1025.63,95.59,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
