Date,(a) Int. /Disc. on Adv/Bills,(b) Income on Investment,(c) Int. on balances With RBI,(d) Others,Other Income,Interest Expended,Employees Cost,Other Expenses,Operating Profit before Provisions and contingencies,Provisions And Contingencies,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,c) Capital Adequacy Ratio - Basel -II,Basic EPS,Diluted EPS,i) Gross NPA,ii) Net NPA,i) % of Gross NPA,ii) % of Net NPA,Return on Assets %,No Of Shares (Crores),Share Holding (%)
2012-12-31,461.41,93.27,0.89,0.0,65.89,392.14,45.12,52.88,131.32,31.1,0.0,100.22,15.0,85.22,85.22,41.0,0.0,12.39,2.08,2.06,178.74,91.43,1.23,0.63,1.65,41.0,100.0
2013-03-31,496.91,99.07,1.44,0.0,80.56,424.12,38.81,65.38,149.67,43.7,0.0,105.98,23.5,82.48,82.48,47.44,0.0,13.98,1.73,1.72,173.1,96.4,1.13,0.63,1.47,53.89,100.0
2013-06-30,517.75,102.5,3.72,0.0,83.85,436.63,45.54,64.09,161.57,20.53,0.0,141.04,50.75,90.29,90.29,47.44,0.0,13.21,1.9,1.89,192.12,96.98,1.25,0.63,1.55,53.89,100.0
2013-09-30,522.04,111.02,7.34,0.0,61.74,450.56,40.01,70.79,140.79,88.18,0.0,52.61,-31.75,84.36,84.36,53.79,0.0,14.34,1.62,1.61,263.19,131.1,1.66,0.83,1.4,53.89,100.0
2013-12-31,532.69,111.29,2.15,0.0,64.77,448.59,52.75,74.91,134.65,29.07,0.0,105.58,16.5,89.08,89.08,53.88,0.0,13.61,1.65,1.64,268.91,139.26,1.7,0.89,1.47,53.89,100.0
2014-03-31,519.63,113.23,2.57,0.0,90.84,450.77,47.32,84.21,143.97,29.62,0.0,114.35,31.0,83.35,83.35,54.27,0.0,15.11,2.04,2.02,293.06,197.29,1.81,1.23,1.34,54.27,100.0
2014-06-30,521.08,118.92,3.32,0.0,110.7,456.61,52.24,72.5,172.69,42.69,0.0,129.99,30.5,99.49,99.49,54.27,0.0,14.58,1.83,1.82,308.3,204.38,1.91,1.28,1.58,54.27,100.0
2014-09-30,546.88,131.68,4.29,0.0,90.15,476.63,46.74,76.78,172.85,54.6,0.0,118.25,24.5,93.75,93.75,59.49,0.0,16.08,1.61,1.6,337.89,218.66,2.0,1.3,1.42,59.49,100.0
2014-12-31,547.05,134.98,2.47,0.0,97.79,474.74,60.34,78.92,168.3,27.09,0.0,141.2,38.5,102.7,102.7,59.66,0.0,15.82,1.73,1.71,360.7,220.4,2.12,1.31,1.54,59.66,100.0
2015-03-31,551.19,134.24,2.75,0.0,105.47,483.51,50.97,80.35,178.82,58.13,10.89,131.58,32.5,99.08,99.08,59.66,0.0,16.59,1.66,1.48,335.82,232.79,1.86,1.3,1.45,59.66,100.0
