Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Other Assets,Fixed Assets,Non-Current Investments,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Revaluation Reserves,Long Term Loans And Advances,Short Term Loans And Advances,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods,Deferred Tax Assets [Net],Raw Materials,Preference Share Capital,Money Received Against Share Warrants,Employees Stock Options,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale
2004-03-31,52.39,122.39,610.13,864.51,986.9,741.67,124.14,0.0,0.0,865.81,0.0,62.58,51.59,46.04,160.21,2012.93,1125.13,7.87,206.89,0.0,0.0,1339.9,339.85,27.72,1713.12,0.0,31.55,47.74,44.36,0.0,299.81,2012.93,326.26,33.29,0.0,260.87,0.92,28.48,7.62,330.64,254.38,0.0,176.16,0.0,0.0,10.47,5.65,5.54,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,52.39,52.39,615.45,866.82,919.21,781.98,132.3,0.0,0.0,914.28,25.0,66.8,55.62,55.17,202.59,2036.08,1125.78,7.87,210.34,0.0,0.0,1343.99,320.47,21.33,1691.48,0.0,37.23,59.46,47.06,0.0,344.6,2036.08,306.72,49.15,0.0,339.46,3.63,28.48,41.11,285.39,251.37,0.0,200.86,0.0,0.0,10.53,5.68,7.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,52.39,52.39,744.51,992.87,1045.26,709.27,120.14,0.0,0.0,829.42,0.0,95.6,47.21,143.79,286.6,2161.28,1116.9,7.87,240.45,0.0,0.0,1365.22,304.37,14.95,1690.26,0.0,43.3,85.45,66.38,0.0,471.02,2161.28,282.71,46.81,0.0,445.36,4.04,28.48,56.09,286.19,248.36,0.0,275.89,0.0,0.0,19.68,5.73,9.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,78.59,78.59,851.33,1095.57,1174.16,781.66,111.01,0.0,0.0,892.68,9.96,87.6,73.43,285.25,456.24,2523.08,1120.66,7.87,375.83,0.0,0.0,1504.36,411.81,8.55,1931.59,0.0,30.34,101.27,50.57,0.0,591.49,2523.08,448.99,56.02,0.0,519.92,6.43,54.67,96.8,343.0,244.25,0.0,409.31,0.0,0.0,77.93,6.87,14.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,78.59,78.59,985.39,1226.64,1305.23,723.83,124.56,0.0,0.0,848.39,89.04,109.5,81.17,93.68,373.39,2527.01,1328.37,7.87,425.16,0.0,0.0,1761.4,358.81,1.73,2134.83,0.0,33.26,114.37,26.42,0.0,392.18,2527.01,381.05,56.85,0.0,591.75,5.57,54.67,116.96,290.0,241.25,0.0,218.13,0.0,0.0,165.4,12.9,11.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,78.59,78.59,1100.79,1339.04,1417.63,1019.33,132.95,0.0,0.0,1152.28,0.0,144.34,85.33,67.23,296.91,2866.81,1388.19,7.87,586.85,0.0,0.0,1982.92,349.81,0.0,2346.79,0.0,30.36,92.2,42.12,0.0,520.03,2866.81,154.95,42.09,0.0,497.57,3.36,54.67,37.61,289.93,238.25,0.0,355.34,0.0,0.0,39.54,14.06,11.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,78.59,78.59,1103.25,1338.5,1417.09,1121.29,148.11,0.0,0.0,1269.4,138.24,95.54,91.48,66.94,392.21,3078.7,1990.16,7.87,174.46,0.0,0.0,2172.5,378.24,0.0,2566.0,0.0,30.06,99.22,13.77,0.0,512.69,3078.7,187.86,35.49,0.0,309.29,131.63,54.67,92.61,318.35,235.25,0.0,369.64,0.0,0.0,11.45,15.27,24.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,114.31,114.31,2241.24,2473.48,2587.8,534.86,149.9,13.38,11.53,709.68,0.0,55.34,420.18,63.77,539.29,3836.78,2060.75,0.21,101.15,0.0,0.0,2162.1,605.14,0.0,3047.15,0.0,33.67,125.65,594.28,1.5,789.63,3836.78,363.54,48.13,0.04,391.93,87.6,54.67,108.51,545.26,232.25,279.91,34.53,2.09,8.89,30.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,114.31,114.31,2291.59,2520.84,2635.15,150.32,163.17,13.3,12.44,339.23,10.09,50.83,218.29,75.69,354.91,3329.29,2015.05,0.18,159.47,0.0,0.0,2174.7,616.36,0.0,3104.48,11.69,33.12,141.17,11.96,1.14,224.81,3329.29,361.02,47.86,0.03,459.2,3.77,54.67,108.96,556.67,229.25,313.42,25.73,3.95,9.92,42.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,114.31,114.31,2284.36,2510.61,2624.92,144.28,173.89,3.25,12.86,334.29,195.4,67.58,156.96,61.73,481.66,3440.87,2116.26,0.42,39.98,0.0,0.0,2156.66,705.73,0.0,3183.87,0.0,34.12,173.56,20.36,3.76,257.0,3440.87,345.34,53.26,0.04,2.94,479.53,54.67,124.43,604.61,226.25,321.49,25.2,2.61,8.19,14.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
