Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,Basic EPS,Diluted EPS
2016-06-30,184.43,0.0,184.43,6.84,17.83,12.29,30.69,4.52,45.55,66.72,5.14,71.85,0.03,71.82,71.82,9.65,62.17,62.17,13.75,0.0,4.52,4.52
2016-09-30,193.47,0.0,193.47,14.31,18.06,-4.46,31.23,5.28,61.73,67.32,7.65,74.97,0.7,74.27,74.27,8.05,66.22,66.22,13.75,0.0,4.82,4.82
2016-12-31,167.88,0.0,167.88,17.19,8.03,-6.3,26.92,5.83,50.21,66.0,5.57,71.58,0.01,71.57,71.57,4.32,67.25,67.25,13.75,0.0,4.89,4.89
2017-03-31,118.1,24.48,142.59,7.05,9.32,6.55,28.22,7.5,36.73,47.22,0.72,47.94,-0.63,48.57,48.57,1.64,46.93,46.93,13.75,534.17,0.0,0.0
2017-06-30,162.26,0.0,162.26,11.39,8.28,0.8,29.87,3.91,42.83,65.18,7.1,72.28,0.0,72.28,72.28,2.33,69.95,69.95,13.75,0.0,5.09,5.09
2017-09-30,222.06,0.0,222.06,11.73,7.83,13.43,30.06,4.5,63.61,90.91,6.91,97.82,0.0,97.82,97.82,5.53,92.3,92.3,13.75,0.0,6.71,6.71
2017-12-31,182.21,0.0,182.21,11.44,32.06,-17.15,35.23,5.61,41.41,73.61,6.02,79.62,2.71,76.92,76.92,3.0,73.92,73.92,13.75,0.0,5.38,5.38
2018-03-31,194.07,0.0,194.07,12.52,16.73,-0.62,35.69,7.77,57.59,64.4,8.2,72.6,7.72,64.88,64.88,7.38,57.5,57.5,13.75,0.0,4.18,4.18
2018-06-30,226.5,0.0,226.5,13.41,12.16,7.43,43.48,6.09,65.94,77.99,4.51,82.49,7.08,75.42,75.42,5.31,70.1,70.1,13.75,0.0,5.1,5.09
2018-09-30,237.07,3.74,240.81,13.33,21.31,0.62,40.58,7.08,67.9,89.99,6.24,96.23,6.24,89.99,89.99,6.0,83.98,83.98,13.75,0.0,6.1,6.1
2018-12-31,226.76,4.04,230.8,19.9,24.62,-10.78,41.66,8.39,64.8,82.21,10.15,92.36,5.09,87.27,87.27,8.39,78.88,78.88,13.75,0.0,5.74,5.74
2019-03-31,194.61,3.82,198.43,11.54,29.48,-10.68,41.04,10.04,65.13,51.89,11.6,63.49,4.38,59.1,59.1,6.69,52.42,52.42,13.75,0.0,3.81,3.81
2019-06-30,259.78,2.55,262.33,15.54,21.65,8.08,44.78,10.19,71.93,90.18,2.72,92.9,0.85,92.04,92.04,10.09,81.96,81.96,13.75,0.0,5.96,5.95
2019-09-30,268.42,4.48,272.9,18.2,22.8,4.15,46.75,10.38,73.79,96.82,4.9,101.73,0.4,101.33,101.33,9.8,91.53,91.53,13.75,0.0,6.66,6.66
2019-12-31,249.48,4.79,254.27,19.13,14.88,7.03,49.2,11.35,89.25,63.44,7.91,71.35,0.34,71.01,71.01,8.33,62.68,62.68,13.75,0.0,4.55,4.55
2020-03-31,226.08,4.65,230.74,24.02,10.67,-1.79,50.66,12.98,74.05,60.14,-0.8,59.35,0.26,59.09,59.09,4.5,54.58,54.58,13.58,0.0,4.01,4.0
2020-06-30,256.11,5.37,261.48,25.81,29.04,-10.72,52.39,9.05,64.94,90.96,1.41,92.37,0.22,92.16,92.16,5.03,87.13,87.13,13.58,0.0,6.42,6.41
2020-09-30,298.38,5.0,303.37,29.38,25.37,-1.02,54.34,9.21,75.37,110.72,2.41,113.13,0.2,112.94,112.94,7.44,105.49,105.49,13.58,0.0,7.77,7.76
2020-12-31,281.48,5.65,287.13,22.15,27.42,1.02,53.93,9.24,79.27,94.11,3.43,97.54,0.17,97.37,97.37,8.74,88.63,88.63,13.58,0.0,6.52,6.52
2021-03-31,256.85,0.0,256.85,22.09,29.82,-1.84,46.35,10.14,66.41,83.88,2.75,86.63,0.2,86.43,86.43,17.08,69.35,69.35,13.58,0.0,5.11,5.11
2021-06-30,306.3,0.0,306.3,24.32,14.9,7.25,58.24,11.23,79.05,111.32,6.45,117.76,0.46,117.3,117.3,10.58,106.72,106.72,13.58,0.0,7.86,7.85
2021-09-30,322.66,0.0,322.66,30.03,20.45,0.48,56.07,11.62,78.58,125.43,7.65,133.08,0.79,132.29,132.29,12.59,119.71,119.71,13.59,0.0,8.81,8.81
2021-12-31,300.22,4.42,304.63,33.21,17.34,1.78,55.23,13.54,74.29,109.25,5.84,115.08,0.77,114.32,114.32,10.26,104.06,104.06,13.59,0.0,7.66,7.66
2022-03-31,277.12,5.02,282.14,30.01,26.9,-7.01,52.65,15.07,77.98,86.55,9.05,95.61,0.98,94.63,94.63,7.92,86.71,86.71,13.59,0.0,6.38,6.38
2022-06-30,322.02,6.74,328.76,30.6,23.66,5.0,61.39,14.97,81.93,111.22,3.37,114.59,7.23,107.36,107.36,11.77,95.59,95.59,13.6,0.0,7.03,7.03
2022-09-30,349.98,5.39,355.37,32.91,39.84,-2.37,69.18,15.9,74.76,125.14,6.15,131.3,7.49,123.81,123.81,8.61,115.2,115.2,13.6,0.0,8.47,8.46
2022-12-31,326.76,5.25,332.01,25.55,20.58,11.93,61.75,16.5,85.81,109.89,3.48,113.37,3.14,110.23,110.23,10.85,99.38,99.38,13.6,0.0,7.31,7.31
2023-03-31,308.36,6.23,314.58,25.07,29.68,-6.06,60.63,17.28,93.77,94.21,4.26,98.47,2.96,95.51,95.51,7.67,87.84,87.84,13.6,0.0,6.46,6.43
2023-06-30,411.29,0.0,411.29,26.17,72.18,-25.25,90.36,20.16,92.32,135.34,4.03,139.36,6.84,132.52,132.52,21.78,110.74,110.74,13.6,0.0,8.14,8.13
2023-09-30,409.71,0.0,409.71,28.64,51.43,-2.95,81.1,25.0,107.0,119.49,6.98,126.47,6.55,119.92,119.92,2.11,117.81,117.81,13.6,0.0,8.66,8.65
2023-12-31,315.96,8.45,324.41,23.75,36.24,4.65,80.69,28.08,104.65,46.35,3.43,49.78,15.14,34.64,34.64,2.99,31.66,31.66,13.6,0.0,2.33,2.33
2024-03-31,332.25,9.05,341.3,17.74,37.17,10.4,79.52,29.14,117.08,50.25,20.39,70.64,28.89,41.75,41.75,2.24,39.51,39.51,13.6,0.0,2.9,2.9
2024-06-30,449.17,7.52,456.69,24.4,120.41,-14.29,103.75,45.55,99.04,77.83,5.16,82.99,56.17,26.82,26.82,9.78,17.04,17.04,13.61,0.0,1.25,1.25
2024-09-30,428.75,0.0,428.75,23.19,112.34,-10.2,89.72,46.16,78.88,88.66,13.62,102.28,56.26,46.02,46.02,17.92,28.1,28.1,13.61,0.0,2.06,2.06
