Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Increase/Decrease in Stocks,Power & Fuel,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,Basic EPS,Diluted EPS
2020-12-31,125.43,0.0,125.43,31.95,-1.68,0.0,10.88,4.67,21.77,57.84,7.07,64.9,0.09,64.82,64.82,15.76,49.06,49.06,10.62,0.0,4.62,4.62
2021-03-31,128.39,5.49,133.88,38.5,-9.9,0.0,11.16,4.34,24.02,65.76,5.73,71.49,0.0,71.49,71.49,18.36,53.12,53.12,10.62,529.39,5.0,0.0
2021-06-30,146.31,0.0,146.31,54.71,-12.51,0.0,7.78,5.79,24.98,65.55,6.53,72.07,0.01,72.07,72.07,17.46,54.61,54.61,10.62,0.0,5.14,5.14
2021-09-30,153.16,0.0,153.16,48.99,-0.97,0.0,8.8,6.11,27.6,62.63,8.61,71.24,0.01,71.23,71.23,17.71,53.52,53.52,10.62,0.0,5.04,5.04
2021-12-31,180.81,0.0,180.81,60.49,2.79,0.0,8.68,6.0,32.74,70.13,7.45,77.58,0.0,77.58,77.58,19.59,57.98,57.98,10.62,0.0,5.46,5.46
2022-03-31,204.6,0.0,204.6,80.92,-9.76,0.0,9.28,7.02,40.34,76.81,7.36,84.16,0.13,84.03,84.03,21.54,62.49,62.49,10.62,0.0,5.88,5.88
2022-06-30,234.07,0.0,234.07,100.98,-9.63,0.0,10.0,8.46,41.39,82.87,10.93,93.8,0.0,93.8,93.8,23.35,70.44,70.44,10.62,0.0,6.63,6.63
2022-09-30,247.51,0.0,247.51,94.48,-1.75,0.0,10.6,8.69,46.64,88.85,3.07,91.93,0.0,91.93,91.93,23.67,68.25,68.25,10.62,0.0,6.43,6.42
2022-12-31,237.36,0.0,237.36,73.99,3.8,0.0,11.73,8.88,39.44,99.51,12.39,111.9,0.06,111.84,111.84,27.94,83.9,83.9,10.62,0.0,7.9,7.89
2023-03-31,216.86,0.0,216.86,68.94,-4.86,18.07,12.68,9.79,16.66,95.57,12.41,107.98,0.09,107.89,107.89,26.97,80.91,80.91,10.62,0.0,7.62,7.61
2023-06-30,188.11,0.0,188.11,63.93,8.7,12.41,11.47,10.66,15.06,65.89,12.36,78.24,0.03,78.22,78.22,19.67,58.54,58.54,10.62,0.0,5.51,5.51
2023-09-30,181.12,0.0,181.12,67.29,-5.5,17.01,11.46,10.97,15.28,64.61,5.08,69.68,0.24,69.45,69.45,17.53,51.92,51.92,10.63,0.0,4.89,4.89
2023-12-31,194.73,0.0,194.73,71.01,-6.37,17.24,11.74,11.16,14.71,75.24,7.51,82.76,0.03,82.73,82.73,20.31,62.42,62.42,10.63,0.0,5.87,5.87
2024-03-31,225.48,0.0,225.48,75.37,1.03,17.61,11.84,11.0,20.91,87.73,13.4,101.13,0.54,100.59,100.59,25.78,74.81,74.81,10.63,0.0,7.04,7.04
2024-06-30,217.31,0.0,217.31,79.82,-6.8,18.69,11.78,11.1,16.04,86.69,9.64,96.32,0.09,96.24,96.24,24.08,72.16,72.16,10.63,0.0,6.79,6.79
2024-09-30,228.06,0.0,228.06,83.39,-1.05,0.0,12.4,11.22,38.72,83.39,10.37,93.76,0.02,93.74,93.74,26.3,67.44,67.44,10.63,0.0,6.35,6.34
2024-12-31,231.56,0.0,231.56,81.03,0.54,19.1,12.35,11.19,16.33,91.01,4.6,95.61,0.11,95.5,95.5,21.39,74.11,74.11,10.63,0.0,6.97,6.97
