Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-12-31,42.68,0.0,42.68,2.15,0.05,1.2,39.29,0.24,39.53,0.0,39.53,39.53,7.22,32.31,32.31,55.1,5.86,5.86,1.49,26.98,4.02,100.0,73.02
2013-03-31,28.71,0.0,28.71,2.02,0.05,0.86,25.77,0.01,25.78,0.0,25.78,25.78,4.45,21.33,21.33,55.1,3.87,3.87,1.49,26.98,4.02,100.0,73.02
2013-06-30,41.65,0.0,41.65,1.79,0.02,0.98,38.85,0.06,38.91,0.0,38.91,38.91,6.6,32.31,32.31,55.1,5.87,5.87,1.49,26.98,4.02,100.0,73.02
2013-09-30,107.49,0.0,107.49,1.92,0.03,2.51,103.03,0.66,103.69,0.0,103.69,103.69,10.8,92.89,92.89,55.1,16.86,16.86,1.49,26.98,4.02,100.0,73.02
2013-12-31,43.93,0.0,43.93,2.03,0.03,0.99,40.87,0.17,41.05,0.0,41.05,41.05,8.1,32.95,32.95,55.1,5.98,5.98,1.49,26.98,4.02,100.0,73.02
2014-03-31,27.81,0.0,27.81,1.52,0.03,3.52,22.74,1.29,24.03,0.0,24.03,24.03,3.5,20.53,20.53,55.1,3.73,3.73,1.49,26.98,4.02,100.0,73.02
2014-06-30,45.11,0.0,45.11,2.02,0.02,1.12,41.95,0.04,41.99,0.0,41.99,41.99,7.5,34.49,34.49,55.1,6.26,6.26,1.49,26.98,4.02,100.0,73.02
2014-09-30,109.67,0.0,109.67,2.13,0.02,2.35,105.18,0.07,105.25,0.0,105.25,105.25,9.51,95.73,95.73,55.1,17.38,17.38,1.49,26.98,4.02,100.0,73.02
2014-12-31,44.65,0.0,44.65,2.2,0.03,0.96,41.46,0.01,41.47,0.0,41.47,41.47,8.1,33.37,33.37,55.1,6.06,6.06,1.49,26.98,4.02,100.0,73.02
2015-03-31,31.51,0.0,31.51,3.19,-0.06,1.11,27.27,0.05,27.32,0.0,27.32,27.32,4.4,22.92,22.92,55.1,4.16,4.16,1.49,26.98,4.02,100.0,73.02
2015-06-30,48.86,0.0,48.86,2.63,0.03,1.23,44.98,0.05,45.03,0.0,45.03,45.03,8.5,36.53,36.53,55.1,6.63,6.63,1.49,26.98,4.02,100.0,73.02
2015-09-30,128.64,0.0,128.64,2.61,0.02,2.52,123.49,0.0,123.49,0.0,123.49,123.49,13.5,109.99,109.99,55.1,19.96,19.96,1.49,26.98,4.02,100.0,73.02
2015-12-31,35.19,0.0,35.19,2.61,0.03,1.16,31.39,0.1,31.49,0.0,31.49,31.49,6.1,25.39,25.39,55.1,4.61,4.61,0.0,0.0,0.0,0.0,0.0
2016-03-31,39.23,0.0,39.23,2.51,0.03,2.48,34.21,0.0,34.21,0.0,34.21,34.21,3.51,30.7,30.7,55.1,5.57,5.57,0.0,0.0,0.0,0.0,0.0
2016-06-30,46.88,0.0,46.88,2.8,0.02,1.26,42.8,0.07,42.87,0.0,42.87,42.87,9.0,33.87,33.87,55.1,6.15,6.15,0.0,0.0,0.0,0.0,0.0
2016-09-30,156.27,0.0,156.27,2.8,0.02,2.44,151.0,0.0,151.0,0.0,151.0,151.0,21.0,130.0,130.0,55.1,23.6,23.6,0.0,0.0,0.0,0.0,0.0
2016-12-31,32.3,0.0,32.3,2.8,0.02,1.31,28.17,0.01,28.18,0.0,28.18,28.18,5.8,22.38,22.38,55.1,4.06,4.06,0.0,0.0,0.0,0.0,0.0
2017-03-31,35.83,0.0,35.83,2.52,0.05,15.25,18.01,0.02,18.02,0.0,18.02,18.02,1.9,16.12,16.12,55.1,2.93,2.93,0.0,0.0,0.0,0.0,0.0
2017-06-30,60.05,0.0,60.05,2.88,0.01,1.58,55.58,0.08,55.65,0.0,55.65,55.65,10.35,45.3,45.3,55.1,8.22,8.22,0.0,0.0,0.0,0.0,0.0
2017-09-30,144.27,0.0,144.27,2.92,0.02,10.39,130.94,0.0,130.94,0.0,130.94,130.94,15.29,115.65,115.65,55.1,20.99,20.99,0.0,0.0,0.0,0.0,0.0
2017-12-31,47.02,0.0,47.02,2.16,0.02,1.3,43.54,0.0,43.54,0.0,43.54,43.54,9.09,34.45,34.45,55.1,6.25,6.25,0.0,0.0,0.0,0.0,0.0
2018-03-31,58.34,0.0,58.34,2.78,0.06,2.78,52.71,0.02,52.73,0.0,52.73,52.73,10.65,42.08,42.08,55.1,7.64,7.64,0.0,0.0,0.0,0.0,0.0
2018-06-30,26.68,4.26,30.94,2.99,0.02,1.61,26.32,0.07,26.39,0.0,26.39,26.39,3.91,22.48,22.48,55.1,4.08,4.08,0.0,0.0,0.0,0.0,0.0
2018-09-30,100.6,0.0,100.6,3.04,0.01,2.59,94.96,0.0,94.96,0.0,94.96,94.96,3.66,91.3,91.3,55.1,16.57,16.57,0.0,0.0,0.0,0.0,0.0
2018-12-31,25.25,0.0,25.25,3.09,0.02,3.46,18.68,0.02,18.7,0.0,18.7,18.7,3.64,15.06,15.06,55.1,2.73,2.73,0.0,0.0,0.0,0.0,0.0
2019-03-31,24.95,0.0,24.95,2.83,0.04,1.51,20.57,0.01,20.58,0.0,20.58,20.58,1.77,18.81,18.81,50.6,3.44,3.44,0.0,0.0,0.0,0.0,0.0
2019-06-30,25.38,0.0,25.38,2.75,0.17,1.01,21.45,0.08,21.53,0.03,21.5,21.5,2.04,19.46,19.46,50.6,3.85,3.85,0.0,0.0,0.0,0.0,0.0
2019-09-30,84.82,0.0,84.82,2.92,0.19,3.43,78.28,0.0,78.28,0.04,78.24,78.24,1.61,76.63,76.63,50.6,15.15,15.15,0.0,0.0,0.0,0.0,0.0
2019-12-31,23.35,0.0,23.35,3.07,0.18,1.61,18.49,0.01,18.5,0.03,18.47,18.47,6.6,11.87,11.87,50.6,2.35,2.35,0.0,0.0,0.0,0.0,0.0
2020-03-31,15.92,0.0,15.92,2.02,0.21,2.65,11.04,0.0,11.04,0.04,11.0,11.0,0.32,10.68,10.68,50.6,2.11,2.11,0.0,0.0,0.0,0.0,0.0
2020-06-30,21.75,0.0,21.75,2.62,0.2,3.41,15.52,0.1,15.62,0.02,15.6,15.6,3.22,12.38,12.38,50.6,2.45,2.45,0.0,0.0,0.0,0.0,0.0
2020-09-30,79.47,0.0,79.47,2.64,0.2,1.47,75.16,0.0,75.16,0.02,75.14,75.14,2.7,72.44,72.44,50.6,14.32,14.32,0.0,0.0,0.0,0.0,0.0
2020-12-31,14.11,0.0,14.11,2.61,0.22,2.13,9.15,0.0,9.15,0.03,9.12,9.12,1.62,7.5,7.5,50.6,1.48,1.48,0.0,0.0,0.0,0.0,0.0
2021-03-31,24.73,0.0,24.73,2.64,0.21,1.71,20.17,0.0,20.17,0.02,20.15,20.15,3.64,16.51,16.51,50.6,3.26,3.26,0.0,0.0,0.0,0.0,0.0
2021-06-30,73.42,0.0,73.42,3.45,0.21,2.18,67.58,0.08,67.66,0.02,67.64,67.64,2.98,64.66,64.66,50.6,12.78,12.78,0.0,0.0,0.0,0.0,0.0
2021-09-30,81.19,0.0,81.19,2.95,0.21,4.36,73.67,0.0,73.67,0.01,73.66,73.66,6.81,66.85,66.85,50.6,13.21,13.21,0.0,0.0,0.0,0.0,0.0
