Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Trade Payables,Other Current Liabilities,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Fixed Assets,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Short Term Provisions,Non-Current Investments,Long Term Loans And Advances,Expenditure In Foreign Currency,Long Term Borrowings,Capital Work-In-Progress,Deferred Tax Assets [Net],Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Short Term Borrowings,Intangible Assets Under Development,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Inventories,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods
2004-03-31,22.97,22.97,379.46,379.46,402.44,0.0,0.0,0.0,38.75,0.99,1.42,27.77,468.96,0.35,0.0,0.35,0.0,456.44,0.0,0.45,0.67,11.39,0.0,12.52,468.96,0.0,0.0,0.17,4.71,971.63,216.09,0.0,0.0,25.37,455.01,0.0,15.0,38.75,0.0,1.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,22.97,22.97,463.57,463.57,486.55,0.0,0.0,0.0,6.34,1.29,0.28,33.47,526.35,0.34,0.0,0.34,0.0,515.56,0.0,2.83,0.84,5.13,2.0,10.8,526.35,0.54,0.0,0.04,4.71,1267.74,224.06,0.0,0.0,31.9,514.52,0.0,0.36,6.34,0.0,0.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,34.46,34.46,568.07,568.07,602.54,0.0,0.0,0.0,4.18,1.89,0.43,50.05,656.76,0.29,0.0,0.29,0.0,625.71,0.0,0.25,1.3,29.5,0.0,31.05,656.76,0.52,0.0,0.62,16.2,2133.08,304.99,0.0,0.0,47.72,624.62,0.0,0.0,4.18,0.0,0.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,34.46,34.46,686.36,686.36,720.82,0.0,0.0,0.0,0.53,2.26,0.7,64.27,785.62,0.22,0.0,0.22,0.0,753.81,0.0,0.99,28.02,2.81,0.0,31.81,785.62,2.38,0.0,1.92,16.2,1843.47,366.53,0.0,0.0,61.31,753.59,0.0,0.0,0.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,34.46,34.46,810.67,810.67,845.13,0.0,0.0,0.0,0.0,2.6,0.72,66.46,911.59,0.24,0.0,0.24,0.0,888.43,0.0,0.0,9.55,13.61,0.0,23.16,911.59,4.64,0.0,7.04,16.2,2411.24,366.79,0.0,0.0,63.14,888.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,34.46,34.46,910.81,910.81,945.27,0.0,0.0,0.0,447.74,3.22,0.94,67.17,1460.17,0.19,0.0,0.19,0.0,1219.41,0.0,3.58,126.36,110.83,0.0,240.77,1460.17,0.09,0.0,5.85,16.2,1296.55,581.16,0.0,0.0,63.01,1219.22,0.0,0.0,447.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,48.24,48.24,1481.54,1481.54,1529.78,0.0,0.0,0.0,0.0,4.45,1.31,8.3,1538.08,0.34,0.0,1.05,0.0,1306.57,0.0,0.0,114.68,116.83,0.0,231.51,1538.08,5.96,0.0,0.03,16.2,2823.46,543.89,0.0,0.0,2.55,1305.52,0.0,78.0,0.0,0.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,48.24,48.24,1591.45,1591.45,1639.69,0.0,0.0,1.15,1.15,4.2,2.72,8.12,1648.96,0.73,0.0,0.73,0.0,1223.06,71.74,6.54,213.17,129.6,4.85,425.9,1648.96,15.46,0.03,0.0,16.2,3242.51,355.09,15.05,10.0,1.2,1219.15,3.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,55.1,55.1,1865.83,1865.83,1920.93,0.0,0.0,1.2,1.2,6.04,2.64,143.96,2066.09,0.42,0.0,0.42,0.0,1691.59,119.75,0.0,168.34,63.85,22.55,374.5,2066.09,9.23,12.79,0.0,16.2,3675.31,294.71,0.0,74.32,135.29,1687.86,3.31,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,55.1,55.1,1922.8,1922.8,1977.9,0.0,0.0,3.56,3.56,5.67,2.76,112.35,2093.81,0.24,0.01,0.25,0.0,1802.46,142.57,0.01,42.24,84.5,22.03,291.35,2093.81,8.14,0.03,0.0,16.2,3748.76,361.15,42.83,99.74,103.93,1799.04,3.18,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
