Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Fixed Assets,Non-Current Investments,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Long Term Loans And Advances,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods,Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Deferred Tax Assets [Net]
2014-03-31,17.08,17.08,1345.62,1345.62,1362.7,75.95,30.13,0.0,36.96,143.04,8.38,127.78,215.67,281.87,633.7,2139.44,619.89,3.3,144.36,0.31,767.86,16.08,0.12,840.83,0.0,335.01,452.79,294.57,211.93,4.32,1298.61,2139.44,160.28,3.68,11.91,163.97,0.0,5.69,1.95,15.72,0.0,56.77,868.84,10.31,0.91,113.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,17.08,17.08,1682.49,1682.49,1699.57,74.14,36.85,0.0,44.31,155.29,0.0,152.08,261.57,119.57,533.22,2388.08,939.89,4.37,86.17,0.15,1030.58,16.08,0.07,1112.2,0.0,418.13,554.1,222.17,74.08,7.4,1275.89,2388.08,364.39,3.27,14.41,237.68,2.82,5.69,2.43,15.72,0.0,65.47,983.93,13.87,1.28,87.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,17.08,17.08,2084.56,2084.56,2101.64,72.47,58.84,0.0,46.02,177.33,0.0,330.06,247.06,52.24,629.36,2908.33,1312.27,4.06,119.74,0.17,1436.24,16.08,0.0,1500.25,0.0,601.65,592.15,150.26,52.78,11.25,1408.08,2908.33,224.77,8.53,35.28,278.18,1.45,5.69,1.62,15.72,0.0,47.93,1059.61,15.66,0.0,174.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,17.08,17.08,2575.99,2575.99,2593.07,69.01,81.51,40.94,40.42,231.88,0.0,418.44,287.52,53.66,759.62,3584.57,1487.02,5.12,240.25,0.0,1732.39,18.88,74.68,1825.95,127.78,816.95,570.49,170.92,0.0,72.48,1758.62,3584.57,331.11,1496.25,0.0,406.74,0.0,5.69,0.24,18.63,127.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,17.08,17.08,2920.31,2920.31,2937.39,58.43,87.81,46.79,45.15,238.18,0.0,592.26,344.76,55.96,992.98,4168.55,1698.19,5.06,226.38,0.0,1929.63,19.81,66.81,2016.25,15.33,1049.71,782.45,111.28,0.0,193.53,2152.3,4168.55,215.03,1685.83,0.0,474.6,0.0,5.69,0.24,19.56,15.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,17.08,17.08,3318.24,3318.24,3335.32,46.8,95.91,45.98,69.46,258.15,0.0,510.44,330.14,61.89,902.47,4495.94,1809.05,3.71,233.88,80.86,2127.5,20.16,144.21,2291.87,0.3,1061.42,768.58,71.75,0.0,302.02,2204.07,4495.94,637.29,2106.77,0.0,724.3,0.0,5.69,0.23,19.92,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,17.08,17.08,3638.53,3638.53,3655.61,34.34,44.13,80.8,83.75,243.02,0.0,614.89,387.66,99.41,1101.96,5000.59,1826.09,3.13,732.58,94.44,2656.24,13.92,107.53,2777.69,142.25,1142.69,636.28,84.51,0.0,217.17,2222.9,5000.59,367.49,1322.48,0.0,835.76,0.0,5.69,0.14,13.77,142.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,17.08,17.08,4193.18,4193.18,4210.26,23.39,40.74,97.85,95.39,257.37,0.0,746.47,464.4,118.58,1329.45,5797.08,2359.68,95.08,397.56,1.72,2854.04,7.12,115.05,2976.21,273.42,1438.24,787.46,175.81,0.0,145.94,2820.87,5797.08,858.02,1167.4,0.0,831.12,0.0,5.69,0.21,6.9,273.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,17.08,17.08,4534.31,4534.31,4551.39,16.52,31.37,140.97,108.26,297.12,6.87,806.45,576.77,137.25,1527.34,6375.85,2412.77,79.53,829.32,0.33,3321.95,43.05,186.83,3551.83,34.73,1803.78,792.56,53.57,0.0,139.38,2824.02,6375.85,487.54,1126.07,0.0,1129.26,0.0,5.69,0.18,11.34,34.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,17.08,17.08,5280.76,5280.76,5297.84,9.64,72.79,127.04,130.66,340.13,6.88,750.75,562.14,141.34,1461.11,7099.08,2831.09,65.81,232.9,0.76,3130.56,462.24,222.5,3815.3,23.77,1643.42,779.67,99.83,88.71,648.38,3283.78,7099.08,377.06,1252.92,0.0,1245.41,0.0,5.69,0.0,0.0,23.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,18.3,18.3,6750.35,6750.35,6768.65,25.99,88.49,132.3,160.96,407.74,27.34,839.83,659.39,131.36,1657.92,8834.31,3072.68,477.61,319.59,2.06,3871.94,1214.15,199.2,5285.29,264.97,1809.54,1017.07,104.47,100.0,252.97,3549.02,8834.31,769.43,1342.05,0.0,1348.43,0.0,5.69,0.0,0.0,264.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
