Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Fixed Assets,Non-Current Investments,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Long Term Loans And Advances,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods,Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Deferred Tax Assets [Net]
2004-03-31,11.39,11.39,163.2,163.2,174.59,10.42,15.32,0.0,0.0,25.75,4.46,10.18,6.05,19.84,40.53,240.87,99.18,0.01,0.95,0.0,100.14,20.88,0.0,121.84,0.0,30.72,47.17,15.23,25.9,0.0,119.02,240.87,6.78,1.57,0.56,11.08,0.0,0.0,11.41,9.46,0.0,0.0,47.99,0.0,0.0,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.82
2005-03-31,11.39,11.39,169.3,169.3,180.68,15.98,13.09,0.0,0.0,29.07,7.33,28.27,6.23,29.39,71.22,280.98,94.85,0.01,1.29,0.0,96.15,23.56,0.0,119.72,0.0,44.1,64.97,16.91,35.29,0.0,161.26,280.98,13.09,0.63,0.55,14.58,0.0,0.0,10.42,15.75,0.0,0.0,81.81,0.0,0.0,4.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,11.39,11.39,189.9,189.9,201.29,22.73,12.0,0.0,0.0,34.73,15.14,60.11,9.98,48.01,133.24,369.25,104.34,0.01,4.81,0.0,109.17,32.01,0.0,141.18,0.0,57.2,85.65,20.52,64.7,0.0,228.07,369.25,21.76,1.99,0.66,31.05,0.0,0.0,20.64,15.72,0.0,0.0,126.59,0.0,0.0,15.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,11.39,11.39,232.28,232.28,243.67,54.23,13.61,0.0,0.0,67.84,86.48,60.8,12.73,57.7,217.71,529.21,156.82,0.01,6.17,0.0,163.0,16.19,0.0,179.19,0.0,92.17,145.95,25.6,86.29,0.0,350.02,529.21,24.95,2.84,0.83,28.74,0.0,0.0,4.34,15.72,0.0,0.0,193.45,0.0,0.0,37.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,11.39,11.39,321.71,321.71,333.1,85.08,16.95,0.0,0.0,102.03,231.18,80.83,21.91,99.34,433.26,868.39,188.84,0.01,65.74,0.0,254.59,16.2,0.0,270.79,0.0,194.33,226.47,51.15,125.65,0.0,597.6,868.39,56.44,6.22,1.15,40.29,0.0,0.0,5.32,15.72,0.0,0.0,335.77,0.0,0.0,38.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,17.08,17.08,388.51,388.51,405.59,177.97,18.25,0.0,0.0,196.22,107.9,93.73,20.07,70.51,292.21,894.02,281.31,0.01,39.6,0.0,320.93,47.1,0.0,368.03,0.0,160.83,207.85,70.29,87.03,0.0,525.99,894.02,40.04,9.44,1.14,44.05,0.0,5.69,33.18,15.72,0.0,0.0,361.54,0.0,0.0,33.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,17.08,17.08,526.56,526.56,543.64,91.19,21.64,0.0,0.0,112.82,0.0,137.57,28.07,153.45,319.09,975.55,303.52,2.21,22.69,0.0,328.41,16.08,0.0,344.49,0.0,217.57,242.3,62.47,108.73,0.0,631.06,975.55,30.4,4.21,1.85,52.16,0.0,5.69,5.54,15.72,0.0,0.0,510.45,0.0,0.0,15.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,17.08,17.08,628.85,628.85,645.93,70.1,20.49,0.0,10.42,101.01,20.01,105.38,96.79,146.8,368.98,1115.92,313.28,1.81,36.96,0.58,352.63,16.08,0.24,383.46,0.0,284.7,305.66,45.12,94.67,2.31,732.46,1115.92,61.91,2.04,11.13,83.42,0.0,5.69,5.24,15.72,0.0,14.52,487.65,6.29,0.0,20.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,17.08,17.08,806.39,806.39,823.47,78.47,21.96,0.0,14.62,115.05,5.6,88.85,112.46,206.09,413.0,1351.52,352.48,2.09,31.07,0.46,386.1,16.08,0.11,414.57,0.0,266.62,319.68,229.22,118.27,3.16,936.95,1351.52,48.63,2.06,5.89,117.03,0.0,5.69,4.19,15.72,0.0,12.29,681.84,6.49,0.0,31.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,17.08,17.08,1042.73,1042.73,1059.81,77.31,19.51,0.0,37.64,134.46,9.86,136.28,180.73,249.32,576.19,1770.47,355.5,3.37,102.5,0.48,461.85,16.08,0.34,513.62,0.0,292.86,380.68,410.79,165.68,6.85,1256.85,1770.47,152.04,2.0,8.51,101.64,0.0,5.69,2.79,15.72,0.0,35.35,687.15,6.12,0.0,34.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
