Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Equity Share Application Money,Long Term Borrowings,Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Fixed Assets,Non-Current Investments,Long Term Loans And Advances,Total Non-Current Assets,Cash And Cash Equivalents,Short Term Loans And Advances,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Other Earnings,Revaluation Reserves,Other Non-Current Assets,Current Investments,Preference Share Capital,Money Received Against Share Warrants,Employees Stock Options,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Deferred Tax Liabilities [Net],Foreign Currency Monetary Item Translation Difference A/C,Short Term Borrowings,Trade Payables,Intangible Assets Under Development,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Deferred Tax Assets [Net],Inventories,Trade Receivables,OtherCurrentAssets,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods
2008-03-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,1994.88,1994.88,-1569.49,-1514.25,480.63,0.0,0.0,5569.01,20523.13,26092.15,1303.76,15.01,1318.77,27891.54,237.43,0.0,2.14,239.57,26558.09,33.12,26830.79,383.73,677.03,1060.76,27891.54,700.58,0.0,0.0,55.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,1994.88,1994.88,-1194.39,-1139.69,855.19,0.0,0.0,7812.78,23609.8,31422.58,1500.27,13.68,1513.94,33791.71,274.92,0.0,4.63,279.55,32189.48,31.76,32500.79,547.56,743.36,1290.92,33791.71,217.22,0.0,0.0,54.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,1994.88,1994.88,-687.9,-633.63,1361.25,0.0,0.0,10725.19,28333.09,39058.28,1544.25,28.95,1573.2,41992.72,275.85,0.0,31.87,307.72,40403.98,78.53,40790.22,486.38,716.12,1202.5,41992.72,339.15,0.0,0.0,54.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-03-31,1994.88,1994.88,-66.25,-16.2,1978.68,0.0,0.0,14683.67,34207.37,48891.04,1476.39,27.55,1503.95,52373.66,328.61,0.0,15.83,344.44,50529.23,47.87,50921.54,458.88,993.25,1452.13,52373.66,145.59,0.0,0.0,50.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,1994.88,1994.88,546.96,597.01,2591.89,0.0,0.0,19804.6,44920.34,64724.94,2034.99,33.1,2068.09,69384.92,395.52,0.0,6.44,401.96,67025.03,125.63,67552.62,572.37,1259.93,1832.3,69384.92,176.05,0.0,0.0,50.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,1995.29,1995.29,1113.3,1163.35,3158.64,0.0,0.0,25159.73,45727.02,70886.74,2559.7,41.41,2601.11,76646.49,384.21,0.0,12.16,396.37,74230.04,93.07,74719.48,646.6,1280.41,1927.01,76646.49,100.15,0.0,0.0,50.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,1998.48,1998.48,1840.2,1840.2,3838.68,0.0,0.0,33646.86,53800.48,87447.34,3773.54,46.55,3820.1,95106.12,336.83,0.0,16.09,352.92,91432.54,352.92,92138.37,796.5,2171.25,2967.75,95106.12,665.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,2011.74,2011.74,2736.56,2736.56,4748.3,0.89,0.0,46487.69,54598.19,101085.88,4602.72,43.67,4646.39,110481.46,336.13,0.0,5.28,341.4,95395.62,18.74,96551.01,1108.47,2409.98,13930.45,110481.46,1031.51,0.0,0.0,0.0,795.24,10412.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,2017.38,2017.38,3637.87,3637.87,5655.25,0.39,0.0,55849.85,63377.41,119227.26,5063.97,58.49,5122.46,130005.36,323.11,0.0,10.19,333.3,125551.66,79.59,125964.55,1239.82,2800.99,4040.81,130005.36,1762.96,189.7,160.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
