Date,Net Sales/Income from operations,Total Income From Operations,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Prior Year Adjustments,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-09-30,667.73,667.73,154.94,3.47,344.03,165.3,70.99,236.28,0.12,236.16,0.0,236.16,74.91,161.25,-0.01,161.25,168.47,4.78,4.78,6.6,19.6,27.09,100.0,80.4
2012-12-31,604.77,604.77,144.39,2.42,329.27,128.69,66.93,195.62,0.0,195.62,0.0,195.62,63.29,132.33,0.0,132.33,168.47,3.93,3.93,6.6,19.6,27.09,100.0,80.4
2013-03-31,513.47,513.47,138.77,2.51,240.08,132.11,105.25,237.36,-0.12,237.48,0.0,237.48,63.98,173.5,7.2,180.71,168.47,5.37,5.37,6.6,19.59,27.09,100.0,80.41
2013-06-30,443.19,443.19,147.04,2.45,179.67,114.02,68.04,182.06,0.0,182.06,0.0,182.06,52.71,129.35,0.0,129.35,168.47,3.84,3.84,6.6,19.59,27.09,100.0,80.4
2013-09-30,465.18,465.18,145.32,2.23,231.32,86.3,82.81,169.12,0.0,169.12,0.0,169.12,57.25,111.86,0.0,111.86,168.47,3.32,3.32,6.6,19.59,27.09,100.0,80.4
2013-12-31,420.4,420.4,152.93,2.74,168.56,96.17,108.36,204.53,0.0,204.53,0.0,204.53,69.53,135.0,0.0,135.0,168.47,4.01,4.01,6.6,19.59,27.09,100.0,80.4
2014-03-31,494.83,494.83,152.53,7.12,269.58,65.6,76.79,142.39,0.06,142.33,0.0,142.33,38.77,103.55,0.0,103.55,168.47,3.07,3.07,10.32,30.63,23.37,100.0,69.37
2014-06-30,435.49,435.49,149.03,5.36,231.79,49.32,69.29,118.61,0.0,118.61,0.0,118.61,38.2,80.4,0.0,80.4,168.47,2.39,2.39,10.32,30.63,23.37,100.0,69.37
2014-09-30,390.64,390.64,144.96,3.53,237.71,4.44,83.93,88.36,0.0,88.36,0.0,88.36,29.58,58.79,0.0,58.79,168.47,1.74,1.74,10.32,30.63,23.37,100.0,69.37
2014-12-31,398.33,398.33,151.29,5.37,211.25,30.42,61.68,92.1,0.0,92.1,0.0,92.1,32.18,59.92,0.0,59.92,168.47,1.78,1.78,10.32,30.63,23.37,100.0,69.37
2015-03-31,488.54,488.54,146.67,5.37,247.7,88.81,79.91,168.72,0.23,168.49,0.0,168.49,59.62,108.87,0.0,108.87,168.47,3.23,3.23,10.32,30.63,23.37,100.0,69.37
2015-06-30,391.39,391.39,154.98,8.53,201.9,25.98,57.73,83.71,0.06,83.65,0.0,83.65,30.14,53.51,0.0,53.51,168.47,1.59,1.59,10.32,30.63,23.37,100.0,69.37
2015-09-30,449.44,449.44,141.23,5.2,243.32,59.69,60.89,120.58,0.01,120.57,0.0,120.57,43.36,77.21,0.0,77.21,168.47,2.29,2.29,0.0,0.0,0.0,0.0,0.0
2015-12-31,368.37,368.37,149.4,5.27,170.84,42.86,61.19,104.05,0.04,104.01,0.0,104.01,36.34,67.67,0.0,67.67,168.47,1.0,1.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,301.82,301.82,144.94,5.93,107.22,43.73,67.98,111.71,0.14,111.57,0.0,111.57,37.6,73.98,3.82,77.8,168.47,1.16,1.16,0.0,0.0,0.0,0.0,0.0
2016-06-30,341.82,341.82,155.24,5.29,113.26,68.03,54.59,122.61,0.08,122.54,0.0,122.54,42.23,80.3,0.0,80.3,168.47,2.38,2.38,0.0,0.0,0.0,0.0,0.0
2016-09-30,338.89,338.89,154.38,5.28,90.79,88.43,56.1,144.54,0.03,144.5,0.0,144.5,50.75,93.75,0.0,93.75,168.47,2.79,2.79,0.0,0.0,0.0,0.0,0.0
2016-12-31,325.01,325.01,155.35,5.9,88.76,75.01,55.86,130.87,0.06,130.81,0.0,130.81,45.82,84.99,0.0,84.99,168.47,1.26,1.26,0.0,0.0,0.0,0.0,0.0
2017-03-31,442.93,442.93,279.01,6.04,109.66,48.22,57.11,105.33,3.01,102.33,0.0,102.33,36.34,65.99,0.0,65.99,336.94,0.98,0.98,0.0,0.0,0.0,0.0,0.0
2017-06-30,375.36,375.36,193.8,5.97,99.82,75.77,45.62,121.39,0.05,121.34,0.0,121.34,39.96,81.38,0.0,81.38,336.94,1.21,1.21,0.0,0.0,0.0,0.0,0.0
2017-09-30,429.09,429.09,188.75,6.19,101.39,132.76,46.65,179.41,0.07,179.35,0.0,179.35,60.18,119.17,0.0,119.17,315.96,1.81,1.81,0.0,0.0,0.0,0.0,0.0
2017-12-31,473.42,473.42,189.03,5.89,149.55,128.94,39.3,168.24,0.09,168.15,0.0,168.15,59.75,108.4,0.0,108.4,315.96,1.71,1.71,0.0,0.0,0.0,0.0,0.0
2018-03-31,509.71,509.71,185.56,5.77,266.64,51.73,47.9,99.63,0.37,99.26,0.0,99.26,30.35,68.92,0.0,68.92,315.96,1.1,1.1,0.0,0.0,0.0,0.0,0.0
2018-06-30,573.32,573.32,184.71,5.52,302.26,80.84,52.2,133.03,0.2,132.83,0.0,132.83,46.21,86.62,0.0,86.62,315.96,1.37,1.37,0.0,0.0,0.0,0.0,0.0
2018-09-30,681.41,681.41,183.42,5.72,406.51,85.76,61.43,147.19,0.36,146.83,0.0,146.83,49.06,97.77,0.0,97.77,315.96,1.55,1.55,0.0,0.0,0.0,0.0,0.0
2018-12-31,577.0,577.0,197.18,5.32,284.96,89.54,51.86,141.4,0.26,141.14,0.0,141.14,50.37,90.77,0.0,90.77,315.96,1.43,1.43,0.0,0.0,0.0,0.0,0.0
2019-03-31,612.61,612.61,191.76,5.8,327.53,87.51,59.6,147.11,0.42,146.7,0.0,146.7,51.8,94.9,0.0,94.9,315.96,1.51,1.51,0.0,0.0,0.0,0.0,0.0
2019-06-30,734.9,734.9,200.03,5.72,395.42,133.73,58.29,192.02,0.31,191.71,0.0,191.71,67.61,124.1,0.0,124.1,315.96,1.96,1.96,0.0,0.0,0.0,0.0,0.0
2019-09-30,723.73,723.73,206.95,5.79,409.83,101.15,65.54,166.69,0.38,166.31,0.0,166.31,98.56,67.75,0.0,67.75,315.96,1.08,1.08,0.0,0.0,0.0,0.0,0.0
2019-12-31,890.61,890.61,212.38,5.59,592.63,80.01,65.7,145.72,0.44,145.28,0.0,145.28,36.61,108.67,0.0,108.67,315.96,1.72,1.72,0.0,0.0,0.0,0.0,0.0
2020-03-31,853.81,853.81,225.0,6.73,517.77,104.31,68.51,172.82,0.61,172.21,0.0,172.21,42.49,129.72,0.0,129.72,315.96,2.05,2.05,0.0,0.0,0.0,0.0,0.0
2020-06-30,467.84,467.84,207.33,5.33,239.1,16.09,49.66,65.74,0.43,65.32,0.0,65.32,17.24,48.08,0.0,48.08,315.96,0.76,0.76,0.0,0.0,0.0,0.0,0.0
2020-09-30,683.41,683.41,213.89,5.96,392.27,71.3,53.26,124.55,0.46,124.09,0.0,124.09,31.41,92.68,0.0,92.68,315.96,1.47,1.47,0.0,0.0,0.0,0.0,0.0
2020-12-31,836.73,836.73,216.99,5.09,544.66,69.99,47.97,117.96,0.4,117.55,0.0,117.55,29.35,88.2,0.0,88.2,315.96,1.39,1.39,0.0,0.0,0.0,0.0,0.0
2021-03-31,1116.71,1116.71,220.05,7.06,732.65,156.95,43.99,200.94,2.37,198.58,-154.96,43.61,13.07,30.54,0.0,30.54,281.02,0.54,0.54,0.0,0.0,0.0,0.0,0.0
2021-06-30,734.89,734.89,220.22,4.88,410.34,99.45,22.47,121.92,0.26,121.66,0.0,121.66,31.06,90.61,0.0,90.61,281.02,1.61,1.61,0.0,0.0,0.0,0.0,0.0
2021-09-30,647.88,647.88,232.33,5.26,355.21,55.08,28.37,83.45,0.23,83.23,0.0,83.23,23.75,59.47,0.0,59.47,281.02,1.06,1.06,0.0,0.0,0.0,0.0,0.0
2021-12-31,681.57,681.57,234.24,7.84,384.84,54.65,38.18,92.84,0.22,92.61,0.0,92.61,24.57,68.04,0.0,68.04,281.02,1.21,1.21,0.0,0.0,0.0,0.0,0.0
2022-03-31,806.05,806.05,218.09,5.21,479.97,102.77,47.71,150.48,0.14,150.34,0.0,150.34,24.06,126.29,0.0,126.29,281.02,2.25,2.25,0.0,0.0,0.0,0.0,0.0
