Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Other Assets,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Deferred Tax Liabilities [Net],Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Long Term Borrowings,Foreign Currency Monetary Item Translation Difference A/C,Short Term Borrowings,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods
2014-03-31,168.47,168.47,2293.29,2293.29,2461.76,1.83,20.09,21.93,282.1,543.2,441.43,1266.73,3750.42,114.6,3.3,131.76,0.0,0.0,249.66,17.59,230.87,51.47,0.48,550.08,719.0,1.0,343.09,1768.03,48.11,321.1,3200.34,3750.42,813.77,120.53,139.18,167.5,0.0,23.9,753.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,168.47,168.47,2399.43,2399.43,2567.9,2.22,17.47,19.69,246.56,580.69,501.11,1328.36,3915.95,267.59,2.11,19.11,0.0,0.0,288.81,16.39,231.95,46.21,0.58,583.94,124.0,0.81,426.06,2372.92,85.3,322.91,3332.0,3915.95,899.56,98.81,220.58,167.5,0.0,23.35,134.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,168.47,168.47,2496.55,2496.55,2665.02,15.95,7.83,23.79,202.5,755.57,432.03,1390.1,4078.9,276.6,2.16,24.39,0.0,0.0,303.16,26.91,219.43,42.08,75.89,667.46,12.01,1.01,362.08,2569.46,71.3,395.57,3411.44,4078.9,140.07,170.13,329.22,167.5,0.0,33.91,12.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,336.94,336.94,2439.02,2439.02,2775.96,13.42,7.63,21.05,222.9,842.92,455.77,1521.59,4318.6,225.42,7.42,18.1,37.62,37.07,325.63,153.76,265.72,31.1,12.98,789.19,378.66,1.05,383.08,2310.49,10.76,445.36,3529.41,4318.6,1102.95,79.19,300.6,335.97,0.0,161.17,378.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,315.96,315.96,1951.92,1951.92,2267.87,15.11,7.28,22.39,218.01,1455.37,466.67,2140.05,4430.32,220.44,5.88,23.41,28.44,28.82,306.98,218.99,302.9,33.79,11.6,874.25,25.02,1.1,544.93,2480.63,10.34,494.05,3556.06,4430.32,1336.67,47.89,225.84,315.05,0.0,226.42,25.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,315.96,315.96,1959.89,1959.89,2275.85,5.4,3.11,8.51,247.57,1676.45,476.11,2400.13,4684.49,215.88,2.33,33.67,18.34,27.4,297.62,273.98,296.92,39.88,28.02,936.42,46.06,6.9,414.15,2661.06,13.12,606.79,3748.07,4684.49,896.85,80.0,179.85,315.05,0.0,279.39,46.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,315.96,315.96,2029.5,2029.5,2345.46,11.15,3.27,14.42,279.66,1797.44,591.83,2668.93,5028.81,221.78,2.33,2.14,0.96,47.64,274.85,426.81,269.46,46.79,45.22,1063.13,50.0,6.62,666.15,2722.51,14.31,506.09,3965.68,5028.81,208.04,71.24,361.52,315.05,0.0,432.23,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,281.02,281.02,1419.99,1419.99,1701.01,4.9,3.41,8.31,413.47,1492.57,762.87,2668.91,4378.23,217.48,2.32,1.09,0.27,40.78,261.95,1147.93,333.64,57.31,61.61,1862.45,207.08,1.86,518.44,1258.54,15.88,513.99,2515.78,4378.23,281.91,90.79,344.07,168.47,0.0,1153.35,207.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,281.02,281.02,1644.03,1644.03,1925.05,2.77,3.26,6.04,319.48,1276.95,789.21,2385.65,4316.73,218.54,1.92,6.23,0.31,39.64,266.64,1236.82,337.47,61.76,70.05,1972.74,85.16,2.26,371.03,1320.13,12.03,553.37,2343.99,4316.73,1865.82,0.0,0.0,168.47,0.0,1242.24,85.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,281.02,281.02,1824.64,1824.64,2105.66,16.52,3.42,19.94,343.0,1309.75,733.55,2386.3,4511.9,235.89,2.29,25.92,0.0,38.51,302.61,1258.74,333.74,72.49,138.23,2105.81,145.42,1.09,352.94,1027.75,14.08,864.8,2406.08,4511.9,1511.97,83.33,236.74,168.47,0.0,1264.16,145.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,281.02,281.02,2030.26,2030.26,2311.28,32.55,3.54,36.09,440.55,1232.11,751.42,2424.08,4771.44,253.64,4.88,35.68,0.0,36.77,330.98,1376.41,345.1,95.92,31.82,2180.22,152.57,0.56,314.39,1143.35,18.59,961.75,2591.22,4771.44,1583.52,103.87,280.83,168.47,0.0,1381.83,152.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
