Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Other Assets,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Deferred Tax Liabilities [Net],Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Long Term Borrowings,Foreign Currency Monetary Item Translation Difference A/C,Short Term Borrowings,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods
2004-03-31,56.16,56.16,734.08,734.08,790.24,0.0,0.0,8.3,121.22,242.89,340.72,704.83,1503.36,41.32,5.58,0.4,0.0,0.0,47.3,136.58,17.44,0.0,27.63,228.95,0.0,12.61,183.9,664.39,341.16,72.36,1274.41,1503.36,8.15,231.27,58.45,55.19,136.92,10.39,0.0,0.0,8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,56.16,56.16,806.77,806.77,862.92,0.0,0.0,6.76,212.62,319.75,403.31,935.69,1805.37,34.3,6.29,0.9,0.0,0.0,41.49,137.25,39.94,0.0,17.06,235.74,0.0,17.25,322.83,629.34,382.06,218.14,1569.63,1805.37,9.9,161.45,78.35,55.19,132.09,11.06,0.0,0.0,6.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,56.16,56.16,894.18,894.18,950.34,0.0,0.0,5.87,167.13,210.13,453.59,830.85,1787.06,28.31,10.45,1.25,0.0,0.0,40.01,138.28,60.72,0.0,7.02,246.03,0.0,15.07,223.81,749.83,377.03,175.29,1541.02,1787.06,11.09,184.5,80.77,55.19,128.33,12.09,0.0,0.0,5.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,56.16,56.16,975.35,975.35,1031.5,0.0,0.0,5.54,84.41,438.57,390.59,913.56,1950.6,26.52,11.81,1.35,0.0,0.0,39.68,137.36,87.96,0.0,0.69,265.69,0.0,16.05,185.81,941.42,541.63,0.0,1684.92,1950.6,34.63,84.3,126.7,55.19,125.69,11.17,0.0,0.0,5.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,56.16,56.16,1095.89,1095.89,1152.05,0.0,0.0,5.82,75.27,722.07,458.05,1255.4,2413.26,30.15,16.74,3.47,0.0,0.0,50.36,146.81,101.73,0.0,0.4,299.3,0.0,31.93,176.55,1252.58,652.91,0.0,2113.96,2413.26,16.06,55.69,100.16,55.19,128.02,20.61,0.0,0.0,5.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,56.16,56.16,1319.18,1319.18,1375.34,0.0,0.0,6.91,163.98,1128.37,317.93,1610.29,2992.53,31.21,23.55,6.02,0.0,0.0,60.77,153.7,123.61,0.0,0.19,338.27,0.0,33.37,300.09,1894.16,426.64,0.0,2654.27,2992.53,8.62,165.89,121.44,55.19,0.0,153.7,0.0,0.0,6.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,56.16,56.16,1058.55,1058.55,1114.71,0.0,0.0,7.48,192.66,1207.75,318.4,1718.81,2840.99,31.2,28.85,11.85,0.0,0.0,71.89,100.73,148.99,0.0,0.0,321.61,0.0,43.19,316.74,1763.97,395.48,0.0,2519.38,2840.99,157.77,179.32,99.93,55.19,0.0,100.73,0.0,0.0,7.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,168.47,168.47,1273.65,1273.65,1442.12,4.67,16.35,21.02,307.17,1230.44,468.49,2006.1,3469.24,57.39,2.68,13.08,0.0,0.0,73.15,0.54,175.64,74.34,36.24,359.9,511.88,0.87,308.12,1728.46,224.74,335.27,3109.34,3469.24,692.49,238.25,92.69,167.5,0.0,3.23,476.09,42.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,168.47,168.47,1675.58,1675.58,1844.05,5.13,20.02,25.15,587.23,754.27,533.36,1874.86,3744.06,51.48,1.62,51.6,0.0,0.0,104.69,64.96,214.26,56.26,0.26,440.43,570.02,0.82,307.37,1643.14,185.09,597.19,3303.64,3744.06,853.77,460.68,116.08,167.5,59.0,11.22,568.78,11.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,168.47,168.47,2069.08,2069.08,2237.55,3.81,20.99,24.8,346.39,761.8,474.13,1582.32,3844.67,47.42,3.04,135.52,0.0,0.0,185.97,108.14,236.37,46.82,0.37,577.68,545.0,0.82,332.17,1848.02,63.35,477.63,3266.99,3844.67,640.1,317.2,156.81,167.5,90.0,23.34,563.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
