Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Total Non-Current Liabilities,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Other Assets,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Other Non-Current Assets,Total Non-Current Assets,Current Investments,Trade Receivables,Cash And Cash Equivalents,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Long Term Loans And Advances,Inventories,Short Term Loans And Advances,Trade/Other Goods,Capital Goods,Long Term Provisions,Raw Materials,Equity Share Application Money,Short Term Borrowings,Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Long Term Borrowings,Foreign Currency Monetary Item Translation Difference A/C,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,"Stores, Spares And Loose Tools"
2004-03-31,2.0,2.0,325.26,325.26,327.26,4.49,0.0,4.49,0.0,30.83,0.0,30.83,362.58,93.64,6.85,0.84,0.0,0.0,101.33,0.33,0.0,0.0,101.66,0.0,51.81,114.06,74.8,260.92,362.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,20.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,2.0,2.0,404.33,404.33,406.33,5.17,0.0,5.17,14.03,23.37,0.0,79.59,491.09,98.16,44.07,51.98,0.0,0.0,194.21,0.35,0.4,0.0,194.96,0.0,64.93,185.3,33.6,296.13,491.09,8.13,5.89,8.77,0.14,0.0,0.57,0.0,0.0,0.0,0.0,0.24,12.06,0.0,5.55,0.0,2.0,0.0,42.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,62.0,62.0,247.9,247.9,309.9,4.57,0.0,4.57,10.5,46.98,15.71,306.5,620.97,98.51,38.05,4.21,0.0,0.0,140.77,31.83,1.41,10.75,184.76,0.0,96.27,72.16,30.13,436.21,620.97,8.13,7.66,17.66,0.09,60.0,0.41,31.75,0.0,0.0,0.0,0.16,237.49,0.0,2.38,0.0,2.33,0.0,233.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,68.89,68.89,1120.43,1120.43,1189.32,1.32,0.0,1.32,29.3,86.09,46.69,162.08,1382.35,131.92,82.27,43.49,0.0,0.0,257.68,130.89,6.92,0.0,395.49,0.0,208.33,562.12,44.97,986.86,1382.35,186.04,0.08,34.04,0.38,60.0,0.59,130.81,0.0,0.0,0.0,10.38,161.06,0.0,4.92,0.0,1.46,29.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,197.04,197.04,1273.63,1273.63,1470.67,13.47,0.0,13.47,25.49,98.53,116.72,240.74,1724.88,252.33,109.11,131.92,0.0,0.0,493.36,258.48,12.33,0.0,764.17,0.0,247.48,416.66,46.39,960.71,1724.88,104.92,0.44,38.27,0.26,98.52,1.04,258.4,0.0,0.0,0.0,0.27,249.91,0.0,102.52,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,197.04,197.04,1595.47,1595.47,1792.51,37.71,0.0,37.71,38.2,125.31,46.73,210.24,2040.46,436.98,110.24,151.87,0.0,0.0,699.09,258.48,11.61,0.0,969.18,0.0,228.43,363.9,87.68,1071.28,2040.46,399.03,0.81,54.04,205.21,158.92,0.45,258.4,0.0,0.0,0.0,23.41,367.86,0.0,298.65,0.0,3.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,197.04,197.04,1817.97,1817.97,2015.01,46.18,0.0,46.18,25.4,129.61,276.71,431.72,2492.91,507.24,147.74,311.39,0.0,0.0,966.37,506.64,12.27,0.0,1485.28,0.0,300.18,424.2,122.3,1007.63,2492.91,272.37,23.95,56.03,0.0,158.92,1.35,459.96,0.0,0.0,0.0,0.33,160.62,0.0,40.74,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,197.04,197.04,2188.67,2188.67,2385.71,40.98,11.37,53.66,40.52,195.18,172.16,407.86,2847.23,794.01,290.89,7.87,0.0,0.0,1092.77,468.36,0.0,0.0,1703.28,72.81,388.05,584.4,75.09,1143.95,2847.23,72.44,0.0,0.0,69.0,158.92,0.0,468.36,2.09,72.67,142.15,0.75,22.85,0.25,102.82,1.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,197.04,197.04,2448.2,2448.2,2645.24,33.77,4.38,39.5,29.58,143.72,35.05,208.35,2893.09,770.57,292.49,1.13,0.0,0.0,1064.19,462.38,0.0,0.0,2004.29,15.16,464.91,289.91,68.04,888.8,2893.09,149.36,26.49,0.0,85.1,158.92,0.0,462.38,2.27,15.02,477.72,0.35,50.43,0.16,35.7,1.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,197.04,197.04,2695.81,2695.81,2892.85,28.44,4.17,34.33,29.62,151.41,93.63,274.66,3201.84,823.23,399.25,0.42,0.0,0.0,1222.9,462.38,0.0,0.0,2069.6,5.46,535.3,388.63,76.84,1132.24,3201.84,579.99,25.99,0.0,293.94,158.92,0.0,462.38,5.27,5.18,384.32,0.5,125.51,0.08,370.03,1.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
