Date,Net Sales/Income from operations,Total Income From Operations,Consumption of Raw Materials,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-09-30,433.34,433.34,0.0,42.89,113.84,61.44,215.17,9.61,224.78,0.5,224.28,0.0,224.28,72.63,151.65,151.65,197.04,3.85,3.85,9.06,23.0,26.91,88.69,68.29
2012-12-31,485.86,485.86,0.0,47.6,104.38,61.92,271.96,10.55,282.51,1.67,280.84,0.0,280.84,90.96,189.88,189.88,197.04,4.82,4.82,9.06,23.0,27.41,90.33,69.55
2013-03-31,472.67,472.67,0.0,44.45,101.69,79.65,246.88,21.63,268.51,2.42,266.09,0.0,266.09,88.59,177.5,177.5,197.04,4.5,4.5,9.06,23.0,28.5,93.91,72.31
2013-06-30,601.85,601.85,0.0,44.21,117.39,203.99,236.26,13.39,249.65,0.71,248.94,0.0,248.94,84.5,164.44,164.44,197.04,4.17,4.17,9.85,25.0,27.71,93.75,70.31
2013-09-30,466.41,466.41,0.0,48.27,117.56,80.46,220.12,37.8,257.92,0.9,257.02,0.0,257.02,87.86,169.16,169.16,197.04,4.29,4.29,9.85,25.0,27.71,93.75,70.31
2013-12-31,508.34,508.34,0.0,49.42,106.06,86.9,265.96,14.85,280.81,2.34,278.47,0.0,278.47,92.68,185.79,185.79,197.04,4.71,4.71,9.85,25.0,27.71,93.75,70.31
2014-03-31,520.18,520.18,0.0,50.63,112.33,69.52,287.7,13.17,300.87,0.59,300.28,0.0,300.28,102.71,197.57,197.57,197.04,5.01,5.01,9.85,25.0,27.67,93.61,70.2
2014-06-30,633.58,633.58,0.0,45.77,138.99,220.09,228.73,19.7,248.43,0.81,247.62,0.0,247.62,81.98,165.64,165.64,197.04,4.2,4.2,9.85,25.0,27.67,93.61,70.2
2014-09-30,509.02,509.02,0.0,50.13,185.01,63.08,210.8,22.2,233.0,0.46,232.54,0.0,232.54,78.07,154.47,154.47,197.04,3.92,3.92,9.85,25.0,27.67,93.61,70.2
2014-12-31,552.44,552.44,0.0,55.69,125.41,68.68,302.66,22.59,325.25,1.23,324.02,0.0,324.02,109.89,214.13,214.13,197.04,5.43,5.43,9.85,25.0,27.67,93.61,70.2
2015-03-31,548.58,548.58,0.0,52.16,138.42,73.16,284.84,23.44,308.28,0.47,307.81,0.0,307.81,104.82,202.99,202.99,197.04,5.15,5.15,9.85,25.0,26.57,89.89,67.42
2015-06-30,689.45,689.45,0.0,54.53,130.17,227.99,276.76,22.5,299.26,0.8,298.46,0.0,298.46,102.64,195.82,195.82,197.04,4.97,4.97,0.0,0.0,0.0,0.0,0.0
2015-09-30,567.55,567.55,0.0,59.27,117.58,77.76,312.94,27.36,340.3,0.07,340.23,0.0,340.23,118.16,222.07,222.07,197.04,5.64,5.64,0.0,0.0,0.0,0.0,0.0
2015-12-31,573.24,573.24,0.0,59.12,134.75,76.83,302.54,28.92,331.46,0.52,330.94,0.0,330.94,114.61,216.33,216.33,197.04,5.49,5.49,0.0,0.0,0.0,0.0,0.0
2016-03-31,564.97,564.97,0.0,63.07,102.52,80.74,318.64,28.83,347.47,0.83,346.64,17.97,364.61,129.14,235.47,235.47,197.04,5.98,5.98,0.0,0.0,0.0,0.0,0.0
2016-06-30,760.83,760.83,0.0,60.3,100.77,264.1,335.66,21.55,357.21,0.13,357.08,0.0,357.08,124.02,233.06,233.06,197.04,5.91,5.91,0.0,0.0,0.0,0.0,0.0
2016-09-30,625.49,625.49,0.0,71.83,103.03,87.34,363.29,48.8,412.09,0.22,411.87,0.0,411.87,141.52,270.35,270.35,197.04,6.86,6.86,0.0,0.0,0.0,0.0,0.0
2016-12-31,589.43,589.43,0.0,59.86,110.69,89.84,329.04,38.93,367.97,0.7,367.27,0.0,367.27,127.18,240.09,240.09,197.04,6.09,6.09,0.0,0.0,0.0,0.0,0.0
2017-03-31,582.5,582.5,0.0,64.28,76.65,124.58,316.99,37.35,354.34,0.21,354.13,0.0,354.13,118.22,235.91,235.91,197.04,5.99,5.99,0.0,0.0,0.0,0.0,0.0
2017-06-30,786.32,786.32,0.0,68.42,103.49,269.54,344.87,37.06,381.93,0.05,381.88,0.0,381.88,130.24,251.64,251.64,197.04,6.39,6.39,0.0,0.0,0.0,0.0,0.0
2017-09-30,675.9,675.9,0.0,77.39,102.69,102.42,393.4,37.23,430.63,0.06,430.57,0.0,430.57,145.9,284.67,284.67,197.04,7.22,7.22,0.0,0.0,0.0,0.0,0.0
2017-12-31,683.28,683.28,0.0,72.2,114.46,119.04,377.58,29.11,406.69,0.06,406.63,0.0,406.63,139.66,266.97,266.97,197.04,6.77,6.77,0.0,0.0,0.0,0.0,0.0
2018-03-31,716.95,716.95,0.0,76.09,119.04,118.46,403.36,36.84,440.2,0.88,439.32,0.0,439.32,149.56,289.76,289.76,197.04,7.35,7.35,0.0,0.0,0.0,0.0,0.0
2018-06-30,1120.39,1120.39,0.0,85.16,146.77,300.52,587.94,39.0,626.94,0.26,626.68,0.0,626.68,217.54,409.14,409.14,197.04,10.38,10.38,0.0,0.0,0.0,0.0,0.0
2018-09-30,749.55,749.55,0.0,73.47,81.89,122.11,472.08,62.12,534.2,0.57,533.63,0.0,533.63,182.31,351.32,351.32,197.04,8.91,8.91,0.0,0.0,0.0,0.0,0.0
2018-12-31,904.45,904.45,0.0,71.71,176.08,165.54,491.12,51.59,542.71,0.71,542.0,0.0,542.0,190.67,351.33,351.33,197.04,8.92,8.92,0.0,0.0,0.0,0.0,0.0
2019-03-31,888.88,888.88,0.0,70.26,241.93,210.22,366.47,67.27,433.74,0.11,433.63,0.0,433.63,150.56,283.07,283.07,197.04,7.18,7.18,0.0,0.0,0.0,0.0,0.0
2019-06-30,1101.36,1101.36,0.0,73.49,158.46,344.96,524.45,56.71,581.16,2.08,579.08,0.0,579.08,197.21,381.87,381.87,197.04,9.69,9.69,0.0,0.0,0.0,0.0,0.0
2019-09-30,795.58,795.58,0.0,74.84,144.41,252.0,324.33,72.14,396.47,1.98,394.49,0.0,394.49,27.98,366.51,366.51,197.04,9.3,9.3,0.0,0.0,0.0,0.0,0.0
2019-12-31,814.97,814.97,0.0,70.95,143.63,163.66,436.73,63.59,500.32,1.86,498.46,0.0,498.46,125.01,373.45,373.45,197.04,9.48,9.48,0.0,0.0,0.0,0.0,0.0
2020-03-31,735.16,735.16,92.2,73.11,232.83,66.34,270.68,57.03,327.71,1.86,325.85,0.0,325.85,75.85,250.0,250.0,197.04,6.34,6.34,0.0,0.0,0.0,0.0,0.0
2020-06-30,606.1,606.1,0.0,73.09,145.46,116.52,271.03,108.61,379.64,1.77,377.87,0.0,377.87,95.07,282.8,282.8,197.04,7.18,7.18,0.0,0.0,0.0,0.0,0.0
2020-09-30,756.16,756.16,0.0,72.38,91.28,181.75,410.75,51.55,462.3,1.56,460.74,0.0,460.74,114.83,345.91,345.91,197.04,8.77,8.77,0.0,0.0,0.0,0.0,0.0
