Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Equity Share Application Money,Long Term Borrowings,Other Long Term Liabilities,Total Non-Current Liabilities,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Total Non-Current Assets,Cash And Cash Equivalents,Short Term Loans And Advances,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Other Earnings,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Deferred Tax Liabilities [Net],Long Term Provisions,Foreign Currency Monetary Item Translation Difference A/C,Short Term Borrowings,Trade Payables,Intangible Assets Under Development,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Long Term Loans And Advances,Other Non-Current Assets,Current Investments,Inventories,Trade Receivables,OtherCurrentAssets,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods
2005-03-31,220.0,220.0,29.4,29.4,249.4,0.0,0.0,0.0,0.0,327.76,185.11,512.86,762.27,32.91,0.0,0.76,33.66,457.44,0.0,491.1,50.01,217.65,271.17,762.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,3.43,0.0,0.0,0.0,0.0
2006-03-31,245.0,245.0,127.92,127.92,372.92,0.0,0.0,0.0,0.0,830.94,391.37,1222.31,1595.23,46.44,0.0,0.86,47.3,862.6,0.0,909.9,107.79,558.14,685.33,1595.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.79,5.61,0.0,0.0,0.0,0.0
2007-03-31,335.71,335.71,457.0,457.0,792.7,150.0,0.0,0.0,0.0,1234.59,776.74,2011.33,2954.04,82.02,0.0,4.92,86.94,1710.47,12.32,1809.72,347.9,30.45,1144.32,2954.04,9.95,0.0,0.0,1448.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,765.97,0.0,0.0,0.0,0.0
2008-03-31,377.36,377.36,698.6,698.6,1075.96,0.0,0.0,0.0,0.0,1718.35,999.88,2718.23,3794.19,111.74,0.0,13.57,125.31,2373.76,29.82,2528.88,136.33,1128.97,1265.3,3794.19,18.68,0.0,0.0,1915.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,403.14,403.14,1199.51,1199.51,1602.65,0.02,-74.32,0.0,-74.32,2798.45,1157.41,3955.86,5484.2,156.77,0.0,0.0,156.77,3030.74,59.67,3247.18,73.05,2163.98,2237.03,5484.2,0.0,0.0,0.0,2575.53,2573.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,403.63,403.63,1269.49,1269.49,1673.12,0.19,119.13,0.0,119.13,3627.89,1265.94,4893.82,6686.26,143.34,0.0,0.0,143.34,3523.15,45.29,3711.77,286.26,2688.23,2974.49,6686.26,0.0,0.0,0.0,3125.86,3129.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,437.02,437.02,1397.79,1397.79,1834.8,100.44,0.0,0.0,0.0,7746.0,2187.46,9933.46,11868.7,390.34,0.0,10.09,400.43,7812.52,50.27,8263.22,269.62,3335.86,3605.47,11868.7,2934.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-03-31,445.06,445.06,2049.5,2049.5,2494.55,0.31,0.0,0.0,0.0,8727.76,2322.26,11050.02,13544.88,372.95,0.0,16.54,389.49,9308.98,41.39,9739.86,161.97,3643.05,3805.02,13544.88,3243.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,446.59,446.59,2732.68,2732.68,3179.28,0.2,0.0,0.0,0.0,7988.45,2505.78,10494.24,13673.72,381.0,0.0,8.66,389.66,10199.72,108.0,10697.38,141.69,2834.65,2976.34,13673.72,4157.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,447.54,447.54,3037.12,3037.12,3484.66,0.0,0.0,0.0,0.0,9075.37,3115.78,12191.15,15675.8,373.03,0.0,10.11,383.14,11562.52,134.19,12079.85,194.8,3401.15,3595.96,15675.8,5115.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
