Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Employees Cost,Admin. And Selling Expenses,Provisions And Contingencies,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",P/L Before Exceptional Items & Tax,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%)
2016-06-30,125.44,69.3,194.74,0.0,0.0,0.27,2.73,191.74,0.1,191.84,191.84,191.84,60.87,130.97,130.97,448.08,0.0,0.0,0.0,0.0,0.0
2016-09-30,1630.31,362.27,1992.58,108.28,0.0,-0.07,1663.75,220.62,23.27,243.89,243.89,243.89,72.94,170.95,170.95,448.08,2953.23,3.82,3.8,0.77,1.72
2016-12-31,1543.19,354.4,1897.59,109.12,0.0,1.17,1565.75,221.55,4.19,225.74,225.74,225.74,5.44,220.3,220.3,448.43,3122.14,4.92,4.89,0.0,0.0
2017-03-31,208.52,113.68,322.2,0.0,0.0,8.61,66.8,246.79,1.84,248.63,248.63,248.63,68.97,179.66,179.66,451.15,3274.14,0.0,0.0,0.0,0.0
2017-06-30,1533.78,465.06,1998.84,135.65,0.0,0.23,1567.38,295.58,4.84,300.42,300.42,300.42,86.31,214.11,214.11,452.93,3466.5,4.74,4.73,1.25,2.77
2017-09-30,1810.8,383.68,2194.48,113.47,0.0,3.58,1799.65,277.78,8.51,286.29,286.29,286.29,82.25,204.04,204.04,453.95,3684.59,4.51,4.5,20.01,44.08
2017-12-31,1750.51,360.48,2110.99,128.44,0.0,55.43,1618.68,308.44,13.91,322.35,322.35,322.35,90.59,231.76,231.76,453.95,3875.36,5.11,5.11,0.0,0.0
2018-03-31,1816.64,323.42,2140.06,116.04,0.0,8.67,1736.92,278.43,8.75,287.18,287.18,287.18,75.31,211.87,211.87,453.95,4087.21,4.67,4.67,0.0,0.0
2018-06-30,1844.89,517.38,2362.27,148.11,0.0,0.79,1785.93,427.44,15.79,443.23,443.23,443.23,153.94,289.29,289.29,453.96,4376.52,6.37,6.37,0.0,0.0
2018-09-30,2222.02,457.51,2679.53,150.17,0.0,-18.63,2111.81,436.18,12.84,449.02,449.02,449.02,155.92,293.1,293.1,454.06,4533.67,6.46,6.45,0.0,0.0
2018-12-31,2110.97,397.0,2507.97,142.3,0.0,2.06,2017.55,346.06,14.61,360.67,360.67,360.67,121.53,239.14,239.14,454.06,4635.96,5.27,5.26,0.0,0.0
2019-03-31,2197.47,423.64,2621.11,136.98,0.0,21.94,2153.31,308.88,36.61,345.49,345.49,345.49,117.76,227.73,227.73,454.31,4866.15,5.01,5.0,0.0,0.0
2019-06-30,2244.89,536.72,2781.61,174.41,0.0,8.7,2132.7,465.8,9.47,475.27,475.27,475.27,165.46,309.81,309.81,454.41,4985.22,6.82,6.8,0.0,0.0
2019-09-30,2356.92,497.2,2854.12,164.65,0.0,8.03,2224.51,456.93,4.13,461.06,461.06,461.06,153.15,307.91,307.91,454.43,5294.01,6.78,6.76,0.0,0.0
2019-12-31,2456.16,437.0,2893.16,168.44,0.0,25.77,2330.76,368.19,21.73,389.92,389.92,389.92,95.81,294.11,294.11,454.44,5396.85,6.47,6.45,0.0,0.0
2020-03-31,2345.55,536.02,2881.57,172.19,0.0,125.85,2299.87,283.66,86.98,370.64,370.64,370.64,88.71,281.93,281.93,454.47,5679.57,6.2,6.19,0.0,0.0
2020-06-30,2323.84,508.48,2832.32,203.89,0.0,5.66,2103.58,519.19,11.85,531.04,531.04,531.04,132.94,398.1,398.1,454.48,6078.05,8.76,8.74,0.0,0.0
2020-09-30,2462.52,532.18,2994.7,177.62,0.0,-66.86,2341.78,542.16,12.41,554.57,554.57,554.57,138.83,415.74,415.74,454.5,6495.45,9.15,9.12,0.0,0.0
2020-12-31,2611.41,581.78,3193.19,167.07,0.0,6.81,2606.76,412.55,5.68,418.23,418.23,418.23,104.7,313.53,313.53,454.53,6811.73,6.9,6.87,0.0,0.0
2021-03-31,2616.22,546.43,3162.65,191.63,0.0,7.75,2978.74,-15.47,465.58,450.11,450.11,450.11,104.43,345.68,345.68,454.59,6980.55,7.6,7.57,0.0,0.0
2021-06-30,3152.14,870.51,4022.65,253.81,0.0,-39.57,3560.8,247.61,10.65,258.26,258.26,258.26,63.96,194.3,194.3,454.65,7137.38,3.34,3.32,0.0,0.0
2021-09-30,3250.29,725.86,3976.15,246.35,0.0,5.23,3136.82,587.75,6.12,593.87,593.87,593.87,147.2,446.67,446.67,490.53,8157.94,9.11,9.06,0.0,0.0
2021-12-31,3311.88,695.05,4006.93,239.41,0.0,-0.14,3358.92,408.74,12.2,420.94,420.94,420.94,103.41,317.53,317.53,490.81,8300.61,6.47,6.44,0.0,0.0
2022-03-31,3317.78,702.58,4020.36,210.2,0.0,-10.7,4189.8,-368.94,779.39,410.45,410.45,410.45,97.94,312.51,312.51,490.89,8618.76,6.37,6.35,0.0,0.0
2022-06-30,3468.22,661.09,4129.31,279.01,0.0,2.96,3402.32,445.02,20.07,465.09,465.09,465.09,116.06,349.03,349.03,491.03,8981.03,7.11,7.09,0.0,0.0
2022-09-30,3836.55,832.23,4668.78,278.04,0.0,88.95,3727.85,573.94,35.73,609.67,609.67,609.67,19.14,590.53,590.53,491.1,9330.45,12.02,12.0,0.0,0.0
2022-12-31,3792.05,766.93,4558.98,273.07,0.0,0.86,3830.92,454.13,11.13,465.26,465.26,465.26,112.73,352.53,352.53,491.1,9462.23,7.18,7.17,0.0,0.0
2023-03-31,3726.03,792.69,4518.72,257.83,0.0,-8.93,4625.16,-355.34,927.85,572.51,572.51,572.51,135.55,436.96,436.96,491.13,9901.14,8.9,8.89,0.0,0.0
2023-06-30,3887.32,807.08,4694.4,312.49,49.5,-18.18,3859.8,490.79,29.22,520.01,520.01,520.01,129.65,390.36,390.36,491.2,10296.86,7.95,7.94,0.0,0.0
2023-09-30,4306.09,944.85,5250.94,305.96,42.77,40.99,4117.69,743.53,20.12,763.65,763.65,763.65,186.38,577.27,577.27,491.39,10621.43,11.75,11.7,0.0,0.0
