Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Employees Stock Options,Total Shareholders Funds,Long Term Borrowings,Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Other Earnings,Non-Current Investments Unquoted Book Value,Current Investments Unquoted Book Value,Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Deferred Tax Liabilities [Net],Foreign Currency Monetary Item Translation Difference A/C,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods
2018-03-31,16.04,16.04,219.0,219.0,0.0,235.03,0.0,0.0,5.47,5.47,66.52,2901.93,628.81,9.02,3606.27,3846.77,9.43,1.04,0.08,0.0,10.55,3.53,9.11,0.0,1.28,24.47,0.16,18.56,2206.36,39.75,304.84,1252.64,3822.3,3846.77,0.01,0.0,0.0,3.53,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,16.04,16.04,422.98,422.98,0.0,439.02,0.0,0.0,6.19,6.19,1174.62,2625.96,276.67,52.74,4129.99,4575.19,11.14,1.1,0.0,0.0,12.25,5.46,29.79,1.17,0.69,49.35,0.17,12.03,1725.43,314.77,1581.71,891.73,4525.84,4575.19,0.01,0.0,0.0,5.46,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,16.04,16.04,645.2,645.2,0.0,661.23,0.0,6.48,9.05,15.53,600.09,2306.14,224.46,67.38,3198.08,3874.84,26.44,1.76,2.42,0.32,30.95,3.68,26.93,1.44,3.81,66.81,0.46,14.51,1539.76,192.19,949.19,1111.93,3808.03,3874.84,1142.54,1564.7,1833.67,3.68,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,16.04,16.04,495.94,495.94,0.0,511.98,0.0,6.08,20.56,26.64,385.73,2379.75,379.03,93.16,3237.67,3776.29,25.67,7.84,0.01,0.32,33.84,371.21,80.86,0.77,43.62,530.3,0.0,3.09,769.99,168.54,560.19,1744.18,3245.99,3776.29,1297.07,1047.55,808.73,371.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,18.97,18.97,1478.55,1478.55,3.71,1501.23,0.0,5.57,20.56,26.13,353.23,1443.38,493.27,155.51,2445.39,3972.75,21.26,6.56,0.0,0.32,28.14,371.21,105.73,0.0,48.83,553.91,0.0,3.9,589.78,380.45,153.96,2290.75,3418.84,3972.75,2382.31,654.16,845.99,371.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,18.97,18.97,1142.98,1142.98,7.03,1168.98,700.0,10.13,14.02,724.15,1140.18,328.91,666.87,27.89,2163.85,4056.98,27.74,5.53,0.0,0.0,33.27,371.21,100.6,0.0,74.26,579.34,0.0,1.57,546.08,58.73,1262.14,1609.12,3477.64,4056.98,2593.21,573.95,615.15,371.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,23.32,23.32,2656.57,2656.57,0.67,2680.56,246.21,28.68,16.51,291.4,230.45,1232.26,1216.65,35.78,2715.14,5687.1,42.17,4.59,0.0,0.0,46.76,371.21,68.36,1507.44,59.46,2053.23,0.0,1.14,650.05,285.31,499.62,2197.75,3633.87,5687.1,684.56,41.13,57.28,371.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-31,23.35,23.35,2983.31,2983.31,0.0,3006.66,523.79,49.7,40.64,614.13,377.68,2200.26,796.34,5.71,3379.99,7000.78,35.29,3.79,0.0,0.0,39.08,804.28,22.9,1521.41,406.47,2794.14,0.01,2.61,1098.76,468.25,181.92,2455.09,4206.64,7000.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
