Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,Admin. And Selling Expenses,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Prior Year Adjustments,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-12-31,203.78,0.74,204.52,67.04,59.24,-15.11,22.69,3.25,10.69,23.46,33.26,17.25,50.51,17.19,33.32,0.0,33.32,7.26,26.06,0.0,26.06,16.13,1.62,1.62,5.57,34.54,10.56,100.0,65.46
2013-03-31,272.12,0.4,272.52,89.41,70.06,-4.1,22.99,15.76,21.8,38.59,18.02,13.14,31.15,17.51,13.65,0.0,13.65,0.0,13.65,-1.83,11.82,16.13,0.71,0.71,5.55,34.43,10.57,100.0,65.57
2013-06-30,318.19,0.96,319.15,112.18,50.38,5.55,30.49,15.18,38.68,33.26,33.43,12.86,46.29,16.66,29.63,-0.93,28.7,0.0,28.7,0.0,28.7,16.6,1.73,1.73,6.03,36.31,10.57,100.0,63.69
2013-09-30,305.92,0.17,306.09,70.81,87.65,4.04,28.56,15.45,29.6,42.77,27.21,13.15,40.36,17.93,22.43,-1.37,21.06,0.0,21.06,-0.19,20.87,16.6,1.26,1.26,6.03,36.31,10.57,100.0,63.69
2013-12-31,296.99,0.44,297.43,87.82,80.66,-11.24,28.78,15.57,27.48,41.53,26.83,15.01,41.84,14.47,27.38,0.0,27.38,0.0,27.38,0.0,27.38,18.1,1.63,1.63,6.03,33.3,7.02,58.18,38.8
2014-03-31,329.91,3.5,333.41,118.08,63.57,7.12,30.82,15.41,39.6,40.82,18.0,15.22,33.22,4.05,29.17,0.0,29.17,0.0,29.17,0.0,29.17,18.1,1.71,1.71,6.01,33.22,7.04,58.22,38.88
2014-06-30,354.89,0.34,355.23,120.02,75.88,-8.87,33.02,17.38,37.46,43.18,37.18,17.51,54.69,2.93,51.76,0.0,51.76,0.0,51.76,0.0,51.76,18.1,2.86,2.86,6.01,33.22,7.04,58.22,38.88
2014-09-30,354.78,0.44,355.22,108.79,85.36,-1.94,37.64,18.04,44.02,46.42,16.89,19.09,35.98,2.96,33.01,0.0,33.01,0.0,33.01,0.0,33.01,18.1,1.82,1.82,6.01,33.22,7.04,58.22,38.88
2014-12-31,340.06,4.24,344.3,131.08,71.65,-25.23,43.05,17.29,42.1,46.12,18.25,14.6,32.85,3.15,29.7,0.0,29.7,0.0,29.7,0.0,29.7,18.1,1.64,1.63,6.01,33.22,7.65,63.27,42.25
2015-03-31,378.53,4.54,383.08,96.47,85.02,22.43,31.23,17.66,47.14,60.33,22.79,14.73,37.52,2.99,34.54,-2.09,32.44,4.13,28.32,0.0,28.32,18.1,1.56,1.55,6.01,33.22,7.65,63.27,42.25
2015-06-30,398.0,0.36,398.36,118.38,73.88,5.87,34.8,16.72,48.77,60.14,39.8,17.27,57.07,2.74,54.33,0.0,54.33,7.6,46.73,0.0,46.73,18.1,2.58,2.55,6.01,33.22,7.65,63.27,42.25
2015-09-30,383.16,0.72,383.88,133.19,73.5,-14.0,35.1,46.01,16.81,61.6,31.67,14.18,45.85,1.36,44.49,0.0,44.49,6.29,38.2,0.0,38.2,18.11,2.11,2.08,6.02,33.26,7.95,65.75,43.88
2015-12-31,365.83,0.68,366.51,113.75,70.07,-1.4,35.44,16.93,47.45,51.35,32.92,12.6,45.52,0.59,44.93,0.0,44.93,6.24,38.69,0.0,38.69,18.11,2.14,2.1,0.0,0.0,0.0,0.0,0.0
2016-03-31,426.52,0.14,426.66,121.09,89.67,10.69,33.06,17.48,47.64,61.69,45.34,12.48,57.82,0.17,57.65,0.0,57.65,18.92,38.73,0.0,38.73,18.11,2.14,2.11,0.0,0.0,0.0,0.0,0.0
