Date,(a) Int. /Disc. on Adv/Bills,(b) Income on Investment,(c) Int. on balances With RBI,(d) Others,Other Income,Interest Expended,Employees Cost,Other Expenses,Operating Profit before Provisions and contingencies,Provisions And Contingencies,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,a) % of Share by Govt.,b) Capital Adequacy Ratio - Basel -I,c) Capital Adequacy Ratio - Basel -II,Basic EPS,Diluted EPS,i) Gross NPA,ii) Net NPA,i) % of Gross NPA,ii) % of Net NPA,Return on Assets %,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-12-31,6485.32,1897.92,403.21,58.47,840.59,6004.02,798.15,627.36,2255.98,1029.31,-12.44,1214.23,202.61,1011.62,1011.62,412.38,25890.79,54.31,0.0,12.66,24.61,24.61,7321.45,3363.23,2.41,1.12,0.84,18.78,45.69,22.33,100.0,54.31
2013-03-31,6516.36,1984.1,413.13,157.98,1190.93,6257.58,1139.3,683.58,2182.04,1598.4,-37.31,546.33,-482.52,1028.85,1028.85,422.52,0.0,55.41,13.3,0.0,24.99,24.99,7982.58,4192.02,2.4,1.28,0.79,18.78,44.59,23.34,100.0,55.41
2013-06-30,6668.59,2100.71,511.82,205.82,1230.55,6597.84,1013.98,654.05,2451.62,1017.86,-15.55,1418.21,250.34,1167.87,1167.87,422.52,0.0,5541.0,0.0,12.7,27.72,27.72,9762.55,5440.67,2.99,1.69,0.85,18.78,44.59,23.34,100.0,55.41
2013-09-30,6832.31,2220.27,281.32,139.55,973.86,6578.66,1030.15,713.92,2124.58,860.83,-15.55,1248.2,80.1,1168.1,1168.1,422.52,30442.66,55.41,0.0,12.32,27.73,27.73,10887.92,6315.5,3.15,1.86,0.84,18.78,44.59,23.34,100.0,55.41
2013-12-31,7061.01,2175.05,245.22,209.45,932.07,6633.59,1055.71,736.03,2197.47,761.87,-15.55,1420.05,372.21,1047.84,1047.84,422.52,30442.66,55.41,0.0,12.26,24.87,24.87,11925.76,6623.6,3.32,1.88,0.73,18.78,44.59,23.34,100.0,55.41
2014-03-31,7316.18,2199.96,495.5,276.95,1326.26,7164.27,1039.89,831.14,2579.55,1153.15,-15.55,1410.85,253.58,1157.27,1157.27,430.68,0.0,56.26,0.0,12.87,27.05,27.05,11875.9,6034.76,2.94,1.52,0.74,18.78,43.74,24.16,100.0,56.26
2014-06-30,7740.35,2260.53,453.09,203.99,1024.54,7329.65,1105.5,767.75,2479.6,526.71,0.0,1952.89,591.01,1361.88,1361.88,430.68,0.0,56.26,0.0,12.5,31.71,31.71,12086.81,6020.78,3.11,1.58,0.83,18.78,43.74,24.16,100.0,56.26
2014-09-30,7807.42,2348.21,443.42,226.62,991.65,7424.56,1107.83,882.0,2402.93,888.04,0.0,1514.89,410.67,1104.22,1104.22,430.68,0.0,56.26,0.0,12.69,25.71,25.71,13057.57,6704.51,3.32,1.74,0.68,18.78,43.74,24.16,100.0,56.26
2014-12-31,7715.29,2463.57,366.65,172.48,1090.35,7431.85,1119.78,917.67,2339.04,1262.25,0.0,1076.79,742.81,333.98,333.98,430.68,0.0,56.26,0.0,12.94,7.78,7.78,15452.96,8291.25,3.85,2.11,0.2,18.78,43.74,24.16,100.0,56.26
2015-03-31,7539.62,2628.76,286.63,306.92,1295.46,7590.26,928.24,845.36,2693.53,1817.5,0.0,876.03,277.68,598.35,598.35,443.56,0.0,57.53,0.0,13.33,2.79,2.79,16261.45,8069.49,3.72,1.89,0.35,93.92,42.47,127.23,100.0,57.53
