Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total ShareHolders Funds,Deposits,Borrowings,Other Liabilities and Provisions,Total Capital and Liabilities,Cash and Balances with Reserve Bank of India,Balances with Banks Money at Call and Short Notice,Investments,Advances,Fixed Assets,Other Assets,Total Assets,Number of Branches,Number of Employees,Capital Adequacy Ratios (%),Tier 1 (%),Tier 2 (%),Gross NPA,Gross NPA (%),Net NPA,Net NPA (%),Net NPA To Advances (%),Bills for Collection,Contingent Liabilities,Equity Share Application Money,Preference Share Capital,Revaluation Reserve,Money Against Share Warrants,Employees Stock Options,Preference Share Application Money,Share Capital Suspense
2011-03-31,392.81,392.81,20650.73,20650.73,21043.53,305439.48,22307.85,9606.31,358397.18,19868.18,30065.89,71396.59,228676.36,2299.72,6090.44,358397.18,3418.0,39385.0,15.0,10.0,5.0,3152.5,1.0,790.88,0.0,0.0,18844.72,127163.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,412.38,412.38,27064.47,27064.47,27476.85,384871.11,23573.05,11400.46,447321.47,21651.46,42517.08,83209.4,287377.29,2341.5,10224.73,447321.47,3959.0,42175.0,15.0,11.0,4.0,4464.75,2.0,1543.64,1.0,1.0,22766.99,152502.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,422.52,422.52,31546.92,31546.92,31969.44,473883.34,26579.28,14703.38,547135.44,13452.08,71946.83,121393.72,328185.76,2453.12,9703.93,547135.44,4336.0,43108.0,13.0,10.0,3.0,7982.58,2.0,4192.03,1.0,1.0,25952.24,204628.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-03-31,430.68,430.68,35555.0,35555.0,35985.68,568894.39,36812.97,17811.5,659504.53,18629.09,112248.82,116112.66,397005.81,2734.12,12774.03,659504.53,4934.0,46001.0,12.28,9.28,3.0,11875.9,3.0,6034.76,1.52,2.0,31864.92,259912.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,443.56,443.56,39391.79,39391.79,39835.35,617559.52,35264.28,22329.4,714988.55,22488.6,125864.55,122319.72,428065.14,2874.85,13375.69,714988.55,5294.0,49378.0,12.6,9.87,2.74,16261.44,4.0,8069.49,1.89,2.0,37608.06,246384.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,462.09,462.09,39736.89,39736.89,40198.99,574037.87,33471.7,23667.92,671376.48,21672.42,112227.93,120450.52,383770.18,6253.78,27001.65,671376.48,5436.0,52021.0,13.17,10.79,2.39,40521.04,10.0,19046.46,5.06,5.0,32343.74,261320.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,462.09,462.09,39841.16,39841.16,40303.25,601675.17,30611.44,22285.56,694875.42,22780.21,127689.7,129630.54,383259.22,5758.37,25757.37,694875.42,5481.0,52420.0,13.17,10.79,2.38,42719.0,10.0,18080.0,4.72,5.0,37599.42,290118.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,530.36,530.36,42864.41,42864.41,43394.77,591314.82,62571.97,22718.21,719999.77,22699.64,70197.74,163184.53,427431.83,5367.39,31118.64,719999.77,5467.0,55000.0,12.13,10.46,1.67,56480.0,12.0,23483.0,5.49,5.0,45779.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,530.36,530.36,45410.73,45410.73,45941.1,638689.72,67201.3,24113.29,780987.4,26661.73,62567.89,182298.08,468818.74,6990.3,33650.68,780987.4,5598.0,55754.0,13.42,11.55,1.87,48232.76,10.0,15609.5,3.33,3.0,49059.93,380312.98,5042.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,925.37,925.37,70930.84,70930.84,71856.22,945984.43,93069.31,47005.56,1157915.52,32645.85,89255.27,274614.61,690120.73,8889.29,62389.76,1157915.52,9528.0,84283.0,13.3,10.71,2.59,69381.43,9.0,21576.6,3.13,3.0,52009.74,320747.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,1035.53,1035.53,76010.19,76010.19,77045.72,966996.93,66847.93,44474.19,1155364.77,38841.04,81571.78,261220.27,706300.51,8016.25,59414.93,1155364.77,8310.0,82000.0,14.99,12.67,2.32,66671.0,9.0,21800.0,3.09,3.0,65233.83,395655.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,1035.53,1035.53,85727.46,85727.46,86762.99,1045938.56,103899.29,41398.99,1277999.83,55184.4,67470.59,315795.39,777155.18,9921.9,52472.37,1277999.83,0.0,0.0,0.12,0.0,0.0,54059.39,0.0,13364.65,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,1035.53,1035.53,97187.36,97187.36,98222.89,1203687.79,101910.48,54740.38,1458561.54,54882.63,40820.61,362485.36,940998.27,8706.57,50668.1,1458561.54,0.0,0.0,16.24,0.0,0.0,36763.68,4.0,8384.32,0.89,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,1035.53,1035.53,111188.05,111188.05,112223.59,1326957.84,94402.26,52213.4,1585797.09,54839.83,40284.3,369816.84,1065781.72,7912.55,47161.85,1585797.09,8243.0,74227.0,16.31,14.07,2.24,31833.63,2.92,7213.34,0.68,0.68,61716.51,576809.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-31,1035.53,1035.53,135890.15,135890.15,136925.68,1472034.85,123716.18,48570.61,1781247.32,56068.49,69780.71,385398.45,1209557.9,12376.26,48065.51,1781247.32,0.0,0.0,17.19,0.0,0.0,27834.88,2.26,6994.24,0.58,1.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
