Date,Net Sales/Income from operations,Total Income From Operations,Consumption of Raw Materials,Increase/Decrease in Stocks,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS
2021-12-31,166.0,166.0,121.58,-3.1,14.68,3.21,13.6,16.04,1.26,17.3,6.2,11.1,11.1,3.32,7.78,7.78,7.69,1.87,1.68
2022-03-31,22.82,22.82,15.72,0.06,1.49,0.35,1.83,3.37,-0.01,3.36,0.68,2.68,2.68,0.85,1.83,1.83,4.62,4.39,3.94
2022-06-30,191.67,191.67,153.08,-17.97,16.47,4.3,13.91,21.87,0.93,22.8,7.13,15.67,15.67,3.42,12.25,12.25,46.16,2.65,2.65
2022-09-30,262.63,262.63,185.45,1.02,16.5,4.35,18.98,36.33,0.34,36.67,10.19,26.48,26.48,7.49,18.99,18.99,46.16,4.11,4.06
2022-12-31,276.0,276.0,231.43,-34.33,17.73,4.41,23.44,33.32,3.51,36.83,9.06,27.77,27.77,7.07,20.7,20.7,58.14,4.32,4.27
2023-03-31,356.26,356.26,257.25,-15.87,24.39,4.61,35.29,50.6,5.93,56.53,8.01,48.52,48.52,9.9,38.61,38.61,58.14,8.15,8.06
2023-06-30,290.59,290.59,202.76,1.47,21.22,4.85,25.73,34.56,8.49,43.05,11.14,31.91,31.91,6.72,25.19,25.19,58.14,4.33,4.33
2023-09-30,291.55,291.55,217.98,-13.39,20.97,5.77,27.45,32.76,10.13,42.89,11.95,30.94,30.94,5.52,25.41,25.41,58.14,4.37,4.37
2023-12-31,317.17,317.17,226.21,2.18,21.8,5.21,25.3,36.46,12.29,48.75,15.75,33.01,33.01,7.21,25.79,25.79,63.92,4.4,4.23
2024-03-31,374.63,374.63,286.1,-11.73,24.11,5.61,24.38,46.17,33.29,79.46,14.71,64.75,64.75,15.05,49.7,49.7,63.92,8.0,7.9
2024-06-30,350.16,350.16,257.34,-8.77,24.56,6.26,28.72,42.05,35.94,77.99,19.11,58.88,58.88,10.37,48.51,48.51,63.92,7.59,7.5
2024-09-30,432.84,432.84,304.64,-4.36,27.74,6.39,31.87,66.56,39.35,105.92,20.03,85.89,85.89,23.32,62.57,62.57,64.01,9.77,9.68
2024-12-31,395.9,395.9,294.0,-11.37,30.7,6.88,33.98,41.69,34.54,76.23,23.65,52.59,52.59,14.55,38.04,38.04,64.01,5.95,5.88
2025-03-31,736.55,736.55,539.81,26.0,29.97,7.24,57.05,76.47,26.09,102.56,24.95,77.62,77.62,17.21,60.41,60.41,64.08,9.5,9.45
