Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Employees Stock Options,Total Shareholders Funds,Equity Share Application Money,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Other Assets,Fixed Assets,Non-Current Investments,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Raw Materials,Expenditure In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Long Term Borrowings,Long Term Loans And Advances,Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Intangible Assets Under Development,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Deferred Tax Assets [Net],"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods
2013-03-31,70.6,70.6,1222.93,1222.93,0.0,1293.53,0.0,20.19,0.59,0.0,20.78,543.63,628.81,111.64,6.99,1291.07,2605.38,558.41,1.97,0.0,0.0,721.77,12.73,5.34,880.44,0.0,609.66,987.39,34.3,90.87,2.73,1724.94,2605.38,0.0,0.0,13.51,0.0,41.48,0.0,0.0,12.71,0.0,0.0,140.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,454.26,0.0
2014-03-31,70.6,70.6,1294.18,1294.18,0.0,1364.78,0.0,24.88,0.0,3.2,28.08,444.91,614.55,90.59,29.23,1179.28,2572.13,691.4,1.24,113.46,0.0,806.09,12.93,6.7,945.38,0.0,578.03,824.41,27.09,185.34,11.89,1626.75,2572.13,505.56,630.46,6.57,267.29,8.15,0.0,0.07,12.91,0.0,0.0,119.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.65,0.0,10.73
2015-03-31,141.21,141.21,1484.14,1484.14,0.0,1625.35,0.0,21.96,0.0,6.28,28.24,545.45,979.73,87.19,59.32,1671.69,3325.28,817.32,5.09,179.21,0.0,1001.62,1.98,8.0,1065.05,0.0,904.61,1080.98,23.27,231.75,19.61,2260.23,3325.28,313.24,736.52,9.65,267.08,6.0,70.6,0.08,1.96,0.0,0.0,53.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.06,0.0,55.82
2016-03-31,141.21,141.21,1637.87,1637.87,0.0,1779.08,0.0,21.08,10.34,7.1,137.95,694.79,1068.73,173.37,24.27,1961.15,3878.19,977.76,6.66,131.67,0.0,1116.08,4.25,99.14,1219.48,0.0,979.94,1353.92,44.89,12.86,267.1,2658.71,3878.19,644.9,0.0,0.0,0.0,0.0,70.6,0.0,0.09,0.0,99.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,141.21,141.21,1853.03,1853.03,0.0,1994.24,0.0,65.72,19.46,9.02,247.78,657.37,1351.42,281.63,28.34,2318.76,4560.78,1106.53,6.02,164.88,0.0,1277.43,37.0,145.57,1459.99,0.0,1517.32,1198.21,28.11,2.19,354.95,3100.79,4560.78,654.25,0.0,0.0,0.0,0.0,70.6,0.0,0.11,0.0,153.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,141.21,141.21,2206.62,2206.62,0.0,2347.82,0.0,55.22,18.22,9.51,234.72,566.9,914.48,322.03,37.58,1840.99,4423.53,1177.23,2.7,135.4,0.0,1315.33,38.6,155.15,1509.09,0.0,1355.9,1291.24,9.16,16.88,241.26,2914.44,4423.53,644.65,0.0,0.0,0.0,0.0,70.6,0.0,0.14,0.0,151.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,141.21,141.21,2707.74,2707.74,0.0,2848.94,0.0,22.78,25.7,16.19,143.26,102.35,1509.9,970.15,20.82,2603.22,5595.42,1251.51,3.5,185.87,0.0,1440.87,42.69,199.67,1688.2,0.0,1980.43,1341.59,315.32,16.82,253.05,3907.22,5595.42,425.27,0.0,3551.93,0.0,243.65,70.6,0.0,42.69,0.0,78.58,4.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,148.88,148.88,3664.55,3664.55,24.15,3837.57,2.72,17.36,47.01,25.58,92.94,111.45,1344.71,515.04,23.78,1994.98,5928.21,1393.4,1.68,240.97,0.0,1636.05,46.19,215.53,1902.97,40.0,1906.32,1439.4,277.06,19.8,342.66,4025.24,5928.21,374.49,2903.51,19.03,0.0,1081.96,70.6,0.0,46.19,40.0,2.99,5.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,149.12,149.12,4528.92,4528.92,28.69,4706.73,0.5,33.76,43.04,24.78,101.59,88.88,1306.14,499.54,23.51,1918.08,6726.89,1578.7,1.96,98.47,0.0,1679.12,73.85,256.22,2009.19,623.13,1951.18,1431.22,487.89,49.75,174.54,4717.7,6726.89,604.48,2456.89,14.35,0.0,718.28,70.6,0.0,73.85,623.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,149.44,149.44,5336.31,5336.31,34.35,5520.1,0.8,24.06,44.7,25.57,94.32,76.54,1179.36,410.94,25.24,1692.07,7307.3,1618.22,0.9,374.48,0.0,1993.6,49.15,197.93,2240.68,764.05,2147.3,1292.54,390.52,17.41,454.8,5066.62,7307.3,302.37,3426.2,8.45,0.0,838.16,70.6,0.0,49.15,764.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
