Date,Net Sales/Income from operations,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,Admin. And Selling Expenses,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,Basic EPS,Diluted EPS
2018-03-31,2100.24,2100.24,1266.62,100.52,122.51,67.77,33.53,0.0,200.39,308.9,17.92,326.82,38.62,288.2,0.0,288.2,101.72,186.48,186.48,141.21,2206.62,13.21,13.21
2018-06-30,1677.91,1677.91,1227.41,65.28,-63.87,70.48,34.86,0.0,206.76,136.98,22.75,159.73,36.94,122.8,0.0,122.8,42.96,79.84,79.84,141.21,2286.66,5.65,5.65
2018-09-30,1807.37,1807.37,1203.32,94.44,12.56,77.34,36.03,0.0,215.68,168.0,9.22,177.21,35.9,141.32,0.0,141.32,48.85,92.47,92.47,141.21,0.0,6.55,6.55
2018-12-31,1994.09,1994.09,1549.59,75.88,-246.6,85.76,35.26,0.0,211.01,283.19,25.43,308.62,16.9,291.72,0.0,291.72,98.05,193.68,193.68,141.21,2581.91,13.72,13.72
2019-03-31,2431.19,2431.19,1483.1,88.12,192.22,63.41,33.93,0.0,379.75,190.67,36.13,226.8,26.04,200.75,0.0,200.75,65.29,135.46,135.46,141.21,2707.74,9.59,9.59
2019-06-30,1921.47,1921.47,1316.24,101.75,-72.84,90.89,38.01,0.0,283.08,164.35,51.78,216.13,12.01,204.12,0.0,204.12,70.61,133.51,133.51,148.65,3182.3,9.06,9.05
2019-09-30,2239.85,2239.85,1582.35,113.31,-132.1,91.61,39.12,13.99,304.26,227.31,12.75,240.06,12.33,227.73,0.0,227.73,35.57,192.16,192.16,148.65,0.0,12.94,12.92
2019-12-31,2503.47,2503.47,1634.74,100.82,15.47,90.58,40.22,37.6,291.95,292.1,0.58,292.67,8.1,284.58,0.0,284.58,68.42,216.16,216.16,148.83,0.0,14.55,14.5
2020-03-31,2123.78,2123.78,1362.67,89.8,-47.4,88.64,41.74,18.5,314.03,255.8,46.69,302.5,15.47,287.03,0.0,287.03,67.9,219.13,219.13,148.88,0.0,14.73,14.63
2020-06-30,992.22,992.22,512.91,41.64,146.31,79.45,41.93,3.17,152.87,13.95,34.3,48.25,13.31,34.94,0.0,34.94,-77.33,112.28,112.28,148.93,0.0,7.54,7.52
2020-09-30,2094.96,2094.96,1346.51,173.53,-33.35,86.52,42.24,0.0,224.81,254.71,30.03,284.74,8.88,275.86,0.0,275.86,63.76,212.09,212.09,148.98,0.0,14.24,14.18
2020-12-31,2747.24,2747.24,1837.55,230.24,8.29,86.93,44.42,0.0,236.37,303.44,32.69,336.13,6.15,329.98,0.0,329.98,85.85,244.13,244.13,149.07,0.0,16.38,16.31
2021-03-31,2901.94,2901.94,2001.19,178.64,-51.07,96.4,45.42,14.41,272.18,344.77,22.7,367.47,12.79,354.69,0.0,354.69,91.85,262.84,262.84,149.12,0.0,17.63,17.56
2021-06-30,1839.65,1839.65,1684.76,120.48,-416.51,92.21,48.67,7.84,222.18,80.03,26.28,106.32,9.38,96.94,0.0,96.94,21.88,75.06,75.06,149.16,0.0,5.03,5.01
2021-09-30,2990.22,2990.22,2097.94,140.51,75.13,101.96,49.46,14.15,271.29,239.79,25.73,265.52,4.57,260.95,0.0,260.95,62.95,198.0,198.0,149.26,0.0,13.27,13.2
2021-12-31,3341.45,3341.45,2545.31,223.9,-198.07,99.46,49.89,43.38,271.82,305.77,21.35,327.12,7.45,319.67,124.33,444.0,105.99,338.01,338.01,149.39,0.0,22.63,22.6
2022-03-31,3926.59,3926.59,2848.53,115.13,70.83,101.21,48.55,16.52,307.99,417.84,17.14,434.98,12.03,422.95,0.0,422.95,102.75,320.2,320.2,149.44,0.0,21.44,21.35
2022-06-30,2698.79,2698.79,2079.98,142.15,-216.09,106.71,49.34,19.39,264.8,252.52,44.27,296.78,7.99,288.79,0.0,288.79,70.39,218.4,218.4,149.61,0.0,14.61,14.56
2022-09-30,3260.48,3260.48,2143.81,123.95,120.71,111.2,50.57,16.77,330.02,363.44,-1.81,361.64,13.4,348.24,0.0,348.24,85.49,262.74,262.74,149.65,0.0,17.56,17.5
2022-12-31,3664.9,3664.9,2611.82,74.12,1.17,109.48,50.74,63.41,309.97,444.18,39.61,483.79,8.14,475.65,0.0,475.65,118.05,357.6,357.6,149.71,0.0,23.89,23.81
2023-03-31,4287.41,4287.41,2908.53,116.09,153.24,115.47,51.73,24.12,369.69,548.53,54.02,602.55,26.53,576.02,0.0,576.02,143.17,432.84,432.84,149.77,0.0,28.91,28.83
2023-06-30,3849.0,3849.0,2823.34,114.14,-132.97,130.23,55.37,26.2,343.07,489.61,64.52,554.13,23.68,530.45,0.0,530.45,126.98,403.47,403.47,149.87,0.0,26.94,26.85
2023-09-30,4256.13,4256.13,3254.61,85.7,-273.75,150.58,57.96,0.0,408.3,572.74,35.52,608.26,23.99,584.27,0.0,584.27,134.51,449.76,449.76,150.01,0.0,30.0,29.87
2023-12-31,4512.92,4512.92,3052.63,70.42,71.31,143.34,59.52,0.0,553.95,561.74,70.94,632.68,30.19,602.49,0.0,602.49,143.21,459.28,459.28,150.16,0.0,30.59,30.49
2024-03-31,5432.7,5432.7,3537.59,79.88,242.13,162.14,63.47,0.0,774.05,573.44,52.05,625.49,22.59,602.89,0.0,602.89,144.75,458.14,458.14,150.24,0.0,30.51,30.42
2024-06-30,4601.48,4601.48,3921.9,107.41,-826.45,145.62,64.74,0.0,693.89,494.35,59.72,554.07,39.34,514.74,0.0,514.74,127.07,387.67,387.67,150.3,0.0,25.8,25.71
2024-09-30,5365.99,5365.99,3305.25,85.43,423.61,169.65,69.49,0.0,776.95,535.63,77.63,613.26,42.39,570.87,0.0,570.87,140.22,430.65,430.65,150.39,0.0,28.64,28.53
2024-12-31,5105.25,5105.25,3791.55,108.39,-373.8,185.96,75.5,0.0,693.87,623.8,24.61,648.41,47.65,600.76,0.0,600.76,147.81,452.96,452.96,150.42,0.0,30.12,30.0
2025-03-31,6841.22,6841.22,4387.03,77.19,251.39,188.42,77.02,28.64,906.82,924.71,56.94,981.66,29.47,952.18,0.0,952.18,221.49,730.69,730.69,150.43,0.0,48.58,48.39
