Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS
2015-06-30,510.96,2.84,513.8,0.0,0.0,-0.01,12.44,19.96,374.88,106.53,11.49,118.02,0.36,117.66,117.66,39.79,77.87,77.87,89.34,7.88,7.88
2015-09-30,536.57,2.67,539.24,0.0,0.0,0.02,15.61,20.89,403.91,98.81,11.35,110.16,0.52,109.64,109.64,37.07,72.57,72.57,89.34,7.35,7.35
2015-12-31,511.96,3.05,515.01,0.0,1229.62,0.02,12.52,20.72,-855.07,107.2,10.32,117.52,0.85,116.67,116.67,40.59,76.08,76.08,89.34,8.52,0.0
2016-03-31,506.7,3.55,510.25,0.0,0.0,0.04,15.73,21.04,359.65,113.79,14.38,128.17,0.49,127.68,127.68,43.1,84.58,84.58,89.34,8.56,8.56
2016-06-30,480.0,3.44,483.44,0.0,0.0,0.04,14.61,21.61,316.44,130.74,12.33,143.07,0.53,142.54,142.54,49.81,92.73,92.73,98.78,9.39,9.39
2016-09-30,518.05,2.84,520.89,0.0,0.0,-0.02,15.03,23.11,344.35,138.42,14.98,153.4,0.11,153.29,153.29,51.05,102.24,102.24,98.78,10.35,10.35
2016-12-31,500.85,3.46,504.31,0.0,0.0,0.01,14.34,24.73,322.81,142.42,12.4,154.82,0.46,154.36,154.36,55.36,99.0,99.0,98.78,10.02,10.02
2017-03-31,525.33,0.0,525.33,0.0,0.0,0.01,16.04,25.68,346.15,137.45,12.95,150.4,-0.07,150.47,150.47,51.0,99.47,99.47,98.78,10.07,10.07
2017-06-30,530.86,0.0,530.86,0.0,0.0,0.01,17.46,24.63,310.13,178.63,12.01,190.64,0.2,190.44,190.44,66.11,124.33,124.33,98.78,12.59,12.59
2017-09-30,533.76,0.0,533.76,0.0,0.0,-0.02,16.68,25.85,316.81,174.44,13.86,188.3,0.0,188.3,188.3,63.51,124.79,124.79,98.78,12.63,12.63
