Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Fixed Assets,Non-Current Investments,Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,Non-Current Investments Unquoted Book Value,Current Investments Unquoted Book Value,Long Term Borrowings,Short Term Loans And Advances,"Stores, Spares And Loose Tools",Capital Goods,Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Short Term Borrowings,Intangible Assets Under Development,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Deferred Tax Assets [Net],Raw Materials,Trade/Other Goods
2008-03-31,89.34,89.34,491.33,491.33,580.67,51.52,0.0,0.0,75.41,0.0,89.59,48.31,137.89,793.97,433.58,0.0,132.7,566.29,70.99,0.0,0.0,637.27,0.0,12.84,72.93,35.31,0.0,156.69,793.97,0.0,0.0,0.0,70.99,0.0,23.88,35.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,89.34,89.34,586.08,586.08,675.42,54.49,0.0,0.0,70.49,0.0,126.61,53.73,180.34,926.25,477.86,0.0,180.04,657.91,86.58,0.0,0.0,744.48,0.0,13.1,81.99,39.3,0.0,181.77,926.25,0.0,0.0,0.0,86.58,0.0,16.0,47.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,89.34,89.34,977.7,977.7,1067.04,65.07,0.55,0.0,76.09,36.54,191.9,174.7,403.14,1546.27,758.21,5.5,0.0,1085.54,0.0,26.7,1.57,1113.81,235.51,14.27,82.45,51.03,17.48,432.46,1546.27,0.0,3.24,38.67,0.0,235.51,10.47,31.72,1.25,5.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,89.34,89.34,1093.29,1093.29,1182.63,79.68,0.09,0.0,89.59,86.39,235.94,188.41,510.75,1782.97,921.08,4.61,0.0,1240.46,0.0,25.35,1.72,1267.53,302.12,13.77,90.19,66.02,21.55,515.44,1782.97,0.0,0.9,66.68,0.0,302.12,9.83,21.78,1.54,8.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-03-31,89.34,89.34,1207.62,1207.62,1296.96,88.71,0.78,4.04,101.51,106.37,275.13,194.33,575.83,1974.3,987.12,4.37,0.0,1336.93,0.0,23.61,1.67,1362.21,342.07,15.87,109.26,88.81,27.67,612.09,1974.3,0.0,0.14,77.79,0.0,342.07,7.98,28.42,0.72,10.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,89.34,89.34,1318.12,1318.12,1407.47,102.71,1.06,6.83,126.19,111.96,322.7,197.27,631.93,2165.59,1059.44,4.57,0.0,1443.63,0.0,29.63,1.78,1475.04,371.47,17.36,96.23,144.92,29.95,690.54,2165.59,0.0,0.0,77.79,0.0,371.47,15.59,30.63,0.0,4.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,89.34,89.34,1639.09,1639.09,1728.43,119.95,0.46,11.18,135.96,111.62,382.85,11.63,506.09,2370.48,1124.06,4.69,428.87,1557.61,0.0,17.1,56.73,1631.44,393.4,18.03,92.33,175.03,50.49,739.04,2370.48,0.0,86.0,0.0,0.0,38.82,4.38,9.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,98.78,98.78,1741.26,1741.26,1840.04,137.63,0.2,14.01,154.53,120.09,502.94,6.65,629.68,2624.25,1300.31,4.44,411.53,1716.28,0.0,0.0,113.38,1829.66,466.67,23.76,94.54,136.11,73.51,794.59,2624.25,458.51,92.3,0.0,0.0,466.67,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,98.78,98.78,1996.57,1996.57,2095.35,174.83,0.86,14.75,191.64,110.03,608.08,5.14,723.25,3010.24,1528.06,3.89,356.62,1888.57,0.0,0.0,146.16,2034.74,687.68,24.0,91.35,91.88,80.59,975.5,3010.24,381.03,63.65,0.0,0.0,687.68,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,98.78,98.78,2300.09,2300.09,2398.87,204.84,1.81,14.31,220.96,152.45,661.86,6.88,821.2,3441.02,1758.75,4.66,369.69,2133.1,0.0,0.0,132.06,2265.16,654.02,19.12,99.53,298.84,104.36,1175.87,3441.02,445.9,37.01,0.0,0.0,654.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
