Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Employees Stock Options,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Other Assets,Fixed Assets,Non-Current Investments,Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Equity Share Application Money,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods,Deferred Tax Assets [Net],Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale
2004-03-31,92.48,92.48,6765.42,6765.42,0.0,6857.9,1960.03,998.79,0.0,0.0,2958.82,604.57,521.49,375.13,179.19,1680.36,11497.08,4724.82,15.4,467.67,0.0,0.0,5207.88,3377.21,0.0,0.0,8588.74,0.0,1191.34,561.11,231.38,924.5,0.0,2908.34,11497.08,1599.4,51.76,19.19,1295.1,0.0,49.18,1696.37,692.23,0.0,0.0,0.0,2363.11,0.0,0.0,54.69,3.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,92.78,92.78,7573.8,7573.8,0.0,7666.58,3297.54,1129.7,0.0,0.0,4427.24,502.46,1457.39,220.91,839.9,3020.65,15114.47,5569.58,33.95,1322.98,0.0,0.0,6926.51,3702.15,0.0,9.39,10638.04,0.0,2374.52,787.37,400.97,913.57,0.0,4476.43,15114.47,2524.86,52.37,26.9,2605.17,2.21,49.18,3474.98,811.86,0.0,0.0,0.0,3644.61,0.0,0.0,212.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,98.57,98.57,9507.69,9507.69,0.0,9606.25,2949.11,1245.68,0.0,0.0,4194.78,1954.33,1974.53,225.03,953.17,5107.06,18908.1,6696.87,85.93,832.92,0.0,0.0,7615.72,3971.31,0.0,6.0,11605.35,0.0,4095.09,1248.4,917.29,1041.98,0.0,7302.75,18908.1,2479.24,110.3,38.26,3643.27,6.89,49.18,1400.23,940.03,0.0,0.0,0.0,5192.84,0.0,0.0,177.06,12.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,104.33,104.33,12313.71,12313.71,0.0,12418.04,6428.72,1193.63,0.0,0.0,7622.35,939.88,2286.69,456.69,1284.14,4967.4,25007.79,6920.43,86.28,1476.43,0.0,0.0,8483.13,8675.32,0.0,3.17,17229.45,0.0,4315.31,1504.5,665.5,1293.03,0.0,7778.34,25007.79,1362.42,198.18,67.36,6973.21,4.33,49.18,5159.28,7537.62,0.0,0.0,0.0,9681.33,0.0,0.0,203.67,67.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,122.65,122.65,17173.67,17173.67,0.0,17296.31,6331.89,1398.26,0.0,0.0,7730.15,1996.7,2689.11,205.67,906.01,5797.48,30963.45,7720.97,88.37,1119.87,0.0,0.0,8929.21,14107.99,0.0,0.0,23111.78,0.0,5097.91,1565.02,146.98,1041.76,0.0,7851.67,30963.45,17660.42,77.55,67.36,6434.26,0.74,49.18,5795.68,12940.29,0.0,0.0,139.5,10839.43,0.0,0.0,123.47,74.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,170.05,170.46,23584.69,23584.69,0.0,23755.15,5952.14,1495.0,0.0,0.0,7447.14,2372.15,1623.55,245.36,803.16,5044.22,36249.68,7789.85,97.12,1389.63,0.0,0.0,9276.6,19148.84,0.0,0.0,28509.77,0.0,4070.14,1201.22,843.72,1624.83,0.0,7739.91,36249.68,9775.8,295.27,30.66,5148.18,6.22,49.18,2433.33,17853.29,0.0,0.0,3.17,8371.78,0.0,0.0,78.83,84.33,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,191.37,191.37,27715.61,27715.61,0.0,27906.98,5163.93,1464.26,0.0,0.0,6628.19,1192.97,4977.49,449.44,721.49,7341.39,41880.55,7635.22,99.6,3702.79,0.0,0.0,11437.61,21480.83,0.0,0.0,33016.26,0.0,5921.41,1311.87,140.21,1490.8,0.0,8864.29,41880.55,18607.32,151.92,27.01,5267.58,11.06,49.18,4304.76,20232.63,0.0,0.0,3.99,11972.74,0.0,0.0,89.01,97.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,191.46,191.46,29508.64,29508.64,0.0,29700.1,5147.54,1287.49,290.5,268.07,6993.6,3890.35,4082.95,1053.91,815.43,9842.64,46536.34,7560.69,23.69,6030.32,0.09,0.0,13614.79,13049.66,3942.59,0.1,30607.14,5197.09,7651.4,1255.49,233.39,1344.75,247.08,15929.2,46536.34,11349.63,607.26,26.45,7096.0,1.14,49.18,4546.98,11942.76,2042.48,3162.15,0.0,14968.58,49.02,0.0,900.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,191.48,191.48,31299.68,31299.68,0.0,31491.16,11115.13,1224.56,953.1,287.32,13580.11,3456.78,4659.77,998.61,919.88,10035.04,55647.62,7125.95,24.25,16256.7,0.24,0.0,23407.14,13503.7,2249.53,7.81,39168.18,4583.4,7742.86,1427.45,722.3,1647.65,355.78,16479.44,55647.62,8284.33,-40.2,30.76,7856.6,0.04,49.18,4713.49,12394.33,1049.21,3561.1,541.31,15545.02,89.62,0.0,1300.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,191.48,191.48,33239.6,33239.6,0.0,33431.08,20443.05,1191.14,974.28,300.94,22909.41,3701.72,3051.52,1924.09,1059.43,9736.76,66618.56,7071.0,26.65,23605.11,0.01,0.0,30702.77,14050.17,1681.08,34.51,46468.53,6431.96,7702.61,1515.04,1497.82,2272.42,730.18,20150.03,66618.56,4299.64,232.85,29.97,7571.55,0.75,49.18,5025.76,12941.44,1120.89,5312.79,541.31,16476.44,2.43,0.0,1773.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-03-31,206.48,206.48,36525.97,36525.97,0.0,36732.45,22108.58,1174.31,830.87,341.96,24455.72,4258.37,4383.75,2901.91,1037.75,12581.78,73769.95,18024.98,29.73,17277.13,0.1,0.0,35331.94,15312.45,1161.15,12.52,51818.06,6595.01,8914.58,1283.65,1163.17,3226.4,769.08,21951.89,73769.95,7310.67,-482.31,26.7,8291.95,204.38,49.18,5719.16,14195.81,211.09,6384.16,0.0,15757.47,98.59,173.03,351.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,206.52,206.52,37048.74,37048.74,0.0,37255.26,22973.85,1748.28,474.63,455.9,25652.66,5675.53,3651.65,2678.13,1087.41,13092.72,76000.64,26035.87,24.02,10743.61,0.02,0.0,36803.52,14781.75,1454.73,31.44,53071.44,6468.93,8821.23,1832.18,984.18,3879.67,943.01,22929.2,76000.64,6693.47,-19.13,19.27,13334.45,2.86,49.18,7463.87,13953.63,287.75,6192.17,0.0,17571.39,73.66,689.93,140.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,204.89,204.89,41954.59,41954.59,0.0,42159.48,23904.29,1149.06,510.25,409.35,25972.95,4540.49,3944.52,3602.42,221.66,12309.09,80441.52,32096.38,146.98,3078.41,0.33,9.48,35331.58,19720.84,36.89,994.32,56083.63,7590.42,8405.49,2014.76,326.47,32.27,5988.48,24260.3,80441.52,952.88,-914.23,19.06,12489.85,0.83,49.18,5576.0,14148.23,3994.42,3581.65,0.0,15089.62,140.93,628.26,1438.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,222.72,222.72,47109.84,47109.84,0.0,47332.56,18391.95,1231.67,487.98,490.01,20601.61,4229.98,4890.85,8945.46,634.53,18700.82,86634.99,34017.71,357.31,711.54,0.01,9.26,35095.83,20479.17,50.53,2674.64,58300.17,8852.78,9268.03,1872.83,4335.18,179.82,3826.18,28334.82,86634.99,0.0,16387.0,0.0,0.0,0.0,49.18,4323.6,62.12,7572.05,1264.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,222.89,222.89,49227.69,49227.69,0.0,49450.58,17198.94,1922.18,803.26,404.1,20328.48,3092.96,5524.05,3674.37,658.31,12949.69,82728.91,33999.58,355.55,736.25,0.48,9.03,35100.89,23249.67,5.88,2415.82,60772.26,3775.59,10738.38,1737.25,1821.35,54.57,3829.51,21956.65,82728.91,1819.11,20980.0,0.0,0.0,18573.0,49.18,6573.51,62.02,3086.8,686.08,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,222.39,222.39,48335.2,48335.2,0.0,48557.59,15633.88,2179.68,714.0,409.86,18937.42,3895.1,5733.67,3668.53,709.82,14007.12,81502.23,33168.95,345.03,947.0,34.82,8.8,34504.6,21722.58,17.63,1720.51,57965.32,3772.32,11394.46,2124.88,1579.87,58.05,4607.33,23536.91,81502.23,2398.04,20318.81,0.0,0.0,13468.98,49.18,4818.44,80.09,3477.37,293.26,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,222.0,222.0,45272.0,45272.0,0.0,45494.0,15660.0,1975.0,1018.0,497.0,19150.0,7384.0,3990.0,3112.0,928.0,15414.0,80058.0,33045.0,314.0,1209.0,73.0,9.0,34650.0,19800.0,14.0,1253.0,55717.0,4839.0,11225.0,2093.0,3280.0,55.0,2849.0,24341.0,80058.0,1637.0,11009.0,0.0,0.0,17722.0,49.18,2913.0,38.0,4839.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,222.0,222.0,49787.0,49787.0,55.0,50064.0,15174.0,1966.0,1245.0,421.0,18806.0,4290.0,8800.0,5156.0,831.0,19077.0,87947.0,32061.0,321.0,1587.0,122.0,8.0,34099.0,24373.0,11.0,1256.0,59739.0,7358.0,15989.0,1602.0,1019.0,49.0,2191.0,28208.0,87947.0,1023.0,23123.0,0.0,0.0,13860.0,49.18,7413.0,25.0,7358.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,222.0,222.0,54130.0,54130.0,76.0,54428.0,11668.0,2948.0,1262.0,474.0,16352.0,7411.0,11015.0,8845.0,1006.0,28277.0,99057.0,31759.0,533.0,1573.0,8.0,8.0,33881.0,25098.0,45.0,1166.0,60190.0,4557.0,20948.0,2671.0,6420.0,172.0,4099.0,38867.0,99057.0,4541.0,37494.0,0.0,0.0,21416.0,49.18,8498.0,25.0,4557.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,222.0,222.0,58267.0,58267.0,0.0,58489.0,11559.0,4704.0,1513.0,276.0,18052.0,749.0,9743.0,8975.0,914.0,20381.0,96922.0,31576.0,520.0,2968.0,19.0,7.0,35090.0,24004.0,174.0,2594.0,61862.0,5762.0,20186.0,2610.0,1789.0,5.0,4708.0,35060.0,96922.0,5607.0,17319.0,0.0,0.0,37993.0,49.18,7984.0,17.0,5762.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,222.0,222.0,63348.0,63348.0,137.0,63707.0,7123.0,5315.0,1572.0,314.0,14324.0,517.0,9209.0,8448.0,831.0,19005.0,97036.0,32658.0,523.0,4031.0,9.0,33.0,37254.0,26787.0,107.0,2284.0,66432.0,2948.0,19505.0,2478.0,1580.0,30.0,4063.0,30604.0,97036.0,7413.0,18018.0,0.0,0.0,45715.0,49.18,10804.0,17.0,2948.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
