Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Fixed Assets,Non-Current Investments,Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods,Foreign Currency Monetary Item Translation Difference A/C,Deferred Tax Assets [Net],Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale
2004-03-31,31.4,31.4,508.1,508.1,539.5,328.8,107.2,0.0,0.0,436.0,76.9,164.6,17.3,51.1,309.9,1285.4,396.7,250.9,41.6,0.0,689.2,138.1,0.0,14.8,851.9,0.0,160.3,165.9,37.2,70.1,0.0,433.5,1285.4,106.6,70.1,177.3,0.0,7.44,6.3,136.2,0.0,0.0,94.7,0.0,0.0,12.5,0.0,9.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,31.4,31.4,583.0,583.0,614.4,282.3,117.9,0.0,0.0,400.2,89.2,168.2,16.2,57.5,331.1,1345.7,484.8,193.6,40.0,0.0,718.4,136.8,0.0,7.5,879.4,0.0,193.9,108.8,26.4,137.2,0.0,466.3,1345.7,117.7,65.8,138.0,0.8,7.44,7.5,132.4,0.0,0.0,103.7,0.0,0.0,24.8,0.0,16.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,31.4,31.4,704.9,704.9,736.3,294.4,129.3,0.0,0.0,423.7,138.8,182.2,17.7,59.7,398.4,1558.4,492.4,193.6,58.9,0.0,744.9,185.1,0.0,0.0,949.6,0.0,212.8,185.1,2.3,208.6,0.0,608.8,1558.4,64.3,72.3,207.3,11.7,7.44,29.4,156.2,0.0,0.0,119.8,0.0,0.0,11.7,0.0,19.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,62.8,62.8,819.5,819.5,882.3,311.8,135.1,0.0,0.0,446.9,135.9,357.9,18.5,74.3,586.6,1915.8,539.8,201.7,52.1,0.0,793.6,292.8,0.0,0.0,1108.8,0.0,328.7,238.6,12.4,227.3,0.0,807.0,1915.8,63.3,70.7,294.3,15.4,38.85,37.6,238.7,0.0,0.0,145.4,0.0,0.0,20.6,0.0,22.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,62.8,62.8,991.0,991.0,1053.8,437.8,143.9,0.0,0.0,581.7,301.1,258.2,19.4,98.3,677.0,2312.5,582.2,201.7,96.4,0.0,880.3,442.7,0.0,0.0,1344.5,0.0,331.0,282.5,19.0,335.5,0.0,968.0,2312.5,73.4,85.7,435.8,2.1,38.85,44.4,388.6,0.0,0.0,136.7,0.0,0.0,26.3,0.0,21.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,68.2,68.2,1164.6,1164.6,1232.8,475.2,159.1,0.0,0.0,634.3,344.7,278.1,15.4,105.3,743.5,2610.6,635.2,201.7,117.3,0.0,954.2,595.4,0.0,30.4,1613.2,0.0,349.0,381.9,25.6,240.9,0.0,997.4,2610.6,523.7,117.8,643.4,91.2,38.85,166.9,539.6,0.0,0.0,154.2,0.0,0.0,19.6,0.0,33.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,68.2,68.2,1553.9,1553.9,1622.1,506.2,148.1,0.0,0.0,654.3,87.9,366.5,16.6,151.7,622.7,2899.1,735.8,214.6,142.9,0.0,1093.3,598.9,0.0,1.2,1726.6,0.0,380.8,400.8,28.2,362.7,0.0,1172.5,2899.1,530.6,98.8,960.0,73.5,38.85,1059.1,547.0,0.0,0.0,174.6,0.0,0.0,33.1,0.0,33.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,102.4,102.4,1987.5,1987.5,2089.9,474.4,119.3,16.2,35.1,645.0,49.7,345.9,180.5,150.8,726.9,3461.8,1003.3,33.3,233.7,0.0,1270.3,566.5,332.0,0.0,2168.8,132.3,464.5,475.1,42.4,139.9,38.8,1293.0,3461.8,602.6,107.3,1211.1,90.6,72.97,1654.6,514.1,0.0,132.3,155.3,16.1,48.9,49.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,102.4,102.4,2446.9,2446.9,2549.3,684.4,124.8,19.3,47.6,876.1,411.4,284.8,410.3,179.5,1286.0,4719.2,1200.7,17.0,311.7,0.0,1529.4,1102.5,565.8,0.0,3197.7,109.7,501.2,581.2,118.3,191.6,19.5,1521.5,4719.2,1256.6,151.8,1356.9,106.7,72.97,1058.8,1050.1,0.0,109.7,175.9,16.0,91.2,71.8,7.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,102.4,102.4,2809.1,2809.1,2911.5,794.1,123.6,27.2,32.8,977.7,851.4,360.7,269.5,179.2,1660.8,5550.0,1464.4,32.7,463.8,0.0,1960.9,1064.0,716.7,0.0,3741.6,215.9,587.2,683.0,91.6,191.0,39.7,1808.4,5550.0,1238.1,254.7,1544.2,79.4,72.97,1241.8,1006.8,13.1,203.0,236.0,17.8,42.3,111.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
