Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Fixed Assets,Non-Current Investments,Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods,Foreign Currency Monetary Item Translation Difference A/C,Deferred Tax Assets [Net],Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale
2014-03-31,102.4,102.4,3527.5,3527.5,3629.9,853.6,123.6,20.6,46.8,1044.6,557.6,461.7,298.6,250.7,1568.6,6243.1,1539.2,24.9,530.6,0.0,2094.7,1265.3,803.2,0.0,4163.2,292.4,663.5,722.0,89.4,270.9,41.7,2079.9,6243.1,1242.2,265.4,2003.8,57.5,72.97,1445.7,1189.4,40.1,252.4,290.7,35.4,53.5,41.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,102.4,102.4,4423.0,4423.0,4525.4,583.6,123.6,23.9,80.5,811.6,679.6,671.3,330.0,319.5,2000.4,7337.4,1753.0,15.1,366.9,0.0,2135.0,1750.8,754.3,0.0,4640.1,458.3,804.3,1056.1,129.4,201.9,47.3,2697.3,7337.4,1420.4,270.2,2808.0,158.6,72.97,2929.0,1663.3,120.1,338.3,362.1,42.8,73.4,60.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,102.4,102.4,6173.8,6173.8,6276.2,430.0,184.6,13.9,96.5,725.0,604.3,899.9,388.5,29.3,1922.0,8923.2,1998.6,156.2,296.8,0.0,2451.6,2216.6,921.9,409.8,5999.9,100.9,657.5,1707.3,163.7,19.0,274.9,2923.3,8923.2,1791.3,0.0,0.0,0.0,72.97,2140.0,2112.6,100.1,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,102.4,102.4,6515.9,6515.9,6618.3,1239.4,105.5,8.2,62.1,1415.2,1545.6,996.1,444.9,27.3,3013.9,11047.4,2205.0,147.0,678.4,0.0,3030.4,3923.7,1427.1,526.8,8908.0,0.0,932.9,929.0,16.8,37.1,223.6,2139.4,11047.4,2594.2,0.0,0.0,0.0,72.97,2509.0,3805.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,102.4,102.4,7643.1,7643.1,7745.5,1351.1,193.6,8.7,74.1,1627.5,1300.9,992.1,469.4,28.3,2790.7,12163.7,2545.4,134.8,659.2,0.0,3339.4,3618.1,1301.3,347.5,8606.3,0.0,1320.7,1255.1,183.8,17.8,780.0,3557.4,12163.7,2855.1,1124.2,4268.3,0.0,72.97,3410.4,3454.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,102.4,102.4,8466.8,8466.8,8569.2,2024.9,156.6,9.3,105.2,2296.0,1317.9,701.0,746.7,40.3,2805.9,13671.1,3801.2,131.3,674.9,0.0,4607.4,4190.5,201.3,409.9,9409.1,4.7,1472.5,2112.1,112.1,4.3,556.3,4262.0,13671.1,3592.6,1159.3,4840.4,0.0,72.97,4872.0,2866.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,102.4,102.4,11157.8,11157.8,11260.2,1511.0,198.3,12.0,120.7,1842.0,1443.4,862.7,1096.2,47.0,3449.3,16551.5,4064.4,44.6,552.6,0.0,4661.6,6404.1,296.3,396.8,11758.8,0.0,1394.7,2456.7,385.3,18.5,537.5,4792.7,16551.5,4090.9,1450.4,5275.2,0.0,72.97,4835.0,5098.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,102.4,102.4,12642.1,12642.1,12744.5,609.5,107.3,12.8,168.5,898.1,3306.4,1126.0,322.0,66.6,4821.0,18463.6,4064.5,47.5,570.5,0.0,4682.5,6470.6,912.7,366.1,12431.9,0.0,1780.0,1903.8,154.0,1435.8,758.1,6031.7,18463.6,2009.3,1591.1,6353.5,0.0,72.97,7320.7,5143.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,102.4,102.4,13138.1,13138.1,13240.5,126.4,153.1,15.7,176.4,471.6,2536.2,1065.2,343.8,82.7,4027.9,17740.0,4296.6,39.3,384.0,0.0,4719.9,4897.5,917.8,367.4,10902.6,220.5,1926.3,2277.7,302.6,1476.3,634.0,6837.4,17740.0,2233.1,2186.9,6306.5,0.0,72.97,5859.6,3307.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,101.2,101.2,13538.2,13538.2,13639.4,3771.0,194.3,21.7,147.1,4134.1,1051.5,1043.2,604.0,91.4,2790.1,20563.6,4141.8,42.3,739.3,0.0,4923.4,4677.7,3165.8,638.5,13405.4,201.6,1782.4,3505.3,248.1,817.0,603.8,7158.2,20563.6,752.4,2054.4,6757.7,0.0,72.97,6020.5,3106.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,100.6,100.6,15615.9,15615.9,15716.5,5555.4,58.3,28.1,185.1,5826.9,618.1,1111.8,706.1,105.4,2541.4,24084.8,4325.7,43.7,626.7,7.2,5003.3,7283.0,3640.6,222.1,16149.0,0.0,1687.3,4740.1,414.4,104.8,989.2,7935.8,24084.8,1750.3,1927.4,8411.7,0.0,72.97,5732.2,5726.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
