Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,Exp. Capitalised,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Prior Year Adjustments,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-09-30,4817.07,155.33,4972.4,3446.23,212.64,-90.24,153.22,41.04,-12.53,347.87,874.17,166.72,1040.89,0.22,1040.67,0.0,1040.67,300.0,740.67,0.0,740.67,289.37,25.6,25.6,14.46,49.98,14.45,99.86,49.95
2012-12-31,5307.2,105.51,5412.71,3582.86,205.33,132.88,159.23,41.08,-15.34,336.0,970.67,203.19,1173.86,0.1,1173.76,0.0,1173.76,355.02,818.74,0.0,818.74,289.37,28.3,28.3,14.46,49.98,14.46,99.88,49.96
2013-03-31,4651.05,95.43,4746.48,3293.89,249.13,-134.19,166.63,46.61,-24.32,358.75,789.98,243.61,1033.59,0.18,1033.41,0.0,1033.41,267.64,765.77,0.0,765.77,289.37,26.5,26.5,14.46,49.98,14.46,99.9,49.97
2013-06-30,4808.73,102.36,4911.09,3141.43,203.07,62.16,183.65,44.39,-18.15,432.22,862.32,175.6,1037.92,0.09,1037.83,0.0,1037.83,300.15,737.68,0.0,737.68,289.37,25.5,25.5,14.46,49.98,14.46,99.94,49.99
2013-09-30,5061.49,113.4,5174.89,3254.0,232.29,-17.72,183.38,44.29,-13.92,404.9,1087.67,124.16,1211.83,0.04,1211.79,0.0,1211.79,374.63,837.16,0.0,837.16,289.37,28.9,28.9,14.46,49.98,14.46,99.94,49.99
2013-12-31,5024.76,106.48,5131.24,3335.4,234.54,-3.67,184.79,45.95,-19.79,264.79,1089.23,221.84,1311.07,0.19,1310.88,0.0,1310.88,406.33,904.55,0.0,904.55,289.37,31.3,31.3,14.46,49.98,14.47,99.94,49.99
2014-03-31,4822.66,109.63,4932.29,3205.64,289.2,-59.67,174.76,44.48,-13.04,404.01,886.91,184.81,1071.72,0.17,1071.55,0.0,1071.55,308.99,762.56,1.37,763.93,289.37,26.4,26.4,14.46,49.98,14.47,99.94,49.99
2014-06-30,5133.37,119.04,5252.41,3363.11,244.82,72.29,214.57,69.2,-12.62,445.11,855.93,219.27,1075.2,0.11,1075.09,0.0,1075.09,335.11,739.98,0.0,739.98,289.37,25.6,25.6,14.46,49.98,14.47,99.94,49.99
2014-09-30,5826.85,136.24,5963.09,3837.9,290.33,-18.18,210.24,68.62,-15.97,531.99,1058.16,113.61,1171.77,0.05,1171.72,-340.29,831.43,240.53,590.9,0.0,590.9,289.37,20.4,20.4,14.46,49.98,14.47,99.94,49.99
2014-12-31,5520.01,137.16,5657.17,3537.24,317.74,7.0,213.92,65.77,-13.39,367.83,1161.06,95.27,1256.33,0.07,1256.26,0.0,1256.26,395.02,861.24,0.0,861.24,289.37,29.8,29.8,14.46,49.98,14.47,99.94,49.99
2015-03-31,4623.7,115.64,4739.34,3014.54,301.68,-118.67,258.57,63.81,-18.07,463.48,774.0,154.27,928.27,6.26,922.01,0.0,922.01,300.39,621.62,0.0,621.62,289.37,21.5,21.5,14.69,50.76,14.25,100.0,49.24
2015-06-30,5772.81,108.43,5881.24,3404.58,270.68,97.49,243.41,78.41,0.0,724.84,1061.83,306.26,1368.09,0.11,1367.98,0.0,1367.98,410.62,957.36,0.0,957.36,289.37,33.1,33.1,14.69,50.76,14.24,99.94,49.21
