Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Other Assets,Fixed Assets,Non-Current Investments,Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Unquoted Book Value,Long Term Borrowings,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods,Deferred Tax Assets [Net],Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale
2006-03-31,101.18,101.18,4669.55,4669.55,4770.73,190.21,0.0,0.0,1657.34,0.02,1155.82,73.05,2315.89,3544.78,9972.85,1133.0,0.0,43.33,0.0,0.0,1176.33,5856.97,0.0,0.0,7135.93,0.0,272.93,301.55,82.09,2180.35,0.0,2836.92,9972.85,719.06,38.36,933.38,10.53,114.17,7303.41,247.22,0.0,1467.13,235.05,0.0,0.0,92.3,102.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,101.18,101.18,5433.14,5433.14,5534.32,184.49,0.0,0.0,1787.46,22.46,1374.51,124.46,2833.79,4355.22,11677.0,1273.6,0.0,107.62,0.0,0.0,1381.22,6447.53,0.0,0.0,7939.07,0.0,309.7,529.83,83.48,2814.92,0.0,3737.93,11677.0,811.66,33.42,1692.4,37.36,114.17,8330.5,294.07,0.0,1602.97,457.68,0.0,0.0,56.65,110.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,144.68,144.68,1442.91,1442.91,1587.59,141.94,0.0,0.0,1476.28,0.0,878.75,164.5,834.04,1877.29,4941.16,1268.61,0.0,34.74,0.0,0.0,1303.35,1857.14,0.0,0.0,3291.45,0.0,349.61,275.31,56.07,968.72,0.0,1649.71,4941.16,1129.29,33.36,2047.81,29.96,114.17,1256.57,627.6,0.0,1334.34,281.7,0.0,0.0,41.68,130.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,144.68,144.68,1725.01,1725.01,1869.69,164.79,0.0,0.0,1486.29,248.5,799.98,413.43,1224.15,2686.06,6042.04,1542.29,0.0,106.48,0.0,0.0,1648.77,1808.52,0.0,183.3,3801.19,0.0,338.84,358.65,136.87,1406.49,0.0,2240.85,6042.04,924.96,179.59,2640.4,41.51,114.17,1083.15,765.42,0.0,1321.5,245.93,0.0,0.0,300.22,160.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,144.68,144.68,2783.66,2783.66,2928.34,191.81,0.0,0.0,1517.41,12.98,1571.2,455.05,2248.72,4287.95,8733.7,1479.59,0.0,120.84,0.0,0.0,1600.43,4021.52,0.0,0.0,5812.07,0.0,446.21,272.84,101.41,2101.17,0.0,2921.63,8733.7,818.25,142.11,3245.82,23.13,114.17,1484.81,2573.36,0.0,1325.6,284.92,0.0,0.0,32.11,190.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,289.37,289.37,4620.85,4620.85,4910.22,29.71,193.71,124.54,481.84,157.84,1789.26,477.11,1431.26,3855.47,9247.53,1478.43,4.28,69.86,0.0,0.0,1552.57,4035.08,226.96,401.77,6216.38,686.83,547.28,359.89,228.78,992.09,216.28,3031.15,9247.53,959.66,279.97,4450.45,114.33,258.85,0.0,1057.12,516.59,133.88,109.27,12.08,405.4,37.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,289.37,289.37,5751.7,5751.7,6041.07,48.44,157.07,111.85,414.84,0.0,2003.08,559.04,2063.04,4625.16,11081.07,1479.59,2.14,11.77,29.88,0.0,1523.38,3786.21,579.9,1.43,5890.92,1096.6,678.53,422.79,1653.83,1042.81,295.59,5190.15,11081.07,1445.67,338.67,6449.18,177.12,258.85,0.0,1293.88,562.5,97.48,115.7,16.03,531.28,21.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,289.37,289.37,7612.58,7612.58,7901.95,115.1,122.06,134.61,443.04,0.0,1979.61,546.16,1607.86,4133.63,12478.62,1804.43,0.0,223.29,70.26,0.0,2097.98,3719.15,462.39,1.02,6280.54,2711.33,636.28,767.58,558.86,1311.72,212.31,6198.08,12478.62,1252.99,93.64,6508.27,57.07,258.85,0.0,2407.13,1545.75,71.27,38.17,25.13,547.85,378.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-03-31,289.37,289.37,9318.65,9318.65,9608.02,143.18,87.43,120.99,409.34,0.0,2111.4,766.14,1852.7,4730.24,14747.6,2006.04,0.0,32.55,111.51,0.0,2150.1,6259.93,719.92,1.02,9130.97,2289.7,639.72,796.21,495.48,978.45,417.07,5616.63,14747.6,1170.58,100.09,7931.46,32.4,258.85,1277.5,4966.56,2289.7,57.74,37.24,33.79,502.16,51.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,289.37,289.37,10402.78,10402.78,10692.15,141.58,57.59,82.44,393.38,0.0,1799.75,767.47,1909.57,4476.79,15562.32,1917.24,0.0,101.72,153.22,0.0,2172.18,3352.76,511.07,0.04,6036.05,5800.56,814.15,716.96,586.15,1261.61,346.84,9526.27,15562.32,1594.74,155.12,9410.42,33.09,258.85,0.0,2855.97,738.88,111.77,14.27,44.41,616.81,25.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
