Date,Net Sales/Income from operations,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS
2017-06-30,173.1,173.1,128.49,0.0,-10.42,11.98,4.69,21.35,17.01,3.75,20.76,0.97,19.8,0.0,19.8,6.62,13.18,13.18,5.11,4.3,4.3
2017-09-30,186.33,186.33,104.36,0.0,18.97,9.86,4.85,12.84,35.45,4.42,39.87,0.73,39.14,0.0,39.14,15.71,23.43,23.43,5.11,7.64,7.64
2017-12-31,222.04,222.04,145.23,0.0,-3.12,14.25,5.08,19.56,41.03,1.02,42.05,0.75,41.3,0.0,41.3,12.38,28.92,28.92,15.33,0.0,0.0
2018-03-31,270.58,270.58,170.14,0.6,2.63,12.95,5.42,28.39,50.45,7.19,57.64,0.68,56.96,0.0,56.96,21.15,35.81,35.81,15.33,11.68,11.68
2018-06-30,240.12,240.12,153.14,0.05,-1.69,14.07,4.13,21.3,49.12,8.48,57.6,0.92,56.68,0.0,56.68,19.61,37.07,37.07,15.33,12.09,12.09
2018-09-30,260.91,260.91,164.01,0.05,0.67,13.74,4.28,24.2,53.95,3.33,57.28,0.53,56.75,0.0,56.75,25.02,31.73,31.73,15.33,10.35,10.35
2018-12-31,259.61,259.61,159.18,0.0,1.68,18.6,4.45,27.78,47.91,7.71,55.63,0.21,55.41,0.0,55.41,21.76,33.65,33.65,15.33,10.98,10.98
2019-03-31,278.68,278.68,171.51,0.02,5.83,13.48,4.58,29.45,53.82,0.7,54.52,0.13,54.4,0.0,54.4,27.83,26.56,26.56,15.33,8.66,8.66
2019-06-30,243.51,243.51,147.02,0.0,-0.36,15.97,3.35,22.92,54.6,4.46,59.06,0.43,58.64,0.0,58.64,21.21,37.43,37.43,15.33,12.21,12.21
2019-09-30,274.38,274.38,165.27,0.0,-2.35,15.99,6.51,30.36,58.59,5.91,64.51,0.64,63.86,0.0,63.86,5.16,58.7,58.7,15.33,19.15,19.15
