Date,Net Sales/Income from operations,Total Income From Operations,Consumption of Raw Materials,Increase/Decrease in Stocks,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS
2020-03-31,333.44,333.44,0.0,-2.19,36.33,48.36,213.39,37.55,3.04,40.59,34.89,5.7,5.7,3.17,2.53,2.53,10.06,1.26,1.32
2020-06-30,159.39,159.39,0.0,15.13,15.67,39.39,84.81,4.39,0.57,4.96,30.37,-25.41,-25.41,-8.38,-17.03,-17.03,10.06,-8.46,-9.62
2020-09-30,366.76,366.76,0.0,-7.18,36.1,47.73,237.44,52.67,5.15,57.82,21.35,36.47,36.47,11.49,24.98,24.98,10.56,11.83,0.0
2020-12-31,484.93,484.93,0.0,-17.21,47.06,55.16,315.27,84.65,4.4,89.05,25.56,63.49,63.49,21.49,42.0,42.0,10.06,20.87,22.26
2021-03-31,535.21,535.21,0.0,-0.34,44.09,50.13,341.42,99.91,3.1,103.01,30.0,73.01,73.01,26.2,46.81,46.81,10.56,24.89,24.89
2021-06-30,431.65,431.65,0.0,1.47,39.92,49.37,284.38,56.51,1.07,57.58,22.49,35.09,35.09,12.25,22.84,22.84,10.56,10.32,10.32
2021-09-30,568.84,568.84,0.0,-18.95,47.27,50.02,397.75,92.75,0.88,93.63,17.77,75.86,75.86,26.45,49.41,49.41,10.56,24.32,24.32
2021-12-31,551.57,551.57,0.0,-13.56,53.0,52.1,385.22,74.81,2.01,76.82,20.18,56.64,56.64,19.82,36.82,36.82,10.56,18.84,18.84
2022-03-31,654.37,654.37,0.0,-2.63,45.86,54.49,457.39,99.26,5.31,104.57,23.76,80.81,80.81,29.43,51.38,51.38,10.56,24.9,24.9
2022-06-30,675.83,675.83,0.0,-6.98,56.47,53.22,462.91,110.21,1.31,111.52,25.4,86.12,86.12,30.54,55.58,55.58,10.56,25.97,25.97
2022-09-30,771.27,771.27,0.0,-10.39,57.32,54.7,554.22,115.42,1.74,117.16,23.28,93.88,93.88,33.27,60.61,60.61,10.56,27.94,27.94
2022-12-31,747.62,747.62,0.0,-21.56,57.42,53.76,553.62,104.38,4.61,108.99,29.63,79.36,79.36,28.13,51.23,51.23,10.56,24.56,24.56
2023-03-31,785.52,785.52,0.0,8.64,55.77,53.29,553.56,114.26,4.43,118.69,38.6,80.09,80.09,9.75,70.34,70.34,10.56,33.76,33.76
2023-06-30,755.71,755.71,0.0,-14.94,56.54,58.07,550.81,105.23,2.94,108.17,35.58,72.59,72.59,18.5,54.09,54.09,10.56,26.6,26.6
2023-09-30,824.45,824.45,0.0,-17.86,62.43,56.51,607.14,116.23,5.31,121.54,37.26,84.28,84.28,21.57,62.71,62.71,10.56,29.21,29.21
2023-12-31,805.17,805.17,417.07,-18.58,66.23,58.82,183.24,98.39,1.6,99.99,39.03,60.96,60.96,15.63,45.33,45.33,10.56,21.45,21.45
2024-03-31,822.46,822.46,0.0,-54.73,63.56,62.65,665.32,85.66,4.76,90.42,42.75,47.67,47.67,12.21,35.46,35.46,10.56,16.75,16.75
2024-06-30,861.56,861.56,0.0,-16.23,64.64,61.67,665.27,86.21,4.17,90.38,45.85,44.53,44.53,12.23,32.3,32.3,11.92,17.72,17.72
2024-09-30,906.21,906.21,492.46,-8.27,71.96,64.8,217.92,67.34,9.22,76.56,38.28,38.28,38.28,9.67,28.61,28.61,11.93,12.63,12.63
2024-12-31,928.92,928.92,507.26,-7.19,76.24,68.64,237.32,46.65,13.12,59.77,51.86,7.91,7.91,2.62,5.29,5.29,11.93,2.22,2.22
2025-03-31,1151.26,1151.26,657.65,10.45,78.04,72.76,244.11,88.25,5.75,94.0,57.17,36.83,36.83,9.34,27.49,27.49,11.93,11.15,11.15
