Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Power & Fuel,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Extra Ordinary Items,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-09-30,1334.48,18.87,1353.35,626.9,0.96,50.41,179.68,89.25,38.62,97.48,270.05,191.7,461.75,7.79,453.96,0.0,453.96,71.23,382.73,0.0,382.73,91.76,41.72,41.68,5.72,62.3,2.34,100.0,25.54
2012-12-31,1203.96,15.78,1219.74,690.01,0.0,-91.15,183.48,99.4,39.51,106.87,191.62,79.35,270.97,10.68,260.29,0.0,260.29,62.34,197.95,0.0,197.95,91.77,21.57,21.55,5.66,61.73,2.34,100.0,25.53
2013-03-31,1376.48,19.71,1396.19,651.89,0.0,82.11,171.83,96.5,45.11,160.02,188.73,98.37,287.1,14.52,272.58,204.43,477.01,104.64,372.37,0.0,372.37,91.79,40.57,40.54,5.54,60.31,2.34,100.0,25.53
2013-06-30,1148.92,14.15,1163.07,646.9,0.95,-90.63,189.38,96.19,48.44,103.74,168.1,81.75,249.85,7.82,242.03,0.0,242.03,15.9,226.13,0.0,226.13,91.81,24.63,24.62,5.52,60.09,2.34,100.0,25.52
2013-09-30,1405.52,15.92,1421.44,718.41,2.12,-11.35,202.35,104.36,52.97,128.37,224.21,205.35,429.56,9.45,420.11,0.0,420.11,6.6,413.51,0.0,413.51,91.82,45.04,45.01,5.53,60.22,2.34,100.0,25.52
2013-12-31,1455.82,14.32,1470.14,788.7,1.08,27.98,206.07,96.38,54.68,141.09,154.16,34.84,189.0,13.35,175.65,0.0,175.65,49.56,126.09,0.0,126.09,91.84,13.73,13.73,5.5,59.91,2.34,100.0,25.52
2014-03-31,1528.35,20.5,1548.85,828.6,2.65,78.05,216.78,81.95,63.52,182.17,95.13,62.97,158.1,10.9,147.2,0.0,147.2,16.94,130.26,0.0,130.26,91.84,14.18,14.18,5.51,60.05,2.34,100.0,25.51
2014-06-30,1423.63,15.17,1438.8,853.64,1.15,-26.62,242.94,108.21,52.91,118.65,87.92,55.12,143.04,5.62,137.42,0.0,137.42,31.58,105.84,0.0,105.84,91.85,11.52,11.52,5.51,60.01,2.34,100.0,25.51
2014-09-30,1582.28,17.51,1599.79,902.87,0.57,-22.13,268.89,116.77,62.44,118.89,151.49,211.44,362.93,9.01,353.92,0.0,353.92,54.51,299.41,0.0,299.41,91.86,32.6,32.57,5.54,60.3,2.34,100.0,25.51
2014-12-31,1543.31,15.97,1559.28,939.89,1.57,-82.42,268.71,117.13,62.86,133.33,118.21,30.78,148.99,11.62,137.37,0.0,137.37,43.69,93.68,0.0,93.68,91.86,10.2,10.19,5.54,60.35,2.34,100.0,25.51
2015-03-31,1701.59,31.59,1733.18,925.93,17.81,66.13,260.08,140.14,84.34,193.95,44.8,50.73,95.53,13.08,82.45,-26.24,56.21,25.24,30.97,0.0,30.97,91.87,3.37,3.37,5.51,60.02,2.34,100.0,25.51
2015-06-30,1921.3,25.71,1947.01,947.07,6.12,52.11,314.54,140.83,95.2,197.59,193.55,35.05,228.6,40.94,187.66,0.0,187.66,53.14,134.52,0.0,134.52,93.33,14.41,14.4,5.55,60.44,2.34,100.0,25.51
2015-09-30,2119.72,25.04,2144.76,1125.82,13.79,-87.26,366.64,154.83,100.64,210.46,259.84,230.66,490.5,40.12,450.38,0.0,450.38,68.84,381.54,0.0,381.54,93.34,8.18,8.17,0.0,0.0,0.0,0.0,0.0
2015-12-31,2303.18,31.43,2334.61,1131.01,17.94,-41.83,365.91,163.56,123.25,237.63,337.14,35.38,372.52,39.55,332.97,0.0,332.97,61.09,271.88,0.0,271.88,91.88,5.83,5.82,0.0,0.0,0.0,0.0,0.0
2016-03-31,2542.87,0.0,2542.87,1185.77,2.73,70.15,356.66,158.12,125.78,386.42,257.24,57.38,314.62,26.79,287.83,-29.19,258.64,75.94,182.7,0.0,182.7,93.36,3.91,3.91,0.0,0.0,0.0,0.0,0.0
2016-06-30,2395.89,30.57,2426.46,1083.38,18.84,53.64,352.54,154.55,110.36,225.11,428.04,47.6,475.64,23.06,452.58,0.0,452.58,131.69,320.89,0.0,320.89,93.36,34.37,34.34,0.0,0.0,0.0,0.0,0.0
2016-09-30,2488.65,28.46,2517.11,1161.53,10.15,-10.64,370.94,164.2,111.9,262.39,446.64,330.22,776.86,15.62,761.24,0.0,761.24,168.97,592.27,0.0,592.27,93.37,12.69,12.67,0.0,0.0,0.0,0.0,0.0
2016-12-31,2494.71,31.24,2525.95,1196.61,13.56,-96.39,383.16,172.79,110.61,313.41,432.2,55.3,487.5,10.67,476.83,0.0,476.83,145.48,331.35,0.0,331.35,93.37,7.1,7.09,0.0,0.0,0.0,0.0,0.0
2017-03-31,2876.13,0.0,2876.13,1238.75,17.13,148.86,383.62,186.46,113.27,375.92,412.12,30.44,442.56,8.27,434.29,0.0,434.29,118.8,315.49,0.0,315.49,93.37,6.76,6.75,0.0,0.0,0.0,0.0,0.0
2017-06-30,2740.29,0.0,2740.29,1364.78,4.45,-105.33,408.82,178.82,110.25,333.42,445.08,65.81,510.89,7.33,503.56,0.0,503.56,156.37,347.19,0.0,347.19,93.38,7.44,7.43,0.0,0.0,0.0,0.0,0.0
2017-09-30,4037.27,0.0,4037.27,1840.23,47.89,14.53,570.38,301.75,166.36,477.33,618.8,268.78,887.58,42.73,844.85,-53.96,790.89,216.39,574.5,0.0,574.5,131.47,8.97,8.95,0.0,0.0,0.0,0.0,0.0
