Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-12-31,2036.09,0.0,2036.09,1405.28,70.85,-31.92,110.21,54.8,276.64,150.24,19.15,169.39,66.84,102.55,0.0,102.55,28.72,73.82,73.82,50.41,0.0,1.46,1.46,28.54,55.63,18.55,84.85,36.8
2013-03-31,2036.17,0.0,2036.17,1210.53,52.17,135.02,99.95,55.69,292.48,190.34,24.78,215.12,62.88,152.24,0.0,152.24,64.01,88.23,88.23,50.41,0.0,1.75,1.75,28.54,56.63,18.29,83.66,36.28
2013-06-30,2164.71,0.0,2164.71,1463.53,64.31,-35.32,114.62,59.4,303.54,194.63,8.0,202.62,63.3,139.33,0.0,139.33,45.76,93.57,93.57,50.41,0.0,1.86,1.86,28.54,56.63,18.28,83.64,36.28
2013-09-30,2106.85,0.0,2106.85,1455.6,70.33,-100.54,114.49,60.94,298.93,207.1,15.81,222.92,61.49,161.42,0.0,161.42,52.3,109.13,109.13,50.41,0.0,2.16,2.16,28.48,56.5,18.1,82.55,35.91
2013-12-31,2143.56,84.2,2227.76,1432.09,60.84,-43.75,125.45,64.92,346.0,242.21,42.12,284.33,63.46,220.87,-54.8,166.07,55.77,110.3,110.3,50.41,0.0,2.19,2.19,28.48,56.5,18.19,82.97,36.09
2014-03-31,2194.97,17.45,2212.42,1373.09,54.8,63.74,132.1,62.78,323.96,201.94,13.3,215.24,56.37,158.87,-11.25,147.62,18.0,129.62,129.62,50.41,0.0,2.57,2.56,28.48,56.5,19.86,90.59,39.41
2014-06-30,2294.06,12.48,2306.53,1451.28,63.52,26.5,147.47,60.61,329.72,227.45,21.69,249.13,51.29,197.85,0.0,197.85,58.8,139.05,139.05,50.91,0.0,2.76,2.75,28.48,55.94,20.18,90.01,39.66
2014-09-30,2235.03,14.6,2249.63,1509.84,67.69,-160.49,140.71,67.71,365.4,258.78,15.44,274.22,45.97,228.25,0.0,228.25,66.58,161.67,161.67,50.91,0.0,3.19,3.18,28.48,55.94,20.56,91.68,40.39
2014-12-31,2108.53,13.27,2121.8,1245.04,62.06,38.37,134.65,59.76,316.59,265.33,14.77,280.1,44.84,235.27,0.0,235.27,73.33,161.94,161.94,50.91,0.0,3.19,3.19,28.48,55.94,20.37,90.82,40.01
2015-03-31,2240.65,19.2,2259.85,1194.56,55.95,115.35,148.91,58.7,369.25,317.12,-14.35,302.77,30.0,272.78,0.0,272.78,90.35,182.42,182.42,50.91,0.0,3.59,3.59,28.48,55.94,19.75,88.08,38.8
2015-06-30,2124.14,19.62,2143.76,1131.82,63.67,25.62,134.75,59.62,384.8,343.48,11.78,355.26,25.6,329.66,0.0,329.66,108.02,221.65,221.65,50.91,0.0,4.35,4.35,28.48,55.94,19.74,88.03,38.78
2015-09-30,2241.94,22.71,2264.64,1227.38,52.97,57.27,139.34,68.34,388.24,331.11,9.34,340.45,22.4,318.05,0.0,318.05,102.87,215.18,215.18,50.91,0.0,4.23,4.23,0.0,0.0,0.0,0.0,0.0
2015-12-31,2138.51,19.35,2157.87,1145.69,54.06,41.02,147.13,69.02,402.33,298.62,8.49,307.11,22.08,285.03,0.0,285.03,99.7,185.33,185.33,50.91,0.0,3.64,3.64,0.0,0.0,0.0,0.0,0.0
2016-03-31,2133.45,46.99,2180.44,1136.26,53.7,2.71,144.72,68.16,445.11,329.78,22.61,352.39,23.9,328.49,0.0,328.49,101.85,226.64,226.64,50.9,0.0,4.45,4.45,0.0,0.0,0.0,0.0,0.0
2016-06-30,2246.53,19.42,2265.94,1237.08,56.55,-46.07,156.3,63.13,464.74,334.23,25.3,359.52,24.22,335.31,0.0,335.31,99.06,236.25,236.25,50.9,0.0,4.64,4.64,0.0,0.0,0.0,0.0,0.0
2016-09-30,2056.97,18.55,2075.52,1246.35,53.66,-121.61,148.71,64.42,417.47,266.52,42.79,309.31,23.53,285.78,0.0,285.78,81.16,204.62,204.62,50.9,0.0,4.02,4.02,0.0,0.0,0.0,0.0,0.0
2016-12-31,2178.26,22.7,2200.96,1296.05,54.43,-70.37,145.13,67.55,453.37,254.8,23.5,278.3,23.18,255.12,0.0,255.12,69.65,185.46,185.46,50.9,0.0,3.64,3.64,0.0,0.0,0.0,0.0,0.0
2017-03-31,2327.45,56.4,2383.84,1533.75,56.32,-80.12,140.6,93.11,456.45,183.74,46.87,230.61,21.31,209.3,0.0,209.3,33.01,176.29,176.29,50.9,0.0,3.46,3.46,0.0,0.0,0.0,0.0,0.0
2017-06-30,2284.08,24.37,2308.46,1575.52,62.74,-82.02,152.03,83.99,407.61,108.6,16.5,125.09,29.81,95.28,0.0,95.28,28.15,67.13,67.13,50.9,0.0,1.32,1.32,0.0,0.0,0.0,0.0,0.0
2017-09-30,2422.13,58.65,2480.77,1480.74,52.98,63.79,171.91,86.85,426.33,198.18,18.67,216.85,35.3,181.55,0.0,181.55,53.95,127.6,127.6,50.9,0.0,2.51,2.51,0.0,0.0,0.0,0.0,0.0
2017-12-31,2634.62,34.54,2669.16,1573.42,60.3,10.87,169.76,89.05,488.1,277.66,41.99,319.65,34.43,285.22,0.0,285.22,81.24,203.98,203.98,57.21,0.0,3.6,3.6,0.0,0.0,0.0,0.0,0.0
2018-03-31,2792.41,48.9,2841.31,1651.48,75.74,19.91,191.64,104.5,499.48,298.57,44.7,343.26,38.0,305.27,0.0,305.27,81.59,223.68,223.68,57.21,0.0,3.91,3.91,0.0,0.0,0.0,0.0,0.0
2018-06-30,3021.15,38.65,3059.8,1970.37,89.89,-123.85,186.03,101.2,523.99,312.17,28.47,340.63,36.95,303.68,0.0,303.68,86.79,216.88,216.88,57.21,0.0,3.79,3.79,0.0,0.0,0.0,0.0,0.0
2018-09-30,3044.13,65.01,3109.15,2000.62,213.06,-207.33,189.87,106.95,540.53,265.44,10.61,276.05,33.43,242.62,-40.0,202.62,55.78,146.84,146.84,57.21,0.0,2.57,2.57,0.0,0.0,0.0,0.0,0.0
2018-12-31,3060.27,62.91,3123.17,1979.43,236.98,-120.41,180.14,106.82,504.78,235.44,26.86,262.3,37.23,225.07,-60.0,165.07,42.07,123.0,123.0,57.21,0.0,2.15,2.15,0.0,0.0,0.0,0.0,0.0
2019-03-31,2964.04,97.47,3061.51,1633.43,195.6,190.11,181.21,131.36,510.21,219.58,45.68,265.26,30.24,235.03,-100.0,135.03,29.64,105.38,105.38,57.21,0.0,1.84,1.84,0.0,0.0,0.0,0.0,0.0
2019-06-30,3044.43,59.28,3103.7,1842.25,185.95,-65.25,219.79,145.4,560.15,215.41,21.47,236.88,45.4,191.48,0.0,191.48,41.62,149.86,149.86,57.21,0.0,2.62,2.62,0.0,0.0,0.0,0.0,0.0
2019-09-30,2714.98,59.74,2774.73,1513.41,171.96,61.07,200.4,148.63,502.73,176.53,1.5,178.03,51.3,126.73,0.0,126.73,26.98,99.75,99.75,57.21,0.0,1.74,1.74,0.0,0.0,0.0,0.0,0.0
2019-12-31,2702.21,51.39,2753.6,1449.13,159.85,69.0,215.99,152.82,502.5,204.31,8.62,212.93,54.93,158.0,0.0,158.0,27.33,130.67,130.67,57.21,0.0,2.28,2.28,0.0,0.0,0.0,0.0,0.0
2020-03-31,2371.08,58.92,2430.01,1268.17,133.96,48.01,189.94,173.86,440.14,175.93,3.31,179.24,74.06,105.18,0.0,105.18,-23.16,128.34,128.34,57.21,0.0,2.24,2.24,0.0,0.0,0.0,0.0,0.0
2020-06-30,1727.26,45.21,1772.47,728.76,88.1,273.2,195.73,171.45,296.13,19.1,15.26,34.36,102.79,-68.43,0.0,-68.43,-14.78,-53.65,-53.65,57.21,0.0,-0.9,-0.9,0.0,0.0,0.0,0.0,0.0
2020-09-30,2861.39,48.86,2910.24,1527.06,167.48,-13.75,216.53,174.31,464.6,374.01,30.32,404.33,101.77,302.57,-4.84,297.73,81.49,216.24,216.24,57.21,0.0,3.58,3.58,0.0,0.0,0.0,0.0,0.0
2020-12-31,3230.21,187.65,3417.86,1816.56,208.09,-82.73,226.29,176.95,518.04,554.65,23.32,577.97,89.32,488.65,-5.54,483.11,147.71,335.4,335.4,63.51,0.0,5.3,5.3,0.0,0.0,0.0,0.0,0.0
2021-03-31,3535.65,93.92,3629.57,2165.93,231.15,-169.81,272.35,190.67,569.34,369.94,55.87,425.8,85.54,340.27,-0.64,339.63,114.8,224.83,224.83,63.51,0.0,3.54,3.54,0.0,0.0,0.0,0.0,0.0
2021-06-30,3219.95,0.0,3219.95,2069.15,199.48,-149.47,262.34,192.4,504.9,141.15,37.82,178.98,89.33,89.65,-0.76,88.89,20.96,67.92,67.92,63.51,0.0,1.07,1.07,0.0,0.0,0.0,0.0,0.0
2021-09-30,3649.71,0.0,3649.71,2471.63,223.65,-234.89,260.0,195.08,553.14,181.1,31.75,212.86,89.62,123.23,-0.51,122.73,33.07,89.65,89.65,63.51,0.0,1.41,1.41,0.0,0.0,0.0,0.0,0.0
2021-12-31,3791.7,0.0,3791.7,2262.0,201.11,182.09,255.47,202.67,546.01,142.34,19.02,161.37,95.1,66.27,0.0,66.27,17.08,49.19,49.19,63.51,0.0,0.77,0.77,0.0,0.0,0.0,0.0,0.0
2022-03-31,3988.05,0.0,3988.05,2690.99,222.35,-146.18,246.21,233.77,598.63,142.28,38.3,180.58,108.1,72.48,0.0,72.48,18.18,54.3,54.3,63.51,0.0,0.85,0.85,0.0,0.0,0.0,0.0,0.0
2022-06-30,4436.23,0.0,4436.23,2988.27,246.0,-113.17,260.37,215.52,625.95,213.29,28.85,242.15,105.79,136.35,0.0,136.35,32.01,104.34,104.34,63.51,0.0,1.64,1.64,0.0,0.0,0.0,0.0,0.0
2022-09-30,4251.94,0.0,4251.94,2698.92,223.59,67.58,247.96,222.52,576.5,214.87,19.19,234.06,120.58,113.49,0.0,113.49,32.69,80.8,80.8,63.51,0.0,1.27,1.27,0.0,0.0,0.0,0.0,0.0
2022-12-31,4246.62,0.0,4246.62,2555.76,253.44,48.9,249.77,226.87,590.42,321.46,9.9,331.36,122.57,208.79,0.0,208.79,71.23,137.56,137.56,63.51,0.0,2.17,2.17,0.0,0.0,0.0,0.0,0.0
2023-03-31,4366.23,0.0,4366.23,2450.83,239.79,42.24,267.82,242.14,669.18,454.25,17.18,471.43,118.29,353.14,0.0,353.14,97.11,256.03,256.03,63.51,0.0,4.03,4.03,0.0,0.0,0.0,0.0,0.0
2023-06-30,4413.26,0.0,4413.26,2425.38,244.05,-0.47,278.18,226.04,679.43,560.66,28.58,589.24,109.89,479.35,-13.2,466.15,163.5,302.65,302.65,63.51,0.0,4.77,4.77,0.0,0.0,0.0,0.0,0.0
2023-09-30,4406.7,0.0,4406.7,2319.24,231.44,100.78,271.9,227.89,641.95,613.5,32.98,646.48,105.66,540.82,-10.78,530.04,185.81,344.22,344.22,63.51,0.0,5.42,5.42,0.0,0.0,0.0,0.0,0.0
2023-12-31,4331.93,0.0,4331.93,2493.69,230.75,-162.43,283.12,227.87,702.75,556.17,12.66,568.83,99.52,469.31,-15.02,454.3,158.67,295.62,295.62,63.51,0.0,4.65,4.65,0.0,0.0,0.0,0.0,0.0
2024-03-31,4387.44,0.0,4387.44,2282.51,241.13,85.06,275.52,234.7,818.74,449.78,61.58,511.36,88.43,422.93,-36.8,386.13,174.61,211.53,211.53,63.51,3181.92,3.33,3.33,0.0,0.0,0.0,0.0,0.0
2024-06-30,4591.59,0.0,4591.59,2687.25,228.08,-71.05,300.23,229.09,813.94,404.05,30.85,434.9,87.39,347.51,-52.56,294.95,102.98,191.97,191.97,63.51,0.0,3.02,3.02,0.0,0.0,0.0,0.0,0.0
2024-09-30,4461.74,0.0,4461.74,2916.9,253.79,-336.19,277.27,232.75,811.08,306.15,24.83,330.98,87.27,243.71,-4.08,239.62,74.85,164.78,164.78,63.51,0.0,2.59,2.59,0.0,0.0,0.0,0.0,0.0
2024-12-31,4539.77,0.0,4539.77,2826.57,255.2,-56.32,285.6,233.2,725.2,270.33,21.52,291.86,96.09,195.77,-2.44,193.33,69.81,123.52,123.52,63.51,0.0,1.94,1.94,0.0,0.0,0.0,0.0,0.0
2025-03-31,4580.51,0.0,4580.51,2732.3,266.35,3.83,272.91,234.14,789.97,281.01,38.33,319.34,95.02,224.32,8.17,232.49,83.32,149.16,149.16,63.51,2892.77,2.35,2.35,0.0,0.0,0.0,0.0,0.0
