Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Fixed Assets,Non-Current Investments,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Raw Materials,"Stores, Spares And Loose Tools",Capital Goods,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Revaluation Reserves,Long Term Loans And Advances,Short Term Loans And Advances,Money Received Against Share Warrants,Government/Other Grants,Deferred Tax Assets [Net],Equity Share Application Money,Preference Share Capital,Employees Stock Options,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Foreign Currency Monetary Item Translation Difference A/C,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Trade/Other Goods
2004-03-31,38.34,38.34,530.7,533.59,571.93,233.17,97.09,0.0,0.0,330.26,188.24,266.72,9.39,198.72,663.07,1565.26,641.52,6.56,65.84,0.0,713.92,64.21,1.65,781.98,0.0,262.66,87.78,106.35,0.0,783.28,1565.26,124.46,282.0,0.0,93.2,9.44,0.0,40.69,0.0,0.0,9.31,76.7,0.0,0.0,2.89,0.0,326.49,0.0,0.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,38.34,38.34,534.94,538.4,576.74,251.11,105.61,0.0,0.0,356.72,292.7,366.64,13.5,188.07,860.91,1794.37,741.0,9.13,84.33,0.0,834.46,54.48,0.38,891.58,0.0,330.12,156.52,110.43,0.0,902.79,1794.37,113.14,426.03,0.0,38.72,26.17,0.0,2.2,0.0,0.0,19.97,44.1,0.0,0.0,3.46,0.0,305.72,0.0,0.0,2.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,38.34,38.34,592.37,595.68,634.02,309.23,113.7,0.0,0.0,422.93,440.77,406.54,9.18,210.53,1067.02,2123.97,829.37,11.3,77.93,0.0,918.6,0.53,0.26,927.88,0.0,419.41,175.14,231.36,0.0,1196.09,2123.97,106.63,456.11,0.0,42.23,21.05,0.0,0.88,0.0,0.0,1.07,0.25,0.0,0.0,3.31,0.0,370.18,0.0,0.0,8.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,46.41,46.41,917.56,920.71,967.12,222.59,139.44,0.0,0.0,362.03,356.12,521.14,21.07,289.12,1187.44,2568.31,937.43,13.43,80.46,0.0,1031.31,258.11,0.12,1299.93,0.0,451.95,203.06,172.0,0.0,1268.38,2568.31,119.29,806.98,0.0,106.75,28.9,2.67,41.7,0.0,0.0,0.11,257.97,0.0,0.0,3.16,0.0,441.37,0.0,40.0,10.38,11.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,48.85,48.85,1176.84,1180.0,1228.85,134.74,152.49,0.0,0.0,287.23,287.58,561.2,4.63,428.83,1282.23,2841.21,956.77,14.23,94.41,0.0,1065.4,302.71,0.26,1379.66,0.0,513.29,155.13,265.85,0.0,1461.55,2841.21,444.96,731.42,0.0,20.44,22.33,2.66,94.02,0.0,0.0,0.07,302.53,0.0,0.0,3.16,0.0,527.27,0.0,38.33,11.29,4.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,50.41,50.41,1302.18,1305.3,1355.71,522.87,167.02,0.0,0.0,689.9,136.4,448.79,11.34,479.55,1076.08,3157.93,1128.21,15.13,281.41,0.0,1424.75,297.45,0.15,1733.3,0.0,417.05,87.28,340.6,0.0,1424.63,3157.93,682.36,1043.64,0.0,108.61,19.24,2.96,250.33,0.0,0.0,0.03,297.26,0.0,0.0,3.12,0.0,579.7,0.0,36.24,10.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,50.41,50.41,1673.07,1676.19,1726.6,911.14,206.79,0.0,0.0,1117.93,187.99,682.62,8.04,699.99,1578.64,4457.0,1594.07,16.16,536.04,0.0,2146.27,559.38,0.0,2714.98,0.0,552.73,137.54,258.83,0.0,1742.01,4457.0,921.46,1250.47,0.0,366.64,36.81,1.45,313.82,0.0,0.0,0.09,559.18,0.0,0.0,3.12,0.0,792.92,0.0,33.83,9.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,50.41,50.41,1842.03,1845.15,1895.56,858.17,241.07,12.12,0.0,1111.36,836.07,742.91,481.06,181.7,2241.73,5248.66,2377.85,5.73,357.78,0.0,2741.35,559.35,0.0,3555.62,0.0,1136.33,204.28,141.26,0.0,1693.04,5248.66,828.92,1925.33,4.28,346.47,54.56,0.15,484.68,1.49,0.0,0.09,559.31,0.0,0.0,3.12,254.92,211.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,50.41,50.41,1994.07,1997.2,2047.6,1261.99,295.86,12.36,0.0,1570.21,751.25,816.09,410.94,173.39,2151.67,5769.48,2844.7,5.93,310.66,0.0,3161.29,562.65,0.0,3929.35,0.0,1111.42,363.91,115.59,0.0,1840.13,5769.48,411.32,2758.76,5.98,240.3,101.82,0.1,773.12,3.45,0.0,0.11,562.62,0.0,0.0,3.12,205.41,249.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,50.41,50.41,2277.12,2280.24,2341.42,1338.37,351.84,12.41,0.0,1702.62,539.42,600.1,462.56,191.09,1793.17,5837.21,3063.39,7.96,248.97,0.0,3320.33,612.7,0.0,4102.02,0.0,1120.83,273.14,154.19,0.07,1735.19,5837.21,748.98,2622.21,6.55,162.34,116.54,0.0,809.17,10.61,0.0,0.06,612.66,0.0,0.0,3.12,168.99,186.97,10.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-03-31,50.41,50.41,2675.51,2678.63,2739.82,713.73,390.95,6.21,6.76,1117.65,180.67,898.34,890.74,284.78,2254.53,6112.0,3242.16,11.42,34.97,0.0,3288.55,651.46,21.41,4084.47,0.0,1283.69,240.55,221.11,37.61,2027.53,6112.0,253.25,2549.22,6.51,50.37,195.32,0.0,814.23,11.55,0.0,0.06,651.43,0.0,0.0,3.12,123.04,244.58,10.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,50.91,50.91,3216.65,3219.78,3270.69,333.94,412.24,6.91,7.84,760.94,462.66,662.18,561.69,403.25,2089.78,6121.41,3096.53,10.52,129.65,0.0,3236.69,651.92,36.02,4102.66,100.0,1185.19,320.01,207.84,37.6,2018.75,6121.41,151.52,2409.81,6.45,44.79,190.62,0.0,922.23,33.78,0.0,0.12,651.88,0.0,100.0,3.12,178.03,168.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,50.9,50.9,4606.93,4606.93,4657.84,257.29,444.53,74.13,6.96,782.9,373.72,856.57,572.67,275.87,2078.82,7519.55,3286.9,12.93,416.37,0.0,3716.2,1004.32,376.43,5098.23,501.77,1019.75,292.76,290.97,314.26,2421.33,7519.55,465.81,1964.81,6.22,173.77,269.07,0.0,739.29,48.36,0.0,0.0,0.59,0.0,501.77,0.0,1.28,1.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,50.9,50.9,5280.29,5280.29,5331.19,834.03,492.73,302.7,39.17,1668.63,784.0,1040.75,728.44,322.99,2876.2,9876.01,4770.95,24.22,621.48,0.0,5416.64,1004.86,263.8,6687.02,394.44,1729.4,386.49,139.38,363.77,3189.0,9876.01,501.38,2324.59,5.64,1051.84,317.89,0.0,806.96,26.92,0.0,0.0,1004.04,344.44,50.0,0.0,1.71,175.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-31,57.21,57.21,7203.41,7203.41,7260.61,1864.39,544.34,356.5,45.07,2810.3,647.42,1512.57,646.56,265.12,3071.67,13142.58,5679.32,34.55,671.79,0.0,6385.65,1639.38,238.64,8265.66,1339.05,1721.49,550.15,260.52,429.55,4876.92,13142.58,335.34,2865.74,6.4,525.84,303.51,0.0,895.49,77.78,0.0,0.0,1639.1,364.05,975.0,0.0,1.99,576.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-31,57.21,57.21,7583.96,7583.96,7641.16,2443.86,575.46,289.48,49.88,3358.68,292.51,1368.66,821.95,165.98,2649.1,13648.94,6368.08,31.44,654.9,0.0,7054.42,2232.57,851.51,10138.5,0.0,2051.48,779.5,217.57,461.9,3510.44,13648.94,4497.96,3340.14,10.7,171.96,415.96,0.59,1069.0,86.81,0.0,0.28,2232.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,57.21,57.21,7634.94,7634.94,7692.15,3208.32,531.27,907.44,50.33,4697.37,1118.07,1610.72,1183.5,180.19,4092.48,16481.99,9253.16,32.04,1272.07,0.0,10557.26,2409.52,597.66,13564.44,0.0,1808.25,445.08,236.58,427.63,2917.55,16481.99,2704.89,2126.61,11.14,1335.18,458.53,0.0,1116.99,74.02,0.0,0.04,2409.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,63.51,63.51,9409.05,9409.05,9472.56,3660.43,673.37,978.71,49.48,5361.99,100.49,1929.26,2106.82,192.34,4328.9,19163.45,10196.54,37.6,1029.96,0.0,11264.09,2409.72,592.07,14265.88,90.07,2076.6,732.04,1400.25,598.62,4897.57,19163.45,1486.39,2062.05,10.53,376.77,388.84,0.0,1013.24,84.6,6.31,0.12,2409.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-31,63.51,63.51,9454.96,9454.96,9518.47,3531.01,705.33,1072.44,49.04,5357.82,855.28,2784.31,1311.87,194.78,5146.23,20022.53,11785.43,43.9,548.04,0.0,12377.37,2423.99,427.66,15229.01,450.61,2463.89,995.98,525.43,357.61,4793.52,20022.53,751.17,3258.12,16.06,720.84,396.73,0.0,2149.59,93.01,6.31,0.24,2423.75,450.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,63.51,63.51,9836.39,9836.39,9899.9,3174.81,795.54,661.6,49.3,4681.25,900.65,2429.11,1996.5,207.24,5533.49,20114.64,11767.71,46.21,115.92,18.57,11948.42,2421.36,459.76,14829.54,401.69,2276.87,1588.39,510.66,507.49,5285.11,20114.64,487.94,0.0,0.0,0.0,424.8,0.0,2481.76,112.31,6.31,0.21,2421.16,401.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-31,63.51,63.51,10375.91,10375.91,10439.42,2448.57,1454.15,641.2,43.48,4587.4,733.35,2137.88,1914.43,231.43,5017.08,20043.9,11233.33,63.11,174.69,15.19,11486.33,2426.01,442.15,14354.48,493.46,2322.73,1859.44,504.76,509.04,5689.42,20043.9,1221.18,0.0,0.0,0.0,617.5,0.0,2030.91,123.2,6.31,0.25,2425.76,493.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
