Date,Net Sales/Income from operations,Total Income From Operations,Consumption of Raw Materials,Increase/Decrease in Stocks,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS
2017-06-30,460.43,460.43,286.49,5.46,40.54,24.95,81.66,21.33,4.56,25.89,8.98,16.91,0.0,16.91,6.03,10.88,10.88,12.31,0.84,0.84
2017-09-30,527.81,527.81,325.37,13.11,43.23,25.14,84.66,36.31,7.37,43.68,9.86,33.82,0.0,33.82,10.53,23.29,23.29,12.31,0.0,1.62
2017-12-31,501.42,501.42,325.34,-11.32,43.44,25.93,91.0,27.04,9.84,36.88,10.68,26.2,0.0,26.2,7.94,18.26,18.26,12.31,0.0,0.0
2018-03-31,557.23,557.23,367.35,-8.31,48.17,25.59,92.57,31.87,7.0,38.87,10.63,28.24,0.0,28.24,10.84,17.4,17.4,12.31,1.29,1.29
2018-06-30,619.9,619.9,402.6,-3.05,53.39,26.01,104.41,36.54,12.43,48.97,10.04,38.93,0.0,38.93,13.1,25.83,25.83,13.48,1.92,1.92
2018-09-30,693.43,693.43,451.63,-2.52,53.81,26.26,104.36,59.89,15.63,75.52,10.12,65.4,0.0,65.4,17.97,47.43,47.43,13.48,3.52,3.52
2018-12-31,646.08,646.08,435.49,-16.66,55.34,26.6,95.29,50.02,13.94,63.96,9.6,54.36,0.0,54.36,16.37,37.99,37.99,13.48,2.82,2.82
2019-03-31,613.75,613.75,409.66,-2.23,57.08,28.65,105.45,15.14,9.49,24.63,9.45,15.18,0.0,15.18,6.89,8.29,8.29,13.48,0.61,0.61
2019-06-30,626.05,626.05,382.81,22.94,58.73,30.91,100.4,30.27,7.24,37.51,11.16,26.35,0.0,26.35,7.6,18.75,18.75,13.48,1.39,1.39
2019-09-30,587.23,587.23,367.55,10.61,54.45,32.51,95.47,26.65,12.46,39.11,10.23,28.88,0.0,28.88,4.48,24.41,24.41,13.48,1.81,1.81
2019-12-31,570.62,570.62,369.5,-8.41,50.89,33.37,90.53,34.74,8.23,42.96,9.68,33.28,0.0,33.28,9.78,23.5,23.5,13.48,1.74,1.74
2020-03-31,520.05,520.05,340.17,-8.46,54.11,34.91,95.82,3.5,40.35,43.85,11.31,32.54,0.0,32.54,0.17,32.37,32.37,13.48,2.4,2.4
2020-06-30,213.12,213.12,135.89,-2.48,40.03,36.33,47.71,-44.35,8.1,-36.26,12.76,-49.02,0.0,-49.02,-17.63,-31.39,-31.39,13.48,-2.33,-2.33
2020-09-30,646.44,646.44,420.69,-3.23,48.67,36.47,100.61,43.23,11.58,54.81,16.14,38.67,0.0,38.67,13.98,24.69,24.69,13.48,1.83,1.83
2020-12-31,790.96,790.96,540.5,-25.95,66.53,39.59,123.8,46.49,15.28,61.77,12.87,48.9,0.0,48.9,13.41,35.5,35.5,13.48,2.63,2.63
2021-03-31,823.5,823.5,605.49,-38.92,81.17,38.4,110.81,26.55,39.29,65.84,13.99,51.85,0.0,51.85,18.73,33.12,33.12,15.28,2.43,2.43
2021-06-30,666.02,666.02,481.29,-51.61,80.69,39.55,106.32,9.78,9.48,19.26,12.57,6.69,0.0,6.69,1.56,5.13,5.13,15.28,0.34,0.34
2021-09-30,888.16,888.16,584.62,9.21,88.07,44.07,129.81,32.38,25.43,57.81,17.38,40.43,0.0,40.43,15.66,24.77,24.77,15.28,1.62,1.62
2021-12-31,856.81,856.81,579.53,-8.92,80.12,44.14,154.65,7.29,13.89,21.18,28.63,-7.46,0.0,-7.46,-3.45,-4.01,-4.01,15.28,-0.26,-0.26
2022-03-31,880.82,880.82,590.25,33.64,81.54,42.59,111.17,21.63,15.81,37.44,32.4,5.04,0.0,5.04,4.95,0.09,0.09,15.28,0.01,0.01
2022-06-30,919.21,919.21,616.39,0.7,89.9,44.66,158.49,9.08,15.21,24.29,33.62,-9.33,0.0,-9.33,-3.46,-5.88,-5.88,15.28,-0.38,-0.38
2022-09-30,1088.73,1088.73,784.09,-46.5,94.72,44.43,185.8,26.2,17.27,43.47,40.86,2.61,-1324.0,-1321.39,31.94,-1353.33,-1353.33,15.28,-88.57,-88.57
2022-12-31,973.84,973.84,674.7,-5.83,90.09,48.83,138.14,27.9,7.18,35.08,47.26,-12.18,0.0,-12.18,-12.37,0.19,0.19,15.28,0.01,0.01
2023-03-31,936.11,936.11,594.53,35.81,91.47,56.54,149.4,8.36,13.35,21.71,48.36,-26.65,-8.19,-34.84,-7.06,-27.78,-27.78,15.28,-1.82,-1.82
2023-06-30,1047.76,1047.76,725.13,-13.09,96.13,47.49,170.8,21.31,8.88,30.18,44.45,-14.27,-4.5,-18.77,-5.25,-13.52,-13.52,15.28,-0.88,-0.88
2023-09-30,1110.81,1110.81,758.63,-8.84,108.67,49.83,168.35,34.17,16.28,50.45,47.28,3.17,0.0,3.17,1.06,2.11,2.11,15.28,0.14,0.14
2023-12-31,1169.52,1169.52,779.94,2.83,109.27,49.48,168.98,59.02,5.24,64.25,43.26,20.99,0.0,20.99,-283.21,304.2,304.2,15.28,19.91,19.91
2024-03-31,1200.45,1200.45,723.28,12.82,105.95,51.36,166.11,140.92,3.51,144.43,44.15,100.28,0.0,100.28,36.01,64.27,64.27,15.28,4.21,4.21
2024-06-30,1136.13,1136.13,775.23,-29.39,113.54,45.03,167.87,63.84,2.98,66.82,41.13,25.69,0.0,25.69,8.03,17.65,17.65,15.28,1.16,1.16
2024-09-30,1249.78,1249.78,845.74,-27.74,120.46,44.79,165.23,101.29,3.36,104.65,40.35,64.31,0.0,64.31,17.16,47.14,47.14,15.28,3.08,3.08
2024-12-31,1875.86,1875.86,1249.45,11.06,176.47,63.04,264.67,111.17,3.17,114.34,40.3,74.04,-11.27,62.77,17.27,45.5,45.5,15.28,2.98,2.98
