Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Employees Stock Options,Total Shareholders Funds,Equity Share Application Money,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Fixed Assets,Non-Current Investments,Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Raw Materials,"Stores, Spares And Loose Tools",Capital Goods,Other Assets,Deferred Tax Assets [Net],Trade/Other Goods,Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale
2004-03-31,16.06,16.06,232.9,232.9,0.0,248.96,0.0,7.58,11.71,0.0,0.0,19.29,33.41,27.84,15.4,12.99,89.64,357.9,128.12,0.0,0.0,0.0,128.12,2.82,0.0,0.0,131.39,0.0,41.39,158.06,5.6,21.45,0.0,226.5,357.9,1.37,31.54,0.13,154.85,2.9,9.28,0.02,3.75,0.0,0.0,12.61,0.0,8.32,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,16.06,16.06,270.13,270.13,0.0,286.19,0.0,10.34,14.61,0.0,0.0,24.96,52.53,20.17,14.84,14.14,101.68,412.82,134.34,0.0,0.35,0.0,134.68,2.98,0.0,0.0,138.01,0.0,51.59,188.87,9.22,25.06,0.07,274.81,412.82,0.89,49.97,0.12,197.85,0.1,9.28,0.04,3.26,0.0,0.0,14.58,0.0,2.14,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,16.07,16.07,317.01,317.01,0.0,333.09,0.0,16.48,15.85,0.0,0.0,32.34,77.05,24.96,23.93,15.99,141.92,507.34,134.5,0.0,12.8,0.0,147.3,2.98,0.0,0.0,150.71,0.0,63.19,252.58,11.39,29.47,0.0,356.63,507.34,18.09,65.61,0.12,244.71,0.05,9.28,0.0,2.98,0.0,0.0,26.13,0.0,2.23,0.0,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,16.87,16.87,404.26,404.26,0.0,421.13,0.01,15.02,19.34,0.0,0.0,34.36,156.38,59.12,18.85,16.49,250.84,706.34,200.06,0.0,22.27,0.0,222.33,33.54,0.0,0.0,256.45,0.0,76.08,317.63,19.71,36.47,0.0,449.89,706.34,3.92,89.17,0.13,287.67,0.05,9.28,3.27,29.04,0.0,0.0,14.99,0.0,29.24,0.0,0.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,16.87,16.87,446.32,446.32,0.0,463.19,0.0,52.91,18.26,0.0,0.0,71.17,139.95,39.87,17.12,15.05,211.99,746.34,230.87,0.37,2.29,0.0,233.53,42.91,0.0,0.0,280.03,0.0,65.11,328.04,14.51,58.65,0.0,466.31,746.34,1.96,107.17,0.07,318.17,1.33,9.28,1.22,38.41,0.0,0.0,20.97,0.0,1.45,0.0,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,16.87,16.87,515.19,515.19,0.0,532.05,0.0,66.9,19.55,0.0,0.0,86.45,101.39,33.46,27.4,21.02,183.28,801.78,217.34,3.45,6.69,0.0,227.48,45.59,0.0,0.0,279.18,0.0,55.18,374.5,41.45,51.47,0.0,522.6,801.78,1.56,151.24,0.02,448.09,2.23,9.28,1.06,41.1,0.0,0.0,23.15,0.0,0.43,0.0,6.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,16.87,16.87,596.51,596.51,0.0,613.37,0.0,47.08,19.25,0.0,0.0,66.32,86.37,45.76,30.2,33.28,195.61,875.3,214.51,3.49,0.0,0.0,218.0,62.46,0.0,0.0,285.47,0.0,56.41,407.27,70.57,55.51,0.08,589.84,875.3,3.22,144.8,0.05,418.96,0.29,9.28,0.52,61.95,0.0,0.0,23.39,0.0,2.88,0.0,5.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,16.9,16.9,696.38,696.38,0.0,713.28,0.0,12.03,14.44,0.0,6.88,33.35,133.36,44.36,55.7,27.22,260.64,1007.27,224.69,0.5,3.67,0.0,228.94,42.24,12.16,0.0,283.34,81.05,81.78,385.45,122.92,52.72,0.0,723.92,1007.27,41.28,168.67,0.1,488.81,0.42,9.28,0.99,41.35,0.0,81.05,46.47,0.39,11.19,0.08,0.0,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,16.94,16.94,936.92,936.92,0.0,953.86,0.0,11.52,16.56,0.0,8.27,36.35,55.23,33.54,76.7,17.05,182.51,1172.72,240.21,0.8,38.92,0.0,280.01,38.79,12.58,0.0,331.38,298.92,90.8,131.21,211.36,109.05,0.0,841.34,1172.72,32.15,84.5,0.08,330.81,0.0,9.28,0.0,38.8,0.0,298.92,32.48,0.33,31.24,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,16.94,16.94,992.06,992.06,0.0,1009.0,0.0,7.24,21.97,0.0,8.23,37.45,36.77,51.76,98.41,39.43,226.38,1272.82,292.49,1.87,4.73,0.0,299.17,38.98,14.28,0.0,352.44,394.68,89.89,194.64,149.11,92.07,0.0,920.39,1272.82,55.42,58.29,0.04,466.42,9.05,9.28,0.0,38.99,0.0,394.68,51.05,1.66,6.93,0.08,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-03-31,16.95,16.95,1030.87,1030.87,0.0,1047.81,0.0,0.49,19.89,0.0,12.19,32.56,81.28,51.69,94.0,34.59,261.56,1341.93,280.16,2.04,46.32,0.0,328.53,38.86,10.62,0.0,378.0,497.26,111.23,248.05,10.8,96.59,0.0,963.93,1341.93,70.6,70.76,0.12,554.55,5.99,9.28,0.0,38.97,0.0,497.26,69.55,1.23,15.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,16.96,16.96,999.35,999.35,0.0,1016.31,0.0,0.4,21.62,0.0,12.03,34.05,104.73,62.31,82.6,148.76,398.4,1448.76,299.62,1.25,54.65,0.52,356.04,48.64,17.62,0.0,422.3,548.86,128.47,248.49,9.06,91.58,0.0,1026.47,1448.76,115.24,38.24,0.12,578.67,4.64,9.28,0.0,48.99,0.0,548.86,78.92,1.17,10.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,16.96,16.96,1205.74,1205.74,0.0,1222.71,0.0,0.0,32.07,3.81,10.2,46.07,174.4,68.61,123.32,6.23,372.56,1641.33,367.97,1.38,134.19,0.7,504.24,364.38,0.15,22.81,891.59,247.28,133.29,265.67,10.71,0.57,92.23,749.75,1641.33,91.92,39.64,0.76,611.49,5.41,9.28,223.45,140.93,247.28,0.0,65.35,2.36,21.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
