Date,Net Sales/Income from operations,Total Income From Operations,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS
2020-12-31,64.77,64.77,33.47,2.98,10.82,17.49,0.6,18.1,0.93,17.17,17.17,4.51,12.66,12.66,13.76,4.6,3.05
2021-03-31,67.09,67.09,40.94,2.8,12.75,10.61,3.31,13.93,0.74,13.19,13.19,5.36,7.83,7.83,13.76,2.85,1.89
2021-06-30,94.47,94.47,41.9,2.82,10.13,39.63,0.21,39.83,0.68,39.15,39.15,9.77,29.39,29.39,20.81,7.06,0.0
2021-09-30,98.3,98.3,45.39,2.83,10.31,39.78,1.34,41.11,0.38,40.73,40.73,10.57,30.16,30.16,20.81,7.25,7.24
2021-12-31,102.0,102.0,48.43,3.01,9.88,40.68,2.31,42.98,0.32,42.66,42.66,10.79,31.87,31.87,20.81,7.68,7.65
2022-03-31,108.89,108.89,50.73,2.07,13.49,42.59,1.45,44.04,0.63,43.41,43.41,9.38,34.03,34.03,20.81,8.19,8.15
2022-06-30,127.95,127.95,59.05,2.59,14.13,52.17,1.26,53.43,0.89,52.54,52.54,13.07,39.47,39.47,20.81,9.48,9.44
2022-09-30,131.88,131.88,57.38,2.82,15.12,56.56,1.32,57.88,0.81,57.07,57.07,14.44,42.63,42.63,20.84,10.24,10.21
2022-12-31,132.99,132.99,56.97,3.08,15.5,57.43,1.6,59.03,1.13,57.9,57.9,15.01,42.9,42.9,20.84,10.3,10.27
2023-03-31,137.16,137.16,61.46,3.06,16.31,56.33,3.49,59.82,1.07,58.75,58.75,15.56,43.19,43.19,20.84,10.36,10.32
2023-06-30,167.71,167.71,76.82,3.25,19.49,68.16,2.92,71.08,1.36,69.72,69.72,17.36,52.36,52.36,20.84,12.56,12.5
2023-09-30,175.33,175.33,78.66,3.34,21.4,71.94,6.02,77.96,1.62,76.34,76.34,19.7,56.65,56.65,20.87,13.58,13.54
2023-12-31,174.89,174.89,76.14,3.74,21.15,73.87,4.21,78.08,1.63,76.45,76.45,19.52,56.92,56.92,20.87,13.64,13.6
2024-03-31,176.73,176.73,82.18,3.94,24.04,66.57,12.42,79.0,1.83,77.16,77.16,21.66,55.5,55.5,20.91,13.31,13.29
2024-06-30,229.36,229.36,106.51,4.39,26.94,91.52,7.23,98.75,1.38,97.37,97.37,25.14,72.23,72.23,20.73,17.27,17.25
2024-09-30,234.11,234.11,107.12,4.84,24.96,97.19,6.27,103.46,2.94,100.51,100.51,25.46,75.06,75.06,20.76,18.02,18.02
2024-12-31,228.3,228.3,98.29,5.24,25.6,99.18,6.38,105.56,3.52,102.04,102.04,26.34,75.7,75.7,20.76,18.19,18.19
2025-03-31,213.29,213.29,99.07,5.85,25.55,82.82,18.44,101.26,3.65,97.6,97.6,25.18,72.43,72.43,41.51,8.71,8.71
