Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Employees Stock Options,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Fixed Assets,Non-Current Investments,Deferred Tax Assets [Net],Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Current Investments,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Other Earnings,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Raw Materials,Capital Goods,Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Intangible Assets Under Development,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,"Stores, Spares And Loose Tools",Trade/Other Goods
2004-03-31,23.38,23.38,54.0,65.6,0.0,88.98,44.37,18.67,0.0,0.0,63.04,61.14,31.57,2.38,0.0,95.08,247.11,96.86,0.0,10.04,106.91,2.14,1.96,0.0,9.76,120.76,0.0,37.58,47.96,3.25,37.54,0.0,126.34,247.11,18.19,1.49,0.0,61.67,0.0,5.81,2.11,0.04,0.0,0.0,8.12,1.52,0.0,11.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,26.16,26.16,87.48,87.48,0.0,113.65,60.89,19.79,0.0,0.0,80.68,50.34,33.86,12.9,0.03,97.12,291.45,96.18,0.0,8.9,105.08,14.73,4.02,0.0,6.15,129.97,0.0,38.0,33.15,46.33,44.0,0.0,161.47,291.45,18.31,1.36,0.0,91.85,0.0,5.81,0.0,0.04,0.0,0.0,8.39,2.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,27.17,27.17,120.51,120.51,0.0,147.69,38.28,17.24,0.0,0.0,55.52,41.77,38.51,14.47,0.0,94.76,297.96,118.98,0.0,15.46,134.44,16.62,2.24,0.0,2.54,155.84,0.0,42.32,33.42,27.28,39.1,0.0,142.12,297.96,17.46,19.13,0.08,80.58,0.0,5.81,0.01,16.61,0.0,0.0,8.9,3.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,27.64,27.64,152.5,152.5,0.0,180.14,31.58,18.02,0.0,0.0,49.6,44.86,39.25,21.96,3.85,109.92,339.66,137.58,0.0,20.14,157.72,18.46,0.0,0.0,0.0,176.19,0.0,49.31,32.14,24.09,57.93,0.0,163.47,339.66,17.44,7.95,0.08,84.83,0.0,5.81,1.85,16.61,0.0,0.0,13.77,7.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,28.04,28.04,191.16,191.16,0.0,219.2,43.81,21.54,0.0,0.0,65.35,50.32,43.12,21.63,5.0,120.07,404.62,173.27,0.45,28.57,202.29,20.8,1.15,0.0,0.0,224.24,0.0,55.33,35.72,19.93,69.4,0.0,180.38,404.62,44.19,27.82,0.08,92.96,0.0,5.81,0.01,20.77,0.0,0.0,15.01,4.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,28.04,28.04,229.86,229.86,0.0,257.9,65.4,24.09,0.0,0.0,89.49,60.94,24.2,59.64,2.52,147.3,494.69,200.49,0.66,46.96,248.11,20.8,0.0,0.0,0.0,268.91,0.0,64.67,47.68,20.09,93.34,0.0,225.78,494.69,36.32,3.15,0.07,103.26,0.0,5.81,0.0,20.77,0.0,0.0,10.52,12.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,28.15,28.15,273.28,273.28,0.0,301.43,64.63,26.83,0.0,0.0,91.47,54.66,70.79,8.79,5.61,139.85,532.75,231.91,1.29,39.6,272.8,79.23,0.0,0.0,0.0,352.03,0.0,65.62,54.63,3.5,56.96,0.0,180.72,532.75,30.42,2.01,0.11,96.44,1.8,5.81,0.0,79.23,0.0,0.0,7.79,10.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,28.15,28.15,318.76,318.76,0.0,346.91,125.43,25.09,1.25,8.67,160.44,72.02,72.99,43.65,0.12,188.78,696.13,252.45,1.7,75.98,330.13,69.05,0.0,62.46,0.96,462.59,2.14,93.02,70.37,30.97,36.92,0.11,233.54,696.13,70.82,12.16,0.11,130.09,9.82,5.81,0.0,69.05,0.85,1.32,16.96,15.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,31.15,31.15,436.32,436.32,0.0,467.46,134.1,28.89,1.35,9.78,174.12,81.64,83.86,81.84,0.24,247.58,889.17,300.03,1.78,164.43,466.23,74.16,0.0,54.91,0.42,595.72,1.79,97.28,93.34,33.7,66.21,1.14,293.45,889.17,52.07,12.35,0.16,179.02,7.63,5.81,0.0,74.16,0.74,1.05,16.75,22.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,31.37,31.37,506.21,506.21,0.0,537.58,137.12,41.12,0.69,8.21,187.15,147.74,104.42,80.25,0.33,332.75,1057.48,465.65,4.91,78.37,548.92,76.76,0.0,120.66,0.13,746.47,0.81,128.32,126.46,9.37,42.69,3.35,311.0,1057.48,37.41,14.18,0.22,281.74,38.74,5.81,0.0,76.76,1.38,0.0,37.56,11.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
