Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-09-30,147.01,5.64,152.65,37.86,2.38,4.81,25.73,4.66,34.55,42.66,0.57,43.23,5.67,37.56,-6.18,31.38,7.51,23.87,23.87,31.15,0.0,7.66,7.61,1.34,42.95,1.78,100.0,57.05
2012-12-31,130.51,19.8,150.31,50.64,0.55,-5.27,18.78,5.5,38.22,41.89,5.7,47.59,7.31,40.28,-5.41,34.87,10.5,24.37,24.37,31.37,0.0,7.79,7.79,1.36,43.36,1.78,100.0,56.64
2013-03-31,128.23,15.08,143.31,47.74,0.7,-6.9,20.87,5.36,46.88,28.66,2.03,30.69,7.69,23.0,0.0,23.0,11.28,11.72,11.72,31.37,0.0,3.74,3.74,1.36,43.33,1.78,100.0,56.67
2013-06-30,136.85,7.97,144.82,38.71,0.0,-2.75,22.05,6.41,41.72,38.68,3.5,42.18,9.58,32.6,0.0,32.6,9.86,22.74,22.74,31.37,0.0,7.25,7.25,1.36,43.37,1.78,100.0,56.63
2013-09-30,133.75,16.31,150.06,37.55,0.0,-2.27,22.14,6.56,46.01,40.07,1.77,41.84,9.57,32.27,0.0,32.27,3.58,28.69,28.69,31.37,0.0,9.15,9.15,1.36,43.39,1.78,100.0,56.61
2013-12-31,157.05,17.18,174.23,44.85,0.0,-9.08,24.92,6.86,55.31,51.37,1.05,52.42,8.77,43.65,0.0,43.65,11.23,32.42,32.42,33.07,0.0,10.14,10.14,1.53,46.3,1.78,100.0,53.7
2014-03-31,144.39,8.84,153.23,45.58,0.0,-1.87,25.12,6.96,47.76,29.68,9.39,39.07,6.14,32.93,0.0,32.93,6.59,26.34,26.34,33.07,0.0,7.96,7.96,1.54,46.46,1.77,100.0,53.54
2014-06-30,162.0,19.48,181.48,38.92,0.0,4.77,27.15,10.19,50.08,50.37,0.88,51.25,6.36,44.89,0.0,44.89,8.48,36.41,36.41,33.07,0.0,11.01,11.01,1.54,46.48,1.77,100.0,53.52
2014-09-30,181.11,10.17,191.28,38.2,0.0,7.25,29.09,10.23,55.86,50.65,3.0,53.65,6.99,46.66,0.0,46.66,11.86,34.8,34.8,33.07,0.0,10.52,10.52,1.54,46.48,1.77,100.0,53.52
2014-12-31,155.77,11.19,166.96,48.81,0.0,-1.98,27.93,10.75,44.32,37.13,7.12,44.25,8.11,36.14,-15.13,21.01,4.4,16.61,16.61,33.23,0.0,5.02,5.02,1.54,46.26,1.79,100.0,53.74
2015-03-31,165.62,10.23,175.85,52.65,0.88,-18.8,32.02,11.29,49.85,47.96,2.55,50.51,8.67,41.84,0.0,41.84,-23.26,65.1,65.1,33.23,0.0,19.63,19.63,1.54,46.26,1.79,100.0,53.74
2015-06-30,186.17,7.88,194.05,61.81,0.37,-10.25,34.64,11.2,46.93,49.35,2.83,52.18,7.77,44.41,0.0,44.41,10.34,34.07,34.07,33.23,0.0,10.25,10.25,1.54,46.24,1.79,100.0,53.76
2015-09-30,189.91,12.13,202.04,63.76,0.0,-18.38,35.51,11.24,60.37,49.54,3.08,52.62,7.54,45.08,0.0,45.08,10.48,34.6,34.6,34.83,0.0,10.35,10.35,1.7,48.71,1.79,100.0,51.29
2015-12-31,234.02,11.24,245.26,79.12,0.0,-8.52,41.62,11.7,67.88,53.46,6.4,59.86,3.32,56.54,0.0,56.54,13.0,43.54,43.54,34.83,0.0,2.5,2.49,0.0,0.0,0.0,0.0,0.0
2016-03-31,357.31,20.34,377.65,107.62,0.05,-9.98,51.65,12.03,136.09,80.19,1.62,81.81,3.31,78.5,0.0,78.5,11.19,67.31,67.31,34.83,0.0,3.86,3.85,0.0,0.0,0.0,0.0,0.0
