Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Money Received Against Share Warrants,Employees Stock Options,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Fixed Assets,Non-Current Investments,Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,FOB Value Of Goods,Other Earnings,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Deferred Tax Assets [Net],Current Investments,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods,Equity Share Application Money,Preference Share Capital,Revaluation Reserves,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Intangible Assets Under Development,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale
2004-03-31,25.51,25.51,7.2,7.2,0.0,0.0,32.71,26.36,3.43,0.0,0.0,29.78,14.44,5.06,0.86,3.73,24.09,86.59,32.18,0.0,11.55,43.73,2.74,0.0,0.02,47.52,11.03,13.32,5.91,8.82,0.0,39.07,86.59,0.0,0.25,0.0,0.0,0.07,2.36,0.0,0.0,1.02,0.0,11.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,25.51,25.51,11.5,11.5,0.0,0.0,37.01,33.46,4.82,0.0,0.0,38.28,32.03,2.35,15.4,5.38,55.16,130.46,55.87,0.0,6.27,62.14,2.75,0.0,0.01,66.36,35.25,13.35,5.11,10.4,0.0,64.1,130.46,0.0,0.19,0.0,0.06,0.11,2.36,0.0,0.0,1.46,0.0,20.99,0.0,0.0,0.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,25.51,25.51,32.63,32.63,0.0,0.0,58.14,69.27,7.55,0.0,0.0,76.82,59.16,8.97,29.22,9.17,106.52,241.48,129.76,0.0,4.62,134.38,2.75,0.0,0.0,137.13,47.15,22.11,6.16,28.93,0.0,104.35,241.48,0.0,0.64,0.0,0.53,0.18,2.36,0.0,0.0,0.0,0.0,22.1,0.0,0.0,1.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,31.51,31.51,207.3,207.3,0.0,0.0,238.81,82.09,12.41,0.0,0.0,94.5,98.34,5.77,7.21,34.32,145.64,479.73,185.63,0.0,9.31,194.94,2.79,0.0,2.27,200.78,82.57,42.67,95.59,58.12,0.0,278.95,479.73,20.5,0.48,0.0,7.18,0.49,2.41,0.0,0.0,0.77,0.0,71.65,0.0,0.0,0.34,0.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,31.51,31.51,282.82,282.82,0.0,0.0,314.33,78.26,16.74,0.0,0.0,95.0,134.93,6.9,10.95,25.8,178.59,614.59,252.88,0.0,49.63,302.51,2.06,0.0,1.87,306.88,128.25,68.3,15.65,95.5,0.0,307.7,614.59,40.08,0.49,39.73,0.0,0.5,1.67,0.0,0.0,0.45,0.0,52.45,0.0,0.0,0.03,26.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,31.85,31.85,326.15,326.15,0.0,0.0,358.0,184.99,26.58,0.0,0.0,211.57,159.67,9.28,40.6,11.11,220.66,816.12,264.36,0.0,256.18,520.55,2.0,0.0,1.3,524.29,95.55,74.85,9.6,111.84,0.0,291.83,816.12,5.35,3.75,67.39,0.0,0.43,1.61,0.0,0.0,0.44,0.0,47.64,0.0,0.0,13.54,25.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,38.57,38.57,697.83,697.83,0.0,0.0,736.41,253.32,63.91,0.0,0.0,317.23,160.93,16.04,26.82,29.38,233.17,1286.8,575.4,0.0,44.2,619.61,201.2,0.0,0.0,821.03,158.6,134.85,31.64,140.69,0.0,465.77,1286.8,72.07,11.43,96.76,0.0,0.48,200.82,0.0,0.0,0.22,0.0,51.42,0.0,0.0,1.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,38.57,38.57,807.21,807.21,0.0,0.0,845.78,506.38,71.99,3.75,0.0,582.12,305.4,17.46,79.14,33.26,435.26,1863.16,562.14,0.0,286.07,848.2,2.49,87.82,0.47,938.98,239.59,156.41,98.28,158.53,12.34,924.19,1863.16,30.29,13.1,122.55,1.05,0.49,2.1,0.0,266.55,0.0,259.03,134.78,0.0,0.0,16.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,38.57,38.57,859.41,859.41,0.0,0.0,897.99,497.69,90.15,40.29,0.0,628.13,547.21,25.29,91.24,20.88,684.62,2210.74,785.47,0.0,282.65,1068.12,46.97,122.84,0.0,1237.93,295.74,238.44,66.93,135.7,11.74,972.81,2210.74,83.03,27.53,146.3,1.62,0.53,46.58,0.0,230.36,0.0,224.27,208.66,0.0,0.0,7.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,38.57,38.57,862.94,862.94,0.0,0.0,901.51,583.3,83.37,71.06,0.04,737.78,610.28,37.68,85.86,4.77,738.6,2377.89,849.06,0.0,315.97,1165.03,46.95,92.76,12.19,1316.93,403.61,241.2,95.86,167.57,42.72,1060.96,2377.89,182.7,42.38,76.13,1.61,0.51,46.56,111.0,0.0,0.0,110.0,446.38,1.34,0.0,8.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-03-31,38.57,38.57,795.65,795.65,0.0,0.0,834.22,570.58,66.06,109.71,0.91,747.26,577.86,84.03,208.1,4.7,874.69,2456.17,1139.48,0.0,55.93,1195.41,81.98,96.84,8.94,1383.16,372.04,353.22,41.08,135.75,4.77,1073.0,2456.17,165.39,1.42,107.37,1.62,0.54,81.59,173.81,0.0,0.0,166.13,328.42,0.16,0.25,4.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-31,38.57,38.57,788.57,788.57,0.0,0.0,827.14,523.64,52.2,69.8,0.78,646.42,507.63,91.57,138.37,0.78,738.36,2211.92,1147.62,0.0,10.19,1157.82,81.98,115.87,8.4,1364.06,359.33,315.66,36.63,110.63,4.6,847.86,2211.92,130.03,18.09,109.71,0.66,0.57,81.59,25.13,0.0,0.0,21.0,509.51,1.11,0.24,1.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,41.84,41.84,879.1,879.1,0.0,0.0,920.94,366.0,47.58,59.69,1.03,474.3,392.06,88.54,157.52,0.66,638.78,2034.02,1100.84,0.0,27.33,1128.17,111.68,22.72,96.21,1358.78,315.01,199.87,35.13,1.31,102.91,675.24,2034.02,247.28,326.86,118.81,0.0,5.17,106.51,21.0,0.0,0.0,21.0,311.39,2.42,0.27,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,41.84,41.84,1036.0,1036.0,0.0,0.25,1078.1,387.03,89.74,9.08,1.79,487.64,338.69,149.31,120.38,0.18,608.56,2174.3,1102.97,0.0,9.36,1112.34,166.58,25.0,39.31,1421.77,392.07,215.61,35.99,4.19,104.43,752.54,2174.3,118.83,521.85,112.21,0.0,17.98,148.61,0.25,0.0,78.53,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
