Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Increase/Decrease in Stocks,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-12-31,337.11,0.0,337.11,305.48,-33.83,4.96,13.05,32.35,15.1,-15.78,-0.68,25.3,-25.98,0.0,-25.98,-9.98,-16.0,-16.0,38.57,-0.41,-0.41,21.36,55.37,17.21,100.0,44.63
2013-03-31,301.84,0.0,301.84,271.32,-18.63,6.01,12.82,19.07,11.25,29.4,40.65,15.26,25.39,0.0,25.39,-1.48,26.87,26.87,38.57,0.7,0.68,21.36,55.37,17.21,100.0,44.63
2013-06-30,309.52,0.0,309.52,259.61,-15.0,5.35,13.24,26.71,19.61,-62.94,-43.33,28.13,-71.46,7.05,-64.41,-12.56,-51.85,-51.85,38.57,-1.34,-1.34,21.36,55.37,17.21,100.0,44.63
2013-09-30,346.57,0.0,346.57,313.14,-50.18,6.3,13.64,36.66,27.01,-33.45,-6.44,29.63,-36.07,0.0,-36.07,-7.36,-28.71,-28.71,38.57,-0.74,-0.74,21.36,55.37,17.21,100.0,44.63
2013-12-31,334.67,0.37,335.04,241.96,3.08,6.18,13.17,29.76,40.89,17.33,58.22,29.09,29.13,0.0,29.13,7.37,21.76,21.76,38.57,0.56,0.56,21.36,55.37,17.21,100.0,44.63
2014-03-31,372.14,0.0,372.14,277.57,9.45,6.51,14.47,34.1,30.04,15.13,45.17,29.66,15.51,0.0,15.51,-4.2,19.71,19.71,38.57,0.51,0.51,21.36,55.37,17.21,100.0,44.63
2014-06-30,351.47,0.0,351.47,269.55,-1.75,6.56,13.84,31.69,31.58,11.33,42.91,25.59,17.32,0.0,17.32,2.96,14.36,14.36,38.57,0.37,0.37,21.36,55.37,17.21,100.0,44.63
2014-09-30,356.98,0.24,357.22,292.84,-14.87,7.54,14.25,29.81,27.65,-3.61,24.04,29.36,-5.32,0.0,-5.32,-1.97,-3.35,-3.35,38.57,-0.09,-0.09,21.36,55.37,17.21,100.0,44.63
2014-12-31,326.22,0.73,326.95,284.48,-31.86,7.19,14.27,38.13,14.74,1.14,15.88,30.34,-14.46,0.0,-14.46,-5.0,-9.46,-9.46,38.57,-0.25,-0.25,21.36,55.37,17.21,100.0,44.63
2015-03-31,341.15,0.71,341.86,287.18,-14.01,8.08,13.0,54.14,-6.53,-1.15,-7.68,16.22,-23.9,0.0,-23.9,-7.95,-15.95,-15.95,38.57,-0.41,-0.41,21.36,55.37,17.21,100.0,44.63
