Date,Net Sales/Income from operations,Total Income From Operations,Consumption of Raw Materials,Increase/Decrease in Stocks,Employees Cost,Depreciation,Exp. Capitalised,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Prior Year Adjustments,Extra Ordinary Items,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-12-31,1255.7,1255.7,0.0,16.9,487.24,153.74,0.0,463.97,133.85,115.44,249.29,46.72,202.57,63.13,265.7,44.05,221.65,0.0,0.0,221.65,1677.71,0.0,1.32,1.32,10.81,6.44,156.96,100.0,93.56
2013-03-31,1653.35,1653.35,0.0,-73.07,512.78,134.38,0.0,442.67,636.59,205.02,841.61,44.06,797.55,140.19,937.74,322.95,614.79,0.0,0.0,614.79,1677.71,0.0,3.66,3.66,10.81,6.44,156.96,100.0,93.56
2013-06-30,1559.57,1559.57,0.0,22.17,518.41,158.21,0.0,458.59,402.19,109.65,511.84,50.36,461.48,-64.57,396.91,118.48,278.43,0.0,0.0,278.43,1677.71,0.0,1.66,1.66,10.81,6.44,156.96,100.0,93.56
2013-09-30,1382.82,1382.82,0.0,17.46,503.33,157.86,0.0,428.38,275.79,133.18,408.97,45.38,363.59,-12.19,351.4,111.4,240.0,0.0,0.0,240.0,1677.71,0.0,1.43,1.43,16.78,10.0,150.99,100.0,90.0
2013-12-31,1314.95,1314.95,0.0,-16.65,548.12,118.28,0.0,446.41,218.79,553.41,772.2,42.45,729.75,3.79,733.54,244.52,489.02,0.0,0.0,489.02,1677.71,0.0,2.91,2.91,16.78,10.0,150.99,100.0,90.0
2014-03-31,1709.89,1709.89,0.0,-95.52,624.73,82.93,0.0,555.6,542.15,228.52,770.67,43.39,727.28,0.0,727.28,232.85,494.43,0.0,0.0,494.43,1677.71,0.0,2.95,2.95,16.78,10.0,150.99,100.0,90.0
2014-06-30,1510.45,1510.45,0.0,90.83,536.65,112.35,0.0,371.14,399.48,132.54,532.02,46.47,485.55,0.0,485.55,151.5,334.05,0.0,0.0,334.05,1677.71,0.0,1.99,1.99,16.78,10.0,150.99,100.0,90.0
2014-09-30,1402.49,1402.49,0.0,38.78,546.99,107.76,0.0,473.02,235.94,191.08,427.02,38.0,389.02,0.0,389.02,129.67,259.35,0.0,0.0,259.35,1677.71,0.0,1.55,1.55,16.78,10.0,150.99,100.0,90.0
2014-12-31,1492.65,1492.65,0.0,-14.23,542.75,110.67,0.0,566.33,287.13,208.88,496.01,36.77,459.24,0.0,459.24,149.77,309.47,0.0,0.0,309.47,1677.71,0.0,1.84,1.84,16.78,10.0,150.99,100.0,90.0
2015-03-31,1682.09,1682.09,0.0,-320.04,590.99,109.84,0.0,739.32,561.98,176.79,738.77,34.82,703.95,345.57,1049.52,372.71,676.81,0.0,0.0,676.81,1677.71,0.0,4.03,4.03,16.78,10.0,150.99,100.0,90.0
2015-06-30,1843.74,1843.74,0.0,144.52,603.34,157.65,0.0,462.3,475.93,122.05,597.98,48.0,549.98,3.5,553.48,186.58,366.9,0.0,0.0,366.9,1677.71,0.0,2.19,2.19,16.78,10.0,150.99,100.0,90.0
2015-09-30,1715.91,1715.91,0.0,50.09,502.39,172.79,0.0,553.26,437.38,137.12,574.5,53.07,521.43,0.0,521.43,178.03,343.4,0.0,0.0,343.4,1677.71,0.0,2.04,2.04,16.78,10.0,150.99,100.0,90.0
2015-12-31,1255.25,1255.25,0.0,-38.38,561.57,175.23,0.0,508.09,48.74,155.55,204.29,43.65,160.64,-29.84,130.8,83.19,47.61,0.0,0.0,47.61,1677.71,0.0,0.28,0.28,16.78,10.0,150.99,100.0,90.0
2016-03-31,1854.15,1854.15,0.0,-517.48,554.95,93.56,0.0,1067.7,655.42,110.43,765.85,43.64,722.21,-2.04,720.17,273.93,446.24,0.0,0.0,446.24,1677.71,0.0,2.66,2.66,16.78,10.0,150.99,100.0,90.0
2016-06-30,1880.37,1880.37,0.0,203.69,592.67,170.49,0.0,605.11,308.41,93.73,402.14,49.26,352.88,0.0,352.88,122.13,230.75,0.0,0.0,230.75,1677.71,0.0,1.38,1.38,0.0,0.0,0.0,0.0,0.0
2016-09-30,2056.67,2056.67,0.0,-107.44,542.46,176.85,0.0,1002.73,442.07,91.61,533.68,40.9,492.78,-52.66,440.12,139.7,300.42,0.0,0.0,300.42,1677.71,0.0,1.79,1.79,0.0,0.0,0.0,0.0,0.0
