Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Fixed Assets,Non-Current Investments,Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,"Stores, Spares And Loose Tools",Capital Goods,Expenditure In Foreign Currency,Non-Current Investments Unquoted Book Value,Current Investments Unquoted Book Value,Government/Other Grants,Current Investments,Deferred Tax Assets [Net],Raw Materials,Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Foreign Currency Monetary Item Translation Difference A/C,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Trade/Other Goods
2004-03-31,1677.71,1677.71,5168.85,5168.85,6846.56,1295.7,884.59,0.0,0.0,2180.3,0.0,247.76,326.08,748.71,1322.55,10349.4,4542.63,0.0,183.37,0.0,4726.0,2590.77,0.0,22.31,7477.62,305.56,583.72,1208.15,752.41,21.95,2871.78,10349.4,381.84,0.0,66.51,38.63,2590.77,0.0,0.0,0.0,138.53,21.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,1677.71,1677.71,6001.47,6001.47,7679.18,1229.69,840.43,0.0,0.0,2070.12,0.0,210.62,299.93,1038.16,1548.7,11298.0,4269.06,0.0,211.33,0.0,4480.39,2590.77,0.0,6.12,7132.14,355.06,705.65,1968.69,1015.38,121.08,4165.87,11298.0,1051.2,0.0,38.06,30.86,0.0,0.0,0.0,0.0,54.85,26.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,1677.71,1677.71,6321.08,6321.08,7998.79,1286.71,827.72,0.0,0.0,2114.43,0.0,246.32,347.5,626.58,1220.4,11333.62,4040.09,0.0,527.41,0.0,4567.5,2591.42,0.0,8.4,7218.72,358.45,168.34,2549.12,1038.36,0.62,4114.89,11333.61,5060.39,0.0,72.7,20.08,0.65,0.0,0.0,0.0,51.4,39.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,1677.71,1677.71,6652.8,6652.8,8330.51,1487.55,740.51,0.0,0.0,2228.06,18.15,258.64,978.02,1317.61,2572.42,13130.99,3847.22,3.21,1975.62,0.0,5826.05,929.41,0.0,21.22,6831.91,455.49,89.41,4253.06,1500.44,0.68,6299.08,13130.99,4448.32,0.0,195.55,16.37,0.65,0.0,0.0,0.0,55.23,54.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,1677.71,1677.71,7362.57,7362.57,9040.28,2765.83,656.23,0.0,0.0,3422.06,24.85,439.68,1026.28,1401.88,2892.69,15355.03,3739.41,4.26,3785.76,0.0,7529.43,826.22,0.0,31.49,8437.48,448.05,218.83,4749.56,1500.53,0.58,6917.55,15355.03,2937.94,0.0,47.0,88.28,0.65,0.0,0.0,0.0,50.34,83.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,1677.71,1677.71,7791.52,7791.52,9469.23,4057.7,730.2,0.0,0.0,4787.9,0.0,734.16,1324.74,1672.49,3731.39,17988.52,4497.2,5.76,4122.08,0.0,8625.04,811.37,0.0,56.45,9551.62,535.85,781.44,5452.2,1666.92,0.49,8436.9,17988.52,2237.52,0.0,10.05,41.64,89.0,0.0,0.0,0.0,58.76,26.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,1677.71,1677.71,8646.96,8646.96,10324.67,4077.36,679.95,0.0,0.0,4757.31,0.0,1175.7,1214.21,1942.24,4332.15,19414.13,5232.83,5.97,3908.48,0.0,9147.28,1044.94,0.0,99.07,10400.81,502.96,1611.62,4823.63,2074.63,0.48,9013.32,19414.13,1938.28,0.0,55.92,27.58,425.77,0.0,0.0,0.0,109.52,83.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,1677.71,1677.71,9496.82,9496.82,11174.53,3292.35,579.38,294.83,0.0,4166.56,0.0,1400.38,950.59,649.94,3000.91,18342.0,5937.19,858.63,2593.86,18.58,9408.26,861.55,158.52,43.08,10471.41,491.71,2202.39,4420.73,475.08,177.48,7870.59,18342.0,2336.31,28.72,39.84,10.48,861.55,103.2,0.0,103.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,1677.71,1677.71,10362.18,10362.18,12039.89,3422.13,614.15,198.85,0.0,4235.13,0.0,1315.06,647.4,798.49,2760.95,19035.97,7403.07,850.68,1357.63,36.5,9647.88,1093.85,121.85,23.83,10887.41,506.19,3647.03,3329.1,406.8,156.24,8148.56,19035.97,2590.52,23.01,6.56,15.97,1093.85,103.2,0.0,103.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,1677.71,1677.71,11273.62,11273.62,12951.33,3126.61,855.44,221.45,0.0,4203.5,0.0,431.13,1370.52,555.79,2357.44,19512.27,5813.82,821.54,3120.31,26.18,9781.85,1329.2,161.81,13.07,11285.93,683.72,3800.27,2866.64,610.27,162.24,8226.34,19512.27,17609.5,60.41,6.28,4.85,1329.2,103.2,0.0,103.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-03-31,1677.71,1677.71,12225.91,12225.91,13903.62,2773.53,957.31,410.1,0.0,4140.94,0.0,461.26,1414.92,523.8,2399.98,20444.54,6470.0,0.62,3678.28,22.55,10171.45,1513.69,389.32,115.64,12190.1,681.69,2204.45,4258.58,757.37,249.15,8254.44,20444.54,7814.75,20.71,0.76,5.01,1513.69,103.2,0.0,103.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
