Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Fixed Assets,Non-Current Investments,Long Term Loans And Advances,Other Non-Current Assets,Total Non-Current Assets,Inventories,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Other Earnings,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Employees Stock Options,Equity Share Application Money,Current Investments,"Stores, Spares And Loose Tools",Deferred Tax Assets [Net],Raw Materials,Trade/Other Goods,Capital Goods,Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale
2004-03-31,210.16,210.16,14.17,14.17,224.32,429.88,40.07,0.0,0.0,469.95,0.0,0.0,21.96,0.0,21.96,751.23,401.95,0.0,271.62,0.0,673.57,0.0,0.0,1.3,707.48,5.75,0.21,7.45,5.34,25.0,43.75,751.23,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,32.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,349.96,349.96,48.36,48.36,398.32,426.41,71.86,0.0,0.0,498.27,0.0,41.28,23.08,9.9,74.26,976.21,731.04,0.0,108.15,0.0,839.18,0.0,0.0,1.08,892.81,11.61,10.69,42.61,16.17,2.32,83.4,976.21,342.08,0.73,0.0,0.0,0.0,0.0,5.36,0.0,0.0,52.54,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,542.24,542.24,365.26,365.26,907.5,570.15,78.41,0.0,0.0,648.56,0.0,126.14,37.75,21.65,185.55,1741.61,759.99,0.0,605.07,0.0,1365.05,0.0,0.0,12.32,1404.94,36.15,13.7,237.2,44.23,5.38,336.66,1741.61,814.53,4.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,542.8,542.8,423.11,423.11,965.91,863.83,91.85,0.0,0.0,955.68,0.0,129.54,5.76,49.16,184.46,2106.06,1564.09,2.0,136.78,0.0,1702.87,0.0,0.0,9.32,1712.35,44.19,34.91,181.12,102.64,30.85,393.71,2106.06,505.04,0.81,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.16,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,562.01,562.01,578.95,578.95,1140.96,965.04,100.15,0.0,0.0,1065.2,0.0,409.39,11.53,90.68,511.6,2717.76,1533.53,3.6,588.79,0.0,2125.92,35.57,0.0,6.33,2168.08,39.71,41.62,256.93,144.46,66.96,549.68,2717.76,464.59,0.92,0.0,0.0,35.57,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,562.12,562.12,653.08,653.08,1215.2,1107.95,114.58,0.0,0.0,1222.53,40.0,369.99,7.18,158.97,576.14,3013.87,1764.45,4.18,644.59,0.0,2413.23,35.57,0.0,3.34,2452.33,92.57,54.36,97.47,274.52,42.61,561.53,3013.87,787.58,1.15,0.0,0.0,35.57,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,562.45,562.45,1001.38,1001.38,1563.82,1256.55,141.18,0.0,0.0,1397.73,0.0,476.53,11.31,348.58,836.42,3797.98,2427.61,9.18,538.69,0.0,2975.48,66.57,0.0,0.35,3043.05,132.66,75.27,174.17,352.83,20.0,754.93,3797.98,918.5,0.04,0.0,0.0,66.57,0.0,0.0,0.0,0.0,0.65,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,562.58,562.58,1443.99,1443.99,2006.57,1218.16,264.06,6.04,2.39,1490.65,0.0,23.58,525.26,68.09,616.93,4114.16,3079.55,102.13,0.0,0.0,3516.05,76.58,93.18,1.99,3687.8,62.26,67.68,238.96,50.83,6.62,426.36,4114.16,0.0,8.85,0.0,0.0,76.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,562.69,562.69,1903.99,1903.99,2466.68,1095.1,324.37,13.29,2.98,1435.74,0.0,6.95,493.33,65.95,566.23,4468.65,3029.01,111.21,0.0,0.0,3558.44,116.42,84.71,7.86,3767.43,66.18,81.44,514.76,25.97,12.87,701.22,4468.65,0.0,10.65,0.0,0.0,116.42,0.0,0.0,0.0,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,562.71,562.71,2377.87,2377.87,2940.58,1338.87,386.69,17.85,4.17,1747.58,0.0,10.96,487.38,66.94,565.28,5253.43,3123.74,127.76,0.0,0.0,3777.52,174.02,72.69,8.95,4033.18,77.15,254.1,853.06,20.54,15.4,1220.25,5253.43,0.0,10.63,0.0,0.0,174.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
