Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Increase/Decrease in Stocks,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Extra Ordinary Items,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-09-30,273.17,4.06,277.24,0.0,0.0,5.67,46.41,15.5,209.66,18.54,228.19,31.55,196.64,196.64,63.84,132.8,0.0,132.8,562.7,2.36,2.36,35.04,62.27,21.23,100.0,37.73
2012-12-31,260.58,5.54,266.11,0.0,0.0,9.13,47.78,17.61,191.6,17.47,209.07,31.44,177.63,177.63,58.63,119.0,0.0,119.0,562.7,2.11,2.11,35.04,62.27,21.23,100.0,37.73
2013-03-31,358.96,0.85,359.81,0.0,0.0,5.53,47.99,26.66,279.63,14.92,294.55,31.53,263.02,263.02,101.54,161.47,0.0,161.47,562.71,2.87,2.87,35.04,62.27,21.23,100.0,37.73
2013-06-30,296.06,0.7,296.76,0.0,0.0,6.74,45.77,20.23,224.02,13.15,237.17,37.98,199.19,199.19,72.92,126.27,0.0,126.27,562.72,2.24,2.24,35.04,62.27,21.23,100.0,37.73
2013-09-30,276.95,0.48,277.43,0.0,0.0,5.16,46.98,20.98,204.31,13.6,217.91,36.71,181.21,181.21,67.14,114.06,0.0,114.06,562.73,2.03,2.03,35.04,62.27,21.23,100.0,37.73
2013-12-31,243.88,1.22,245.1,0.0,0.0,10.9,46.21,27.26,160.73,13.9,174.63,35.26,139.38,139.38,52.03,87.35,0.0,87.35,562.74,1.55,1.55,35.04,62.27,21.23,100.0,37.73
2014-03-31,230.44,0.97,231.4,0.0,0.0,5.91,44.92,24.67,155.9,14.53,170.43,31.9,138.52,138.52,47.06,91.46,0.0,91.46,562.74,1.63,1.63,35.04,62.27,21.23,100.0,37.73
2014-06-30,230.44,0.47,230.91,0.0,0.0,7.61,46.94,22.9,153.46,13.02,166.48,32.06,134.42,134.42,49.43,85.0,0.0,85.0,562.74,1.51,1.51,35.04,62.27,21.23,100.0,37.73
2014-09-30,351.03,0.84,351.88,0.0,0.0,7.04,46.57,20.89,277.38,14.33,291.71,30.72,260.99,260.99,91.52,169.47,0.0,169.47,562.77,3.01,3.01,35.05,62.27,21.23,100.0,37.73
2014-12-31,242.84,0.27,243.1,0.0,0.0,13.86,47.77,25.91,155.56,13.1,168.66,28.82,139.84,139.84,51.04,88.79,0.0,88.79,562.82,1.58,1.58,35.05,62.28,21.23,100.0,37.72
2015-03-31,236.25,2.46,238.71,0.0,0.0,7.05,60.06,31.87,139.74,11.55,151.29,26.22,125.07,125.07,57.97,67.1,0.0,67.1,562.98,1.19,1.19,35.07,62.29,21.23,100.0,37.71
2015-06-30,255.68,3.46,259.14,0.0,0.0,7.97,43.05,24.14,183.98,11.16,195.14,21.42,173.73,173.73,60.94,112.79,0.0,112.79,563.05,2.0,2.0,35.07,62.29,21.23,100.0,37.71
2015-09-30,252.58,0.2,252.78,0.0,0.0,10.89,46.0,16.82,179.08,12.41,191.49,21.96,169.53,169.53,60.27,109.26,0.0,109.26,563.1,1.93,1.93,0.0,0.0,0.0,0.0,0.0
2015-12-31,247.5,0.58,248.07,0.0,0.0,9.33,46.72,29.48,162.54,28.6,191.14,19.07,172.07,172.07,48.22,123.85,0.0,123.85,563.2,2.2,2.2,0.0,0.0,0.0,0.0,0.0
2016-03-31,231.93,11.28,243.21,0.0,0.0,7.94,47.14,19.33,168.8,2.19,170.98,17.47,153.51,153.51,54.05,99.46,0.0,99.46,563.34,1.78,1.78,0.0,0.0,0.0,0.0,0.0
2016-06-30,257.85,0.28,258.13,0.0,0.0,7.9,42.98,16.92,190.34,14.41,204.74,16.67,188.07,188.07,66.81,121.26,0.0,121.26,563.38,2.15,2.15,0.0,0.0,0.0,0.0,0.0
2016-09-30,256.36,1.65,258.01,0.0,0.0,7.65,43.61,24.2,182.55,28.73,211.28,14.8,196.48,196.48,66.65,129.83,0.0,129.83,563.47,2.28,2.27,0.0,0.0,0.0,0.0,0.0
2016-12-31,262.7,4.09,266.79,0.0,0.0,14.38,46.53,24.88,181.0,17.74,198.73,16.54,182.19,182.19,63.64,118.56,0.0,118.56,563.52,2.1,2.1,0.0,0.0,0.0,0.0,0.0
2017-03-31,244.63,25.97,270.59,0.0,0.0,8.91,46.02,34.4,181.26,1.35,182.61,11.57,171.04,171.04,44.06,126.99,0.0,126.99,563.59,2.28,2.28,0.0,0.0,0.0,0.0,0.0
2017-06-30,296.34,14.61,310.95,0.0,0.0,8.05,42.95,12.32,247.62,1.83,249.45,10.57,238.88,238.88,86.36,152.52,0.0,152.52,563.7,2.71,2.7,0.0,0.0,0.0,0.0,0.0
2017-09-30,334.84,14.42,349.26,0.0,0.0,13.58,43.82,35.72,256.14,13.42,269.56,9.04,260.51,260.51,83.55,176.96,0.0,176.96,563.77,3.14,3.14,0.0,0.0,0.0,0.0,0.0
2017-12-31,350.18,10.63,360.81,0.0,0.0,10.96,44.22,42.13,263.51,1.43,264.94,5.49,259.45,259.45,77.89,181.56,0.0,181.56,563.81,3.22,3.22,0.0,0.0,0.0,0.0,0.0
2018-03-31,350.39,0.0,350.39,0.0,0.0,10.61,44.04,50.58,245.16,17.13,262.28,10.31,251.97,251.97,94.58,157.39,0.0,157.39,563.83,2.79,2.79,0.0,0.0,0.0,0.0,0.0
2018-06-30,391.25,0.0,391.25,0.0,0.0,8.71,44.81,38.69,299.04,5.46,304.5,57.93,246.57,246.57,102.12,144.46,0.0,144.46,563.87,2.56,2.56,0.0,0.0,0.0,0.0,0.0
2018-09-30,598.33,0.0,598.33,0.0,0.0,20.86,43.64,61.2,472.63,38.37,511.0,55.73,455.27,455.27,131.93,323.34,0.0,323.34,563.88,5.73,5.73,0.0,0.0,0.0,0.0,0.0
2018-12-31,453.79,0.0,453.79,0.0,0.0,20.24,43.98,80.36,309.2,7.62,316.82,55.06,261.77,261.77,88.21,173.55,0.0,173.55,563.96,3.08,3.08,0.0,0.0,0.0,0.0,0.0
2019-03-31,433.83,0.0,433.83,0.23,0.0,14.74,47.55,89.57,281.74,7.91,289.65,50.48,239.17,239.17,85.85,153.32,0.0,153.32,563.97,2.72,2.72,0.0,0.0,0.0,0.0,0.0
2019-06-30,512.47,0.0,512.47,0.43,0.0,12.8,48.87,97.21,353.15,7.66,360.81,47.89,312.92,312.92,106.78,206.14,0.0,206.14,564.01,3.65,3.65,0.0,0.0,0.0,0.0,0.0
2019-09-30,635.43,0.0,635.43,0.48,0.0,17.08,49.79,180.75,387.33,45.4,432.73,43.78,388.95,388.95,-65.91,454.86,0.0,454.86,564.05,8.06,8.06,0.0,0.0,0.0,0.0,0.0
