Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Employees Stock Options,Total Shareholders Funds,Long Term Borrowings,Other Long Term Liabilities,Long Term Provisions,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Intangible Assets Under Development,Fixed Assets,Deferred Tax Assets [Net],Other Non-Current Assets,Total Non-Current Assets,Current Investments,Trade Receivables,Cash And Cash Equivalents,Short Term Loans And Advances,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Current Investments Unquoted Book Value,Short Term Provisions,Non-Current Investments,Long Term Loans And Advances,Preference Share Capital,Inventories,Revaluation Reserves,Money Received Against Share Warrants,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Deferred Tax Liabilities [Net],Foreign Currency Monetary Item Translation Difference A/C,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,Raw Materials,"Stores, Spares And Loose Tools",Trade/Other Goods,Capital Goods
2004-03-31,60.62,60.62,191.11,191.11,0.0,251.73,1455.13,0.0,0.0,1455.13,116.33,71.6,135.73,336.15,2043.01,13.44,0.18,0.15,0.0,13.77,31.06,0.0,89.61,0.0,108.07,102.41,1665.16,0.0,1953.4,2043.01,6.11,0.15,5.47,2.01,0.0,0.0,12.49,44.78,0.0,0.0,77.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,70.16,120.16,285.42,285.42,0.0,405.57,2271.44,0.0,0.0,2271.44,182.76,73.0,131.59,435.0,3112.01,16.27,0.56,0.43,0.0,17.26,36.36,0.0,90.45,0.0,130.92,111.34,2777.68,0.12,3021.56,3112.01,3.08,0.26,36.48,5.82,0.0,0.0,47.65,36.83,0.0,50.0,1.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,83.31,133.31,599.47,599.47,0.0,732.78,3555.24,0.0,0.0,3555.24,327.71,89.37,191.41,663.25,4951.27,20.56,3.33,0.26,0.0,24.15,46.75,0.0,387.75,0.0,3.74,130.26,4428.87,0.12,4563.52,4951.27,19.35,0.02,297.66,21.76,0.0,0.0,54.76,316.85,0.0,50.0,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,84.02,84.02,694.22,694.22,0.0,778.23,4450.35,0.0,0.0,4450.35,460.89,249.07,261.54,1052.3,6280.89,22.94,3.72,1.33,0.0,27.99,74.46,0.0,129.36,0.0,2.48,283.1,5864.77,1.18,6151.52,6280.89,27.25,0.19,1.37,25.57,0.0,0.0,80.79,26.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,95.29,95.29,1218.98,1218.98,0.0,1314.26,4697.2,0.0,0.0,4697.2,370.98,200.5,286.97,1010.35,7021.81,30.49,1.34,0.26,0.0,32.09,125.44,0.0,160.61,0.0,0.94,215.28,6643.81,1.17,6861.21,7021.81,39.67,0.29,0.54,2.55,0.0,0.0,151.9,3.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,95.71,95.71,1373.45,1373.45,0.0,1469.16,4640.82,0.0,0.0,4640.82,572.19,256.21,293.32,1333.88,7443.87,35.35,1.75,0.33,0.0,37.44,178.75,0.0,325.9,0.0,1.88,276.31,6837.61,2.17,7117.97,7443.87,66.43,1.14,109.71,0.0,0.0,0.0,212.16,109.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,95.98,95.98,1632.58,1632.58,0.0,1728.56,6021.71,0.0,0.0,6021.71,436.04,232.78,367.11,1344.74,9095.02,32.68,8.11,6.81,0.0,47.6,206.93,0.0,470.46,0.0,37.84,241.99,8342.39,2.33,8624.56,9095.02,103.17,1.26,203.31,0.0,0.0,0.0,308.81,215.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,102.45,102.45,2387.64,2387.64,0.0,2490.09,6494.01,37.2,444.37,6975.59,676.56,285.53,2890.78,4217.29,13682.97,70.27,1.47,7.22,0.0,78.97,216.73,0.0,6750.82,531.58,6.95,297.62,6090.24,5.77,6932.15,13682.97,825.44,1.88,92.97,49.38,0.0,531.58,364.42,142.98,6312.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,102.69,102.69,2848.32,2848.32,0.0,2951.01,9290.74,48.74,402.22,9741.7,1449.14,376.54,3629.9,5868.84,18561.56,96.14,0.95,1.83,0.0,98.92,201.21,0.0,9723.83,289.38,7.68,245.21,8287.91,7.54,8837.73,18561.56,934.18,3.5,145.02,65.87,0.0,289.38,413.27,213.13,9210.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,112.6,112.6,4341.97,4341.97,0.0,4454.58,13015.33,242.97,310.39,13568.69,1301.24,478.84,5037.21,7469.15,25492.42,104.1,1.5,1.18,0.0,106.78,238.21,170.57,13780.45,215.85,9.81,345.43,11118.6,22.27,11711.96,25492.42,826.23,1.0,247.1,103.43,0.0,215.85,651.85,345.11,12919.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
