Date,Net Sales/Income from operations,Other Operating Income,Total Income From Operations,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Employees Cost,Depreciation,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,Diluted EPS,No Of Shares (Crores),Share Holding (%),- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company)
2012-12-31,216.17,0.0,216.17,111.4,2.74,-10.51,36.51,2.87,39.31,33.85,5.33,39.18,1.66,37.52,37.52,12.1,25.42,25.42,11.15,22.79,22.79,0.47,42.27,0.64,100.0,57.73
2013-03-31,209.06,1.19,210.25,114.25,8.3,-19.94,39.79,3.1,29.93,34.82,2.47,37.29,2.96,34.33,34.33,10.73,23.6,23.6,11.15,21.16,21.16,0.47,42.52,0.64,100.0,57.48
2013-06-30,304.1,4.41,308.51,127.0,2.3,23.5,41.21,2.94,46.39,65.16,2.27,67.43,1.91,65.52,65.52,22.42,43.1,43.1,11.15,38.65,38.65,0.47,42.52,0.64,100.0,57.48
2013-09-30,287.58,2.87,290.46,154.29,3.86,-27.21,49.4,3.34,45.21,61.58,1.23,62.8,2.04,60.77,60.77,19.84,40.93,40.93,11.15,36.69,36.69,0.48,42.64,0.64,100.0,57.36
2013-12-31,302.51,2.94,305.46,164.83,4.34,-20.1,48.95,3.62,49.45,54.36,1.02,55.38,2.75,52.63,52.63,18.0,34.63,34.63,11.15,31.05,31.05,0.48,43.06,0.64,100.0,56.94
2014-03-31,278.9,3.92,282.82,162.21,5.67,-34.76,48.55,4.03,41.37,55.76,2.46,58.21,3.65,54.56,54.56,19.44,35.12,35.12,11.15,31.49,31.49,0.54,48.18,0.58,100.0,51.82
2014-06-30,378.27,4.98,383.25,180.91,2.43,1.1,59.71,5.12,51.11,82.88,1.79,84.67,3.7,80.97,80.97,26.67,54.3,54.3,11.15,48.68,48.68,0.54,48.18,0.58,100.0,51.82
2014-09-30,389.64,6.9,396.54,175.28,2.34,-22.84,67.72,3.39,99.47,71.18,6.66,77.85,3.35,74.5,74.5,24.6,49.9,49.9,11.15,44.74,44.74,0.54,48.18,0.58,100.0,51.82
2014-12-31,377.41,5.56,382.97,175.74,4.17,-33.21,65.2,4.51,93.25,73.32,0.18,73.5,3.93,69.57,69.57,24.86,44.71,44.71,11.15,40.08,40.08,0.54,48.18,0.58,100.0,51.82
2015-03-31,371.96,7.7,379.66,156.23,3.65,-16.22,65.92,4.62,93.38,72.08,0.67,72.75,4.47,68.28,68.28,21.16,47.12,47.12,11.15,42.24,42.24,0.55,49.0,0.57,100.0,51.0
