Date,Equity Share Capital,Total Share Capital,Reserves and Surplus,Total Reserves and Surplus,Total Shareholders Funds,Long Term Borrowings,Deferred Tax Liabilities [Net],Other Long Term Liabilities,Total Non-Current Liabilities,Short Term Borrowings,Trade Payables,Other Current Liabilities,Short Term Provisions,Total Current Liabilities,Total Capital And Liabilities,Tangible Assets,Intangible Assets,Capital Work-In-Progress,Fixed Assets,Deferred Tax Assets [Net],Other Non-Current Assets,Total Non-Current Assets,Inventories,Trade Receivables,Cash And Cash Equivalents,OtherCurrentAssets,Total Current Assets,Total Assets,Contingent Liabilities,Expenditure In Foreign Currency,Dividend Remittance In Foreign Currency,FOB Value Of Goods,Bonus Equity Share Capital,Non-Current Investments Quoted Market Value,Non-Current Investments Unquoted Book Value,Current Investments Quoted Market Value,Long Term Provisions,Long Term Loans And Advances,Current Investments,Short Term Loans And Advances,Raw Materials,Trade/Other Goods,Capital Goods,Non-Current Investments,Preference Share Capital,Revaluation Reserves,Money Received Against Share Warrants,Employees Stock Options,Equity Share Application Money,Preference Share Application Money,Share Capital Suspense,Hybrid/Debt/Other Securities,Statutory Consumer Reserves,Special Appropriation Towards Project Cost,Service Line Contribution From Consumers,Government/Other Grants,Foreign Currency Monetary Item Translation Difference A/C,Intangible Assets Under Development,Other Assets,Cnstruction Stores,Mining Development Expenditure,Assets Held For Sale,"Stores, Spares And Loose Tools"
2004-03-31,2.44,2.44,2.75,2.75,5.19,10.65,1.02,0.0,11.67,0.0,0.0,11.29,0.0,11.29,28.15,7.51,0.0,0.3,7.81,0.0,0.0,8.11,13.13,4.6,0.06,0.04,20.04,28.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-31,2.44,2.44,4.24,4.24,6.67,2.26,1.22,0.0,3.49,10.91,5.26,9.6,0.62,26.39,36.55,9.35,0.0,0.47,9.82,0.0,0.0,10.12,19.25,4.99,0.04,0.0,26.42,36.55,0.74,4.35,2.36,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.14,0.02,0.0,0.41,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-03-31,2.44,2.44,10.09,10.09,12.52,1.56,1.17,0.0,2.73,11.63,4.81,10.64,3.05,30.13,45.38,11.47,0.0,0.8,12.27,0.0,0.0,12.97,23.39,5.9,0.03,0.0,32.41,45.38,2.14,4.98,4.73,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.09,0.42,0.0,0.28,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-31,11.15,11.15,56.57,56.57,67.72,10.46,0.83,0.0,11.29,14.87,10.09,14.31,2.77,42.03,121.05,18.76,0.0,6.08,24.84,0.0,0.0,38.54,36.37,5.58,30.19,0.0,82.5,121.05,3.41,9.28,4.34,0.37,7.31,0.0,13.7,0.0,0.0,0.0,0.0,10.36,1.38,0.0,3.39,13.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-31,11.15,11.15,66.22,66.22,77.38,9.24,2.66,0.0,11.9,27.96,16.6,20.43,20.6,85.59,174.86,41.28,0.0,2.35,43.63,1.03,0.0,74.64,57.38,9.12,0.17,0.0,100.23,174.86,1.86,7.16,8.7,0.32,7.31,0.0,29.98,0.0,0.0,0.0,0.0,33.55,2.01,0.0,4.66,29.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,11.15,11.15,75.67,75.67,86.82,19.49,2.78,0.0,22.27,22.43,13.64,29.09,39.13,104.28,213.37,54.99,0.0,11.82,66.81,1.1,0.0,73.14,67.99,15.87,10.3,0.0,140.23,213.37,2.34,9.36,9.82,0.27,7.31,0.0,5.23,0.0,0.0,0.0,0.0,46.08,6.68,0.0,10.42,5.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-31,11.15,11.15,87.87,87.87,99.03,18.7,3.3,0.0,21.99,36.07,21.66,40.46,54.42,152.62,273.64,77.56,0.0,4.93,82.49,1.32,0.0,86.79,94.55,20.45,2.95,0.0,186.85,273.64,4.39,17.05,14.54,0.18,7.31,0.0,1.0,0.0,0.0,0.0,0.0,68.89,5.48,0.0,10.38,2.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-31,11.15,11.15,112.62,112.62,123.78,28.92,2.56,19.22,53.03,85.46,25.11,46.02,5.51,162.1,338.91,91.62,1.44,0.9,93.95,0.0,2.13,119.42,164.72,25.83,2.58,0.0,219.49,338.91,72.24,0.0,0.0,0.0,7.31,2.44,1.0,0.0,2.33,20.36,0.0,26.36,12.03,0.0,0.0,2.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-31,11.15,11.15,154.64,154.64,165.8,21.88,3.58,27.8,55.44,42.23,28.26,66.5,13.31,150.3,371.53,104.47,3.09,2.66,110.22,0.0,1.44,140.04,172.61,43.65,3.12,0.0,231.49,371.53,85.66,0.0,0.0,0.0,7.31,2.47,0.0,0.0,2.17,26.57,0.0,12.11,13.05,3.52,0.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-31,11.15,11.15,202.36,202.36,213.52,29.05,5.74,32.25,70.03,58.87,47.28,63.47,18.56,188.18,471.73,129.27,2.9,10.06,142.24,0.0,2.49,161.53,235.04,58.07,4.55,0.43,310.2,471.73,18.34,56.32,0.0,0.77,7.31,0.0,0.0,1.8,3.0,16.8,1.0,11.12,20.45,7.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
